player,nationality,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,team,Pos1,Pos2
Ahmed Elmohamady,eg EGY,31.0,18,11,"1,031",1.0,1.0,0.0,0.0,1.0,0.0,0.09,0.09,0.17,0.09,0.17,0.2,0.2,2.6,0.02,0.23,0.25,0.02,0.25,Aston Villa,DF,
Mbwana Samatta,tz TAN,26.0,14,11,943,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1,1.8,1.8,0.2,0.18,0.02,0.2,0.18,0.2,Aston Villa,FW,
Ørjan Nyland,no NOR,28.0,7,5,539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,GK,
Keinan Davis,eng ENG,21.0,18,4,548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,0.2,0.32,0.04,0.35,0.32,0.35,Aston Villa,FW,
Jota,es ESP,28.0,10,4,335,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,0.2,0.2,0.7,0.06,0.18,0.24,0.06,0.24,Aston Villa,FW,MF
Danny Drinkwater,eng ENG,29.0,4,4,259,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.03,0.01,0.04,0.03,0.04,Aston Villa,MF,
Henri Lansbury,eng ENG,28.0,10,2,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.05,0.03,0.09,0.05,0.09,Aston Villa,MF,
Jed Steer,eng ENG,26.0,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,GK,
Jonathan Kodjia,ci CIV,29.0,6,0,117,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.04,0.0,0.04,0.04,0.04,Aston Villa,FW,MF
Indiana Vassilev,us USA,18.0,4,0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Aston Villa,FW,MF
Borja Bastón,es ESP,26.0,2,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,MF,FW
James Chester,wal WAL,30.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,DF,
Kaine Hayden,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,MF,
Lovre Kalinić,hr CRO,29.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,GK,
Aaron Ramsdale,eng ENG,21.0,37,37,"3,330",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,Bournemouth,GK,
Callum Wilson,eng ENG,27.0,35,32,"2,908",8.0,1.0,0.0,0.0,10.0,0.0,0.25,0.03,0.28,0.25,0.28,10.0,10.0,3.2,0.31,0.1,0.41,0.31,0.41,Bournemouth,FW,
Jefferson Lerma,co COL,24.0,33,31,"2,703",1.0,2.0,0.0,0.0,13.0,1.0,0.03,0.07,0.1,0.03,0.1,1.3,1.3,1.8,0.04,0.06,0.1,0.04,0.1,Bournemouth,MF,
Philip Billing,dk DEN,23.0,34,29,"2,530",1.0,1.0,0.0,0.0,8.0,0.0,0.04,0.04,0.07,0.04,0.07,2.5,2.5,1.1,0.09,0.04,0.13,0.09,0.13,Bournemouth,MF,
Nathan Aké,nl NED,24.0,29,29,"2,503",2.0,2.0,0.0,0.0,2.0,0.0,0.07,0.07,0.14,0.07,0.14,2.5,2.5,0.5,0.09,0.02,0.11,0.09,0.11,Bournemouth,DF,
Steve Cook,eng ENG,28.0,29,28,"2,428",1.0,0.0,0.0,0.0,6.0,1.0,0.04,0.0,0.04,0.04,0.04,0.8,0.8,0.3,0.03,0.01,0.04,0.03,0.04,Bournemouth,DF,
Diego Rico,es ESP,26.0,27,27,"2,332",0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.15,0.15,0.0,0.15,0.3,0.3,2.8,0.01,0.11,0.12,0.01,0.12,Bournemouth,DF,
Adam Smith,eng ENG,28.0,24,24,"2,055",0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.04,0.04,0.0,0.04,0.6,0.6,0.9,0.03,0.04,0.06,0.03,0.06,Bournemouth,DF,
Joshua King,no NOR,27.0,26,24,"2,011",6.0,4.0,3.0,3.0,0.0,0.0,0.27,0.18,0.45,0.13,0.31,6.5,4.3,3.7,0.29,0.17,0.46,0.19,0.36,Bournemouth,FW,MF
Ryan Fraser,sco SCO,25.0,28,21,"2,067",1.0,4.0,0.0,0.0,2.0,0.0,0.04,0.17,0.22,0.04,0.22,3.2,3.2,4.1,0.14,0.18,0.32,0.14,0.32,Bournemouth,MF,FW
Harry Wilson,wal WAL,22.0,31,20,"1,646",7.0,0.0,0.0,0.0,2.0,0.0,0.38,0.0,0.38,0.38,0.38,4.4,4.4,1.6,0.24,0.09,0.33,0.24,0.33,Bournemouth,MF,FW
Dominic Solanke,eng ENG,21.0,32,17,"1,651",3.0,1.0,0.0,0.0,1.0,0.0,0.16,0.05,0.22,0.16,0.22,3.6,3.6,0.9,0.2,0.05,0.25,0.2,0.25,Bournemouth,FW,MF
Jack Stacey,eng ENG,23.0,19,17,"1,549",0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.12,0.12,0.0,0.12,0.3,0.3,2.2,0.02,0.13,0.14,0.02,0.14,Bournemouth,DF,
Lewis Cook,eng ENG,22.0,27,14,"1,352",0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,0.02,0.06,0.08,0.02,0.08,Bournemouth,MF,
Dan Gosling,eng ENG,29.0,24,14,"1,264",3.0,1.0,0.0,0.0,3.0,0.0,0.21,0.07,0.28,0.21,0.28,2.1,2.1,1.0,0.15,0.07,0.22,0.15,0.22,Bournemouth,MF,
Simon Francis,eng ENG,34.0,15,10,969,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.02,0.03,0.04,0.02,0.04,Bournemouth,DF,
Chris Mepham,wal WAL,21.0,12,10,912,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1,0.6,0.6,0.1,0.06,0.01,0.07,0.06,0.07,Bournemouth,DF,
David Brooks,wal WAL,22.0,9,8,506,1.0,0.0,0.0,0.0,1.0,0.0,0.18,0.0,0.18,0.18,0.18,0.8,0.8,0.4,0.14,0.07,0.21,0.14,0.21,Bournemouth,MF,
Junior Stanislas,eng ENG,29.0,15,7,712,3.0,0.0,1.0,1.0,1.0,0.0,0.38,0.0,0.38,0.25,0.25,1.6,0.8,0.8,0.2,0.1,0.3,0.1,0.2,Bournemouth,MF,DF
Lloyd Kelly,eng ENG,20.0,8,7,639,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.03,0.03,0.0,0.03,Bournemouth,DF,
Arnaut Groeneveld,nl NED,22.0,14,6,630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.3,0.16,0.04,0.2,0.16,0.2,Bournemouth,MF,
Andrew Surman,eng ENG,32.0,5,2,235,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Bournemouth,MF,
Charlie Daniels,eng ENG,32.0,2,2,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.05,0.0,0.05,Bournemouth,DF,
Jack Simpson,eng ENG,22.0,4,1,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Bournemouth,DF,
Mark Travers,ie IRL,20.0,1,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,GK,
Jordon Ibe,eng ENG,23.0,2,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,DF,
Sam Surridge,eng ENG,21.0,4,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,1.45,0.0,1.45,1.45,1.45,Bournemouth,FW,
Artur Boruc,pl POL,39.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,GK,
