player,nationality,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,team,Pos1,Pos2
Mihai Dobre,ro ROU,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,MF,
Gavin Kilkenny,ie IRL,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,MF,
Christian Saydee,lr LBR,17.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,MF,
Mathew Ryan,au AUS,27.0,38,38,"3,420",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,GK,
Lewis Dunk,eng ENG,27.0,36,36,"3,230",3.0,3.0,0.0,0.0,9.0,0.0,0.08,0.08,0.17,0.08,0.17,4.2,4.2,1.1,0.12,0.03,0.15,0.12,0.15,Brighton,DF,
Dan Burn,eng ENG,27.0,34,33,"2,880",0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.2,0.04,0.04,0.08,0.04,0.08,Brighton,DF,
Davy Pröpper,nl NED,27.0,35,32,"2,829",1.0,2.0,0.0,0.0,4.0,0.0,0.03,0.06,0.1,0.03,0.1,1.3,1.3,2.2,0.04,0.07,0.11,0.04,0.11,Brighton,MF,
Adam Webster,eng ENG,24.0,31,31,"2,668",3.0,1.0,0.0,0.0,4.0,0.0,0.1,0.03,0.13,0.1,0.13,1.1,1.1,1.0,0.04,0.03,0.07,0.04,0.07,Brighton,DF,
Neal Maupay,fr FRA,22.0,37,30,"2,766",10.0,3.0,1.0,2.0,3.0,0.0,0.33,0.1,0.42,0.29,0.39,11.2,9.7,2.5,0.37,0.08,0.44,0.32,0.4,Brighton,FW,
Dale Stephens,eng ENG,30.0,33,28,"2,530",0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.04,0.04,0.0,0.04,0.5,0.5,1.1,0.02,0.04,0.06,0.02,0.06,Brighton,MF,
Aaron Mooy,au AUS,28.0,31,25,"2,085",2.0,2.0,0.0,0.0,3.0,1.0,0.09,0.09,0.17,0.09,0.17,2.0,2.0,3.3,0.09,0.14,0.23,0.09,0.23,Brighton,MF,FW
Martín Montoya,es ESP,28.0,27,23,"1,896",0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.05,0.05,0.0,0.05,1.3,1.3,1.4,0.06,0.07,0.13,0.06,0.13,Brighton,DF,
Leandro Trossard,be BEL,24.0,31,22,"2,011",5.0,3.0,0.0,0.0,0.0,0.0,0.22,0.13,0.36,0.22,0.36,4.7,4.7,3.7,0.21,0.17,0.37,0.21,0.37,Brighton,FW,MF
Pascal Groß,de GER,28.0,29,22,"1,796",2.0,4.0,0.0,0.0,4.0,0.0,0.1,0.2,0.3,0.1,0.3,1.8,1.8,5.1,0.09,0.26,0.35,0.09,0.35,Brighton,FW,MF
Yves Bissouma,ml MLI,22.0,22,15,"1,259",1.0,0.0,0.0,0.0,4.0,0.0,0.07,0.0,0.07,0.07,0.07,0.4,0.4,0.2,0.03,0.01,0.04,0.03,0.04,Brighton,MF,
