player,nationality,age,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,team,Pos1,Pos2
Fikayo Tomori,eng ENG,21.0,14.3,1098.0,1078.0,20.0,10.0,1.0,130.0,15.0,4,0.0,0.0,0.0,0.0,884.0,73.0,141.0,274.0,765.0,35.0,10.0,0.0,981.0,0.0,17.0,6.0,14.0,Chelsea,DF,
Ross Barkley,eng ENG,25.0,12.3,616.0,606.0,10.0,5.0,2.0,158.0,27.0,12,3.0,1.0,1.0,0.0,476.0,77.0,63.0,82.0,513.0,10.0,2.0,2.0,540.0,2.0,6.0,10.0,8.0,Chelsea,MF,
Emerson Palmieri,it ITA,24.0,11.4,853.0,720.0,133.0,11.0,2.0,146.0,15.0,54,21.0,8.0,3.0,2.0,556.0,151.0,146.0,663.0,43.0,32.0,101.0,1.0,706.0,2.0,9.0,9.0,20.0,Chelsea,DF,
Olivier Giroud,fr FRA,32.0,11.0,306.0,281.0,25.0,0.0,2.0,93.0,1.0,2,0.0,0.0,0.0,0.0,135.0,116.0,55.0,183.0,42.0,37.0,0.0,16.0,207.0,0.0,4.0,8.0,12.0,Chelsea,FW,
Pedro,es ESP,32.0,7.3,331.0,328.0,3.0,1.0,3.0,89.0,9.0,21,1.0,0.0,1.0,0.0,223.0,61.0,47.0,102.0,211.0,13.0,1.0,3.0,259.0,0.0,5.0,6.0,12.0,Chelsea,FW,
Callum Hudson-Odoi,eng ENG,18.0,9.6,476.0,449.0,27.0,2.0,1.0,139.0,30.0,63,18.0,5.0,7.0,0.0,302.0,77.0,97.0,57.0,392.0,16.0,7.0,1.0,384.0,2.0,12.0,7.0,15.0,Chelsea,FW,
Willy Caballero,ar ARG,37.0,5.0,165.0,134.0,31.0,3.0,0.0,15.0,3.0,0,0.0,0.0,0.0,0.0,78.0,6.0,81.0,30.0,112.0,0.0,0.0,15.0,121.0,0.0,2.0,0.0,0.0,Chelsea,GK,
Ruben Loftus-Cheek,eng ENG,23.0,2.3,131.0,129.0,2.0,2.0,1.0,12.0,4.0,1,0.0,0.0,0.0,0.0,104.0,16.0,11.0,14.0,109.0,6.0,0.0,1.0,116.0,0.0,3.0,2.0,1.0,Chelsea,MF,FW
Billy Gilmour,sco SCO,18.0,2.2,169.0,168.0,1.0,1.0,0.0,37.0,7.0,1,0.0,0.0,0.0,0.0,119.0,30.0,20.0,10.0,144.0,12.0,0.0,0.0,151.0,0.0,1.0,2.0,1.0,Chelsea,MF,
Michy Batshuayi,be BEL,25.0,2.7,76.0,70.0,6.0,0.0,0.0,16.0,2.0,0,0.0,0.0,0.0,0.0,53.0,14.0,9.0,23.0,48.0,0.0,0.0,1.0,61.0,0.0,0.0,3.0,3.0,Chelsea,FW,
Tariq Lamptey,eng ENG,18.0,0.4,14.0,9.0,5.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,5.0,4.0,5.0,4.0,5.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,2.0,Chelsea,DF,
Faustino Anjorin,eng ENG,17.0,0.2,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,Chelsea,FW,
Armando Broja,al ALB,17.0,0.1,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,Chelsea,FW,
Wilfried Zaha,ci CIV,26.0,36.4,1188.0,1158.0,30.0,1.0,2.0,313.0,30.0,67,0.0,0.0,0.0,0.0,939.0,152.0,97.0,152.0,985.0,12.0,25.0,3.0,935.0,2.0,12.0,34.0,72.0,Crystal Palace,MF,FW
Jordan Ayew,gh GHA,27.0,35.0,838.0,801.0,37.0,2.0,2.0,247.0,10.0,25,1.0,0.0,0.0,0.0,588.0,154.0,96.0,50.0,684.0,31.0,12.0,16.0,686.0,3.0,9.0,18.0,32.0,Crystal Palace,FW,MF
James McArthur,sco SCO,31.0,34.3,1474.0,1404.0,70.0,5.0,4.0,371.0,22.0,42,1.0,0.0,0.0,0.0,994.0,219.0,261.0,351.0,992.0,61.0,30.0,11.0,1153.0,3.0,34.0,23.0,60.0,Crystal Palace,MF,
Vicente Guaita,es ESP,32.0,35.0,1053.0,698.0,355.0,81.0,0.0,114.0,28.0,0,0.0,0.0,0.0,0.0,306.0,68.0,679.0,78.0,732.0,1.0,1.0,164.0,591.0,6.0,49.0,0.0,0.0,Crystal Palace,GK,
Cheikhou Kouyaté,sn SEN,29.0,28.1,860.0,844.0,16.0,10.0,0.0,204.0,6.0,15,0.0,0.0,0.0,0.0,553.0,151.0,156.0,72.0,639.0,73.0,5.0,14.0,653.0,1.0,19.0,15.0,31.0,Crystal Palace,MF,DF
Patrick van Aanholt,nl NED,28.0,27.9,1558.0,1175.0,383.0,62.0,0.0,222.0,35.0,88,45.0,23.0,15.0,3.0,930.0,322.0,306.0,997.0,256.0,21.0,275.0,3.0,1227.0,8.0,14.0,36.0,47.0,Crystal Palace,DF,
Luka Milivojević,rs SRB,28.0,27.9,1506.0,1257.0,249.0,137.0,1.0,241.0,107.0,146,99.0,61.0,25.0,6.0,895.0,208.0,403.0,204.0,1201.0,62.0,6.0,12.0,1161.0,2.0,41.0,21.0,21.0,Crystal Palace,MF,
Joel Ward,eng ENG,29.0,26.5,1260.0,979.0,281.0,14.0,0.0,217.0,19.0,37,0.0,0.0,0.0,0.0,608.0,328.0,324.0,92.0,793.0,72.0,267.0,10.0,932.0,5.0,37.0,29.0,53.0,Crystal Palace,DF,
Gary Cahill,eng ENG,33.0,24.1,953.0,914.0,39.0,36.0,0.0,157.0,26.0,0,0.0,0.0,0.0,0.0,659.0,115.0,179.0,93.0,747.0,63.0,3.0,7.0,826.0,0.0,20.0,3.0,9.0,Crystal Palace,DF,
James Tomkins,eng ENG,30.0,17.6,626.0,597.0,29.0,26.0,0.0,106.0,24.0,1,0.0,0.0,0.0,0.0,377.0,96.0,153.0,81.0,474.0,34.0,3.0,0.0,505.0,2.0,14.0,6.0,5.0,Crystal Palace,DF,
Martin Kelly,eng ENG,29.0,17.2,669.0,541.0,128.0,13.0,0.0,124.0,9.0,20,0.0,0.0,0.0,0.0,337.0,143.0,189.0,65.0,448.0,27.0,115.0,1.0,493.0,3.0,16.0,20.0,19.0,Crystal Palace,DF,
James McCarthy,ie IRL,28.0,18.7,818.0,746.0,72.0,41.0,0.0,138.0,50.0,35,22.0,14.0,6.0,2.0,466.0,133.0,219.0,218.0,528.0,45.0,6.0,10.0,630.0,3.0,27.0,11.0,22.0,Crystal Palace,MF,
Andros Townsend,eng ENG,28.0,14.4,460.0,431.0,29.0,8.0,2.0,119.0,21.0,66,9.0,7.0,0.0,0.0,286.0,63.0,111.0,333.0,113.0,1.0,9.0,1.0,325.0,2.0,12.0,7.0,23.0,Crystal Palace,MF,
Scott Dann,eng ENG,32.0,14.1,555.0,526.0,29.0,28.0,0.0,70.0,14.0,2,0.0,0.0,0.0,0.0,352.0,87.0,116.0,65.0,416.0,51.0,1.0,3.0,461.0,0.0,5.0,7.0,9.0,Crystal Palace,DF,
Christian Benteke,be BEL,28.0,14.0,326.0,313.0,13.0,0.0,2.0,145.0,5.0,5,0.0,0.0,0.0,0.0,143.0,85.0,98.0,21.0,165.0,37.0,0.0,9.0,190.0,0.0,5.0,11.0,14.0,Crystal Palace,FW,
Jeffrey Schlupp,gh GHA,26.0,11.5,342.0,320.0,22.0,3.0,1.0,80.0,8.0,9,0.0,0.0,0.0,0.0,218.0,58.0,66.0,229.0,58.0,15.0,19.0,3.0,256.0,3.0,5.0,11.0,10.0,Crystal Palace,MF,DF
Mamadou Sakho,fr FRA,29.0,10.3,516.0,498.0,18.0,17.0,0.0,70.0,10.0,0,0.0,0.0,0.0,0.0,390.0,49.0,77.0,384.0,94.0,21.0,1.0,4.0,451.0,1.0,3.0,3.0,5.0,Crystal Palace,DF,
Jaïro Riedewald,nl NED,22.0,8.5,400.0,324.0,76.0,11.0,0.0,58.0,6.0,6,0.0,0.0,0.0,0.0,226.0,72.0,102.0,281.0,27.0,23.0,65.0,0.0,301.0,1.0,7.0,11.0,3.0,Crystal Palace,DF,MF
