player,nationality,age,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,team,Pos1,Pos2
Henri Lansbury,eng ENG,28.0,2.2,81.0,80.0,1.0,0.0,0.0,15.0,6.0,1,0.0,0.0,0.0,0.0,46.0,15.0,20.0,7.0,62.0,10.0,0.0,1.0,60.0,0.0,3.0,1.0,3.0,Aston Villa,MF,
Jed Steer,eng ENG,26.0,0.1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Aston Villa,GK,
Jonathan Kodjia,ci CIV,29.0,1.3,30.0,24.0,6.0,0.0,0.0,7.0,0.0,0,0.0,0.0,0.0,0.0,21.0,4.0,5.0,2.0,24.0,1.0,0.0,0.0,19.0,0.0,1.0,1.0,1.0,Aston Villa,FW,MF
Indiana Vassilev,us USA,18.0,0.6,11.0,10.0,1.0,0.0,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,6.0,3.0,1.0,1.0,0.0,8.0,0.0,0.0,1.0,1.0,Aston Villa,FW,MF
Borja Bastón,es ESP,26.0,0.2,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,Aston Villa,MF,FW
Aaron Ramsdale,eng ENG,21.0,37.0,1124.0,702.0,422.0,133.0,1.0,107.0,33.0,1,0.0,0.0,0.0,0.0,423.0,50.0,651.0,57.0,813.0,1.0,0.0,184.0,648.0,4.0,46.0,3.0,5.0,Bournemouth,GK,
Callum Wilson,eng ENG,27.0,32.3,535.0,508.0,27.0,0.0,5.0,164.0,9.0,21,0.0,0.0,0.0,0.0,277.0,164.0,94.0,58.0,385.0,33.0,1.0,17.0,345.0,2.0,8.0,9.0,47.0,Bournemouth,FW,
Jefferson Lerma,co COL,24.0,30.0,1377.0,1348.0,29.0,24.0,0.0,281.0,39.0,6,0.0,0.0,0.0,0.0,816.0,246.0,315.0,143.0,1080.0,110.0,5.0,2.0,1092.0,4.0,34.0,21.0,24.0,Bournemouth,MF,
Philip Billing,dk DEN,23.0,28.1,1179.0,1120.0,59.0,20.0,4.0,283.0,20.0,15,0.0,0.0,0.0,0.0,700.0,218.0,261.0,828.0,130.0,100.0,39.0,5.0,878.0,5.0,41.0,19.0,29.0,Bournemouth,MF,
Nathan Aké,nl NED,24.0,27.8,1183.0,1130.0,53.0,33.0,1.0,150.0,15.0,4,0.0,0.0,0.0,0.0,852.0,134.0,197.0,840.0,209.0,92.0,20.0,1.0,1042.0,2.0,11.0,5.0,13.0,Bournemouth,DF,
Steve Cook,eng ENG,28.0,27.0,1222.0,1163.0,59.0,41.0,2.0,177.0,20.0,2,0.0,0.0,0.0,0.0,755.0,155.0,312.0,43.0,1017.0,95.0,18.0,0.0,993.0,4.0,22.0,7.0,12.0,Bournemouth,DF,
Diego Rico,es ESP,26.0,25.9,1482.0,1102.0,380.0,61.0,4.0,205.0,38.0,174,72.0,36.0,23.0,6.0,643.0,367.0,472.0,1060.0,70.0,84.0,247.0,2.0,1011.0,5.0,40.0,35.0,63.0,Bournemouth,DF,
Adam Smith,eng ENG,28.0,22.8,1061.0,856.0,205.0,21.0,1.0,178.0,13.0,28,1.0,1.0,0.0,0.0,597.0,201.0,263.0,67.0,734.0,50.0,183.0,2.0,845.0,3.0,22.0,13.0,38.0,Bournemouth,DF,
Joshua King,no NOR,27.0,22.3,498.0,485.0,13.0,1.0,4.0,145.0,5.0,23,1.0,0.0,0.0,0.0,324.0,103.0,71.0,47.0,396.0,17.0,2.0,6.0,362.0,2.0,9.0,14.0,31.0,Bournemouth,FW,MF
Ryan Fraser,sco SCO,25.0,23.0,950.0,818.0,132.0,35.0,9.0,205.0,29.0,173,64.0,25.0,20.0,8.0,516.0,180.0,254.0,195.0,697.0,27.0,19.0,5.0,648.0,4.0,18.0,16.0,38.0,Bournemouth,MF,FW
Harry Wilson,wal WAL,22.0,18.3,609.0,552.0,57.0,10.0,7.0,134.0,30.0,35,20.0,12.0,0.0,1.0,368.0,119.0,122.0,511.0,61.0,20.0,9.0,3.0,454.0,0.0,11.0,17.0,34.0,Bournemouth,MF,FW
Dominic Solanke,eng ENG,21.0,18.3,429.0,404.0,25.0,1.0,0.0,136.0,3.0,6,0.0,0.0,0.0,0.0,268.0,94.0,67.0,40.0,307.0,37.0,1.0,9.0,317.0,1.0,6.0,9.0,19.0,Bournemouth,FW,MF
Jack Stacey,eng ENG,23.0,17.2,780.0,625.0,155.0,6.0,0.0,156.0,8.0,34,1.0,1.0,0.0,0.0,373.0,191.0,216.0,65.0,497.0,54.0,148.0,1.0,560.0,3.0,13.0,19.0,37.0,Bournemouth,DF,
Lewis Cook,eng ENG,22.0,15.0,719.0,698.0,21.0,12.0,5.0,131.0,18.0,9,1.0,0.0,0.0,0.0,434.0,161.0,124.0,41.0,633.0,24.0,7.0,1.0,560.0,5.0,11.0,14.0,24.0,Bournemouth,MF,
Dan Gosling,eng ENG,29.0,14.0,510.0,500.0,10.0,4.0,0.0,124.0,6.0,3,0.0,0.0,0.0,0.0,325.0,111.0,74.0,50.0,415.0,26.0,1.0,2.0,405.0,1.0,12.0,10.0,21.0,Bournemouth,MF,
Simon Francis,eng ENG,34.0,10.8,544.0,504.0,40.0,11.0,1.0,123.0,18.0,16,0.0,0.0,0.0,0.0,272.0,126.0,146.0,48.0,403.0,34.0,29.0,2.0,425.0,0.0,10.0,9.0,6.0,Bournemouth,DF,
Chris Mepham,wal WAL,21.0,10.1,483.0,475.0,8.0,8.0,0.0,86.0,13.0,3,0.0,0.0,0.0,0.0,363.0,37.0,83.0,55.0,377.0,29.0,0.0,4.0,414.0,1.0,12.0,4.0,4.0,Bournemouth,DF,
David Brooks,wal WAL,22.0,5.6,179.0,157.0,22.0,3.0,1.0,22.0,7.0,24,12.0,6.0,4.0,0.0,93.0,49.0,37.0,132.0,44.0,2.0,1.0,0.0,121.0,1.0,5.0,2.0,8.0,Bournemouth,MF,
Junior Stanislas,eng ENG,29.0,7.9,310.0,275.0,35.0,12.0,1.0,62.0,11.0,37,16.0,8.0,5.0,1.0,190.0,61.0,59.0,26.0,263.0,4.0,6.0,2.0,222.0,1.0,7.0,4.0,15.0,Bournemouth,MF,DF
Lloyd Kelly,eng ENG,20.0,7.1,231.0,194.0,37.0,6.0,0.0,29.0,0.0,6,0.0,0.0,0.0,0.0,129.0,37.0,65.0,161.0,14.0,19.0,31.0,0.0,168.0,1.0,6.0,2.0,7.0,Bournemouth,DF,
Arnaut Groeneveld,nl NED,22.0,7.0,227.0,221.0,6.0,1.0,0.0,63.0,5.0,9,3.0,2.0,1.0,0.0,160.0,41.0,26.0,30.0,184.0,10.0,2.0,0.0,181.0,1.0,4.0,5.0,14.0,Bournemouth,MF,
Andrew Surman,eng ENG,32.0,2.6,127.0,118.0,9.0,7.0,0.0,20.0,7.0,3,2.0,1.0,1.0,0.0,69.0,29.0,29.0,95.0,13.0,15.0,0.0,0.0,102.0,0.0,2.0,1.0,1.0,Bournemouth,MF,
Charlie Daniels,eng ENG,32.0,1.4,49.0,39.0,10.0,4.0,0.0,7.0,4.0,5,0.0,0.0,0.0,0.0,25.0,9.0,15.0,42.0,1.0,0.0,6.0,0.0,35.0,2.0,4.0,0.0,0.0,Bournemouth,DF,
Jack Simpson,eng ENG,22.0,2.7,100.0,86.0,14.0,0.0,0.0,17.0,3.0,0,0.0,0.0,0.0,0.0,53.0,27.0,20.0,68.0,15.0,1.0,14.0,0.0,70.0,1.0,8.0,3.0,3.0,Bournemouth,DF,
Mark Travers,ie IRL,20.0,1.0,32.0,23.0,9.0,1.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,16.0,3.0,13.0,3.0,24.0,0.0,0.0,5.0,23.0,0.0,1.0,0.0,0.0,Bournemouth,GK,
Jordon Ibe,eng ENG,23.0,0.6,22.0,18.0,4.0,1.0,0.0,4.0,1.0,3,1.0,0.0,1.0,0.0,13.0,3.0,6.0,5.0,13.0,2.0,2.0,0.0,17.0,0.0,0.0,0.0,2.0,Bournemouth,DF,
Sam Surridge,eng ENG,21.0,0.3,10.0,10.0,0.0,0.0,1.0,4.0,0.0,1,0.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,4.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,Bournemouth,FW,
Mathew Ryan,au AUS,27.0,38.0,1462.0,1129.0,333.0,59.0,0.0,219.0,47.0,0,0.0,0.0,0.0,0.0,797.0,100.0,565.0,175.0,990.0,3.0,0.0,233.0,1173.0,7.0,47.0,5.0,5.0,Brighton,GK,
Lewis Dunk,eng ENG,27.0,35.9,2192.0,2094.0,98.0,66.0,1.0,262.0,116.0,1,0.0,0.0,0.0,0.0,1529.0,264.0,399.0,137.0,1858.0,106.0,32.0,19.0,1913.0,7.0,51.0,22.0,9.0,Brighton,DF,
Dan Burn,eng ENG,27.0,32.0,1841.0,1565.0,276.0,12.0,1.0,344.0,21.0,52,1.0,0.0,0.0,1.0,999.0,367.0,475.0,1211.0,162.0,111.0,263.0,2.0,1389.0,4.0,43.0,22.0,62.0,Brighton,DF,
Davy Pröpper,nl NED,27.0,31.4,1785.0,1760.0,25.0,18.0,6.0,323.0,34.0,37,0.0,0.0,0.0,0.0,1295.0,272.0,218.0,147.0,1548.0,64.0,4.0,7.0,1483.0,6.0,37.0,40.0,47.0,Brighton,MF,
Adam Webster,eng ENG,24.0,29.6,1824.0,1740.0,84.0,52.0,1.0,298.0,47.0,6,0.0,0.0,0.0,0.0,1269.0,241.0,314.0,333.0,1298.0,105.0,31.0,5.0,1547.0,5.0,26.0,19.0,17.0,Brighton,DF,
Neal Maupay,fr FRA,22.0,30.7,688.0,624.0,64.0,4.0,3.0,181.0,13.0,12,0.0,0.0,0.0,0.0,491.0,145.0,52.0,122.0,507.0,24.0,10.0,14.0,540.0,6.0,8.0,20.0,33.0,Brighton,FW,
Dale Stephens,eng ENG,30.0,28.1,1641.0,1624.0,17.0,12.0,4.0,297.0,58.0,4,0.0,0.0,0.0,0.0,1100.0,284.0,257.0,175.0,1376.0,63.0,4.0,6.0,1421.0,4.0,24.0,26.0,25.0,Brighton,MF,
Aaron Mooy,au AUS,28.0,23.2,1075.0,992.0,83.0,23.0,4.0,229.0,47.0,107,53.0,23.0,21.0,7.0,674.0,180.0,221.0,184.0,850.0,24.0,6.0,3.0,825.0,7.0,14.0,19.0,43.0,Brighton,MF,FW
Martín Montoya,es ESP,28.0,21.1,1255.0,1014.0,241.0,13.0,0.0,214.0,36.0,45,1.0,0.0,1.0,0.0,642.0,326.0,287.0,142.0,824.0,47.0,227.0,1.0,1006.0,2.0,7.0,30.0,44.0,Brighton,DF,
Leandro Trossard,be BEL,24.0,22.3,795.0,752.0,43.0,17.0,3.0,173.0,44.0,76,10.0,5.0,4.0,1.0,447.0,173.0,175.0,174.0,583.0,15.0,13.0,8.0,567.0,3.0,15.0,22.0,45.0,Brighton,FW,MF
Pascal Groß,de GER,28.0,20.0,1028.0,888.0,140.0,48.0,3.0,195.0,66.0,146,80.0,22.0,31.0,19.0,605.0,152.0,271.0,179.0,802.0,26.0,3.0,4.0,762.0,9.0,16.0,16.0,37.0,Brighton,FW,MF
Yves Bissouma,ml MLI,22.0,14.0,622.0,610.0,12.0,10.0,0.0,105.0,24.0,6,0.0,0.0,0.0,0.0,433.0,103.0,86.0,49.0,537.0,17.0,2.0,6.0,525.0,2.0,10.0,10.0,10.0,Brighton,MF,
Aaron Connolly,ie IRL,19.0,14.0,163.0,148.0,15.0,0.0,1.0,50.0,0.0,9,0.0,0.0,0.0,0.0,90.0,52.0,21.0,27.0,107.0,13.0,1.0,6.0,126.0,0.0,1.0,4.0,10.0,Brighton,FW,
Shane Duffy,ie IRL,27.0,13.8,613.0,577.0,36.0,32.0,0.0,98.0,35.0,1,0.0,0.0,0.0,0.0,391.0,86.0,136.0,39.0,482.0,48.0,4.0,8.0,515.0,1.0,16.0,3.0,7.0,Brighton,DF,
Steven Alzate,co COL,20.0,13.2,664.0,609.0,55.0,5.0,1.0,135.0,9.0,9,0.0,0.0,0.0,0.0,471.0,133.0,60.0,30.0,540.0,33.0,50.0,1.0,564.0,1.0,5.0,15.0,16.0,Brighton,MF,DF
Solly March,eng ENG,25.0,12.7,601.0,516.0,85.0,8.0,0.0,129.0,33.0,64,14.0,7.0,3.0,2.0,325.0,115.0,161.0,459.0,45.0,24.0,60.0,3.0,435.0,1.0,15.0,11.0,29.0,Brighton,DF,FW
Glenn Murray,eng ENG,35.0,8.9,177.0,170.0,7.0,1.0,1.0,52.0,3.0,4,0.0,0.0,0.0,0.0,85.0,51.0,41.0,17.0,118.0,15.0,2.0,7.0,116.0,0.0,5.0,1.0,11.0,Brighton,FW,
Bernardo,br BRA,24.0,7.5,383.0,332.0,51.0,1.0,0.0,81.0,1.0,17,0.0,0.0,0.0,0.0,199.0,92.0,92.0,254.0,32.0,25.0,50.0,2.0,286.0,0.0,12.0,9.0,14.0,Brighton,DF,
Tariq Lamptey,eng ENG,18.0,6.5,235.0,188.0,47.0,4.0,0.0,26.0,1.0,22,0.0,0.0,0.0,0.0,125.0,51.0,59.0,52.0,127.0,9.0,43.0,2.0,173.0,0.0,8.0,3.0,15.0,Brighton,DF,
Ezequiel Schelotto,it ITA,30.0,4.0,169.0,129.0,40.0,1.0,0.0,31.0,3.0,16,0.0,0.0,0.0,0.0,71.0,57.0,41.0,12.0,105.0,8.0,39.0,0.0,121.0,0.0,3.0,3.0,7.0,Brighton,DF,
Alexis Mac Allister,ar ARG,20.0,3.9,130.0,99.0,31.0,10.0,0.0,27.0,3.0,23,17.0,8.0,6.0,1.0,72.0,26.0,32.0,15.0,107.0,4.0,0.0,0.0,84.0,0.0,3.0,2.0,4.0,Brighton,MF,FW
Alireza Jahanbakhsh,ir IRN,25.0,3.5,140.0,136.0,4.0,0.0,0.0,21.0,2.0,24,1.0,0.0,0.0,0.0,87.0,31.0,22.0,16.0,116.0,4.0,3.0,1.0,84.0,0.0,5.0,4.0,10.0,Brighton,FW,MF
Jürgen Locadia,nl NED,25.0,1.0,19.0,19.0,0.0,0.0,0.0,10.0,0.0,1,0.0,0.0,0.0,0.0,11.0,3.0,5.0,2.0,14.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,3.0,Brighton,MF,FW
Florin Andone,ro ROU,26.0,0.8,12.0,11.0,1.0,0.0,0.0,5.0,0.0,0,1.0,0.0,0.0,0.0,8.0,2.0,2.0,2.0,6.0,2.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,Brighton,MF,FW
Gaëtan Bong,cm CMR,31.0,0.7,35.0,32.0,3.0,1.0,0.0,3.0,1.0,5,0.0,0.0,0.0,0.0,23.0,2.0,10.0,32.0,1.0,0.0,2.0,0.0,24.0,0.0,1.0,1.0,3.0,Brighton,MF,DF
Nick Pope,eng ENG,27.0,38.0,1180.0,718.0,462.0,155.0,1.0,105.0,31.0,0,1.0,1.0,0.0,0.0,217.0,69.0,894.0,59.0,838.0,3.0,1.0,168.0,536.0,8.0,63.0,5.0,4.0,Burnley,GK,
James Tarkowski,eng ENG,26.0,38.0,1250.0,1222.0,28.0,25.0,0.0,245.0,32.0,4,0.0,0.0,0.0,0.0,617.0,210.0,423.0,153.0,839.0,130.0,3.0,6.0,913.0,6.0,49.0,12.0,19.0,Burnley,DF,
Dwight McNeil,eng ENG,19.0,37.1,1277.0,1151.0,126.0,56.0,4.0,295.0,109.0,256,60.0,52.0,4.0,2.0,740.0,159.0,378.0,1145.0,52.0,45.0,9.0,4.0,874.0,9.0,26.0,24.0,73.0,Burnley,MF,
Ashley Westwood,eng ENG,29.0,35.0,1854.0,1653.0,201.0,65.0,10.0,281.0,90.0,146,91.0,80.0,1.0,2.0,1004.0,324.0,526.0,102.0,1663.0,66.0,3.0,5.0,1381.0,11.0,39.0,19.0,36.0,Burnley,MF,
Ben Mee,eng ENG,29.0,32.0,1172.0,1114.0,58.0,53.0,0.0,226.0,37.0,2,0.0,0.0,0.0,0.0,642.0,149.0,381.0,901.0,135.0,73.0,5.0,4.0,875.0,5.0,36.0,8.0,12.0,Burnley,DF,
Jack Cork,eng ENG,30.0,29.0,933.0,926.0,7.0,3.0,3.0,244.0,26.0,6,0.0,0.0,0.0,0.0,589.0,148.0,196.0,101.0,723.0,59.0,4.0,3.0,743.0,6.0,13.0,9.0,16.0,Burnley,MF,
Chris Wood,nz NZL,27.0,27.1,483.0,470.0,13.0,0.0,0.0,163.0,4.0,8,0.0,0.0,0.0,0.0,207.0,152.0,124.0,60.0,249.0,69.0,2.0,20.0,312.0,4.0,12.0,13.0,14.0,Burnley,FW,
Charlie Taylor,eng ENG,25.0,21.6,1035.0,754.0,281.0,11.0,2.0,157.0,25.0,88,0.0,0.0,0.0,0.0,356.0,260.0,419.0,660.0,19.0,57.0,270.0,2.0,726.0,5.0,28.0,9.0,48.0,Burnley,DF,
Jeff Hendrick,ie IRL,27.0,21.5,575.0,548.0,27.0,3.0,0.0,135.0,12.0,31,6.0,6.0,0.0,0.0,370.0,79.0,126.0,60.0,461.0,29.0,7.0,6.0,420.0,5.0,15.0,11.0,40.0,Burnley,MF,
Phil Bardsley,sco SCO,34.0,21.0,897.0,662.0,235.0,16.0,2.0,93.0,23.0,30,0.0,0.0,0.0,0.0,335.0,182.0,380.0,71.0,529.0,60.0,219.0,1.0,599.0,6.0,30.0,6.0,29.0,Burnley,DF,
Erik Pieters,nl NED,30.0,20.9,923.0,737.0,186.0,10.0,2.0,180.0,20.0,41,1.0,1.0,0.0,0.0,455.0,191.0,277.0,623.0,56.0,44.0,175.0,4.0,687.0,4.0,17.0,14.0,34.0,Burnley,DF,MF
Jay Rodriguez,eng ENG,30.0,22.4,495.0,481.0,14.0,2.0,1.0,150.0,10.0,14,0.0,0.0,0.0,0.0,245.0,151.0,99.0,20.0,355.0,45.0,1.0,18.0,345.0,0.0,6.0,10.0,26.0,Burnley,FW,
Matthew Lowton,eng ENG,30.0,17.0,726.0,562.0,164.0,12.0,2.0,144.0,20.0,43,0.0,0.0,0.0,0.0,294.0,162.0,270.0,51.0,477.0,35.0,152.0,2.0,497.0,5.0,20.0,17.0,19.0,Burnley,DF,
Ashley Barnes,at AUT,29.0,15.0,253.0,244.0,9.0,0.0,1.0,97.0,1.0,5,0.0,0.0,0.0,0.0,123.0,59.0,71.0,46.0,142.0,22.0,1.0,8.0,155.0,1.0,10.0,9.0,13.0,Burnley,FW,
Josh Brownhill,eng ENG,23.0,8.9,340.0,332.0,8.0,4.0,0.0,47.0,6.0,2,0.0,0.0,0.0,0.0,206.0,57.0,77.0,41.0,246.0,31.0,3.0,2.0,276.0,3.0,7.0,3.0,3.0,Burnley,MF,
Matěj Vydra,cz CZE,27.0,9.1,138.0,135.0,3.0,0.0,0.0,47.0,0.0,3,0.0,0.0,0.0,0.0,72.0,49.0,17.0,22.0,78.0,20.0,1.0,2.0,102.0,0.0,5.0,1.0,5.0,Burnley,FW,
Jóhann Berg Guðmundsson,is ISL,28.0,6.9,192.0,185.0,7.0,0.0,0.0,40.0,16.0,35,6.0,6.0,0.0,0.0,99.0,33.0,60.0,151.0,28.0,9.0,1.0,0.0,132.0,0.0,3.0,1.0,5.0,Burnley,MF,
Kevin Long,ie IRL,28.0,6.3,186.0,183.0,3.0,2.0,0.0,21.0,4.0,0,0.0,0.0,0.0,0.0,108.0,19.0,59.0,11.0,132.0,29.0,1.0,0.0,142.0,0.0,5.0,0.0,1.0,Burnley,DF,
Robbie Brady,ie IRL,27.0,5.0,167.0,158.0,9.0,3.0,0.0,49.0,4.0,12,4.0,4.0,0.0,0.0,87.0,29.0,51.0,119.0,21.0,14.0,2.0,0.0,108.0,1.0,5.0,6.0,4.0,Burnley,MF,
Aaron Lennon,eng ENG,32.0,5.5,131.0,129.0,2.0,0.0,0.0,32.0,5.0,8,1.0,1.0,0.0,0.0,91.0,21.0,19.0,11.0,112.0,4.0,1.0,0.0,92.0,0.0,3.0,2.0,10.0,Burnley,MF,
Danny Drinkwater,eng ENG,29.0,0.6,20.0,19.0,1.0,1.0,0.0,3.0,1.0,0,0.0,0.0,0.0,0.0,9.0,2.0,9.0,3.0,14.0,3.0,0.0,0.0,11.0,0.0,2.0,0.0,1.0,Burnley,MF,
Max Thompson,eng ENG,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,FW,
César Azpilicueta,es ESP,29.0,35.9,2838.0,2436.0,402.0,25.0,1.0,401.0,44.0,118,0.0,0.0,0.0,0.0,1720.0,516.0,602.0,280.0,2009.0,109.0,377.0,8.0,2267.0,8.0,40.0,39.0,96.0,Chelsea,DF,
Kepa Arrizabalaga,es ESP,24.0,33.0,1086.0,832.0,254.0,54.0,0.0,119.0,22.0,0,0.0,0.0,0.0,0.0,702.0,62.0,322.0,157.0,772.0,2.0,1.0,145.0,877.0,5.0,14.0,9.0,2.0,Chelsea,GK,
Mason Mount,eng ENG,20.0,31.9,1380.0,1233.0,147.0,52.0,4.0,256.0,58.0,135,80.0,36.0,14.0,10.0,968.0,202.0,210.0,161.0,1165.0,28.0,9.0,6.0,1116.0,5.0,21.0,14.0,48.0,Chelsea,MF,FW
Willian,br BRA,30.0,28.9,1600.0,1464.0,136.0,16.0,5.0,339.0,82.0,175,110.0,27.0,55.0,10.0,1079.0,245.0,276.0,186.0,1356.0,37.0,8.0,5.0,1247.0,4.0,19.0,22.0,49.0,Chelsea,FW,
Jorginho,it ITA,27.0,26.4,2221.0,2163.0,58.0,53.0,5.0,425.0,67.0,9,0.0,0.0,0.0,0.0,1542.0,330.0,349.0,127.0,2028.0,46.0,5.0,5.0,1955.0,6.0,15.0,21.0,19.0,Chelsea,MF,
Kurt Zouma,fr FRA,24.0,26.0,1982.0,1952.0,30.0,25.0,0.0,212.0,90.0,0,0.0,0.0,0.0,0.0,1552.0,140.0,290.0,353.0,1513.0,66.0,5.0,2.0,1772.0,3.0,31.0,13.0,13.0,Chelsea,DF,
Tammy Abraham,eng ENG,21.0,24.6,412.0,360.0,52.0,0.0,0.0,149.0,5.0,10,0.0,0.0,0.0,0.0,259.0,81.0,72.0,31.0,306.0,17.0,0.0,17.0,288.0,1.0,6.0,8.0,26.0,Chelsea,FW,
Mateo Kovačić,hr CRO,25.0,23.0,1846.0,1798.0,48.0,40.0,5.0,337.0,81.0,8,0.0,0.0,0.0,0.0,1441.0,230.0,175.0,80.0,1723.0,25.0,8.0,4.0,1666.0,3.0,14.0,24.0,21.0,Chelsea,MF,
Andreas Christensen,dk DEN,23.0,19.5,1258.0,1224.0,34.0,29.0,1.0,170.0,33.0,0,0.0,0.0,0.0,0.0,1047.0,83.0,128.0,80.0,1108.0,31.0,5.0,3.0,1166.0,3.0,16.0,7.0,6.0,Chelsea,DF,
N'Golo Kanté,fr FRA,28.0,19.2,1140.0,1131.0,9.0,7.0,0.0,241.0,18.0,26,0.0,0.0,0.0,0.0,817.0,173.0,150.0,149.0,920.0,48.0,1.0,7.0,975.0,5.0,13.0,18.0,34.0,Chelsea,MF,
Christian Pulisic,us USA,20.0,19.1,700.0,690.0,10.0,4.0,4.0,212.0,16.0,34,4.0,3.0,0.0,0.0,502.0,105.0,93.0,139.0,521.0,28.0,2.0,2.0,546.0,2.0,10.0,8.0,35.0,Chelsea,FW,
Antonio Rüdiger,de GER,26.0,19.0,1449.0,1416.0,33.0,25.0,0.0,186.0,59.0,7,0.0,0.0,0.0,0.0,1054.0,153.0,242.0,274.0,1079.0,50.0,8.0,6.0,1272.0,6.0,24.0,5.0,13.0,Chelsea,DF,
Reece James,eng ENG,19.0,16.8,1268.0,1077.0,191.0,26.0,3.0,202.0,29.0,110,10.0,4.0,6.0,0.0,802.0,227.0,239.0,104.0,951.0,31.0,155.0,4.0,1055.0,3.0,24.0,10.0,37.0,Chelsea,DF,
Marcos Alonso,es ESP,28.0,15.9,1108.0,941.0,167.0,8.0,0.0,228.0,21.0,67,1.0,1.0,0.0,0.0,674.0,231.0,203.0,788.0,93.0,44.0,158.0,0.0,916.0,1.0,15.0,11.0,30.0,Chelsea,DF,
