player,nationality,age,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,team,Pos1,Pos2
Aaron Ramsdale,eng ENG,21.0,37.0,0,0,0,0,3,0,1,0,0,0.0,0.0,0,198.0,0.0,0.0,0.0,Bournemouth,GK,
Callum Wilson,eng ENG,27.0,32.3,10,0,0,55,40,34,21,3,12,2.0,0.0,0,125.0,54.0,152.0,26.2,Bournemouth,FW,
Jefferson Lerma,co COL,24.0,30.0,13,1,1,42,37,1,6,54,49,0.0,0.0,0,452.0,53.0,36.0,59.6,Bournemouth,MF,
Philip Billing,dk DEN,23.0,28.1,8,0,0,38,23,2,15,71,46,0.0,0.0,0,321.0,107.0,66.0,61.8,Bournemouth,MF,
Nathan Aké,nl NED,24.0,27.8,2,0,0,9,13,3,4,33,11,0.0,0.0,0,247.0,64.0,58.0,52.5,Bournemouth,DF,
Steve Cook,eng ENG,28.0,27.0,6,1,0,17,15,1,2,45,13,0.0,1.0,0,287.0,108.0,61.0,63.9,Bournemouth,DF,
Diego Rico,es ESP,26.0,25.9,6,0,0,18,22,2,174,80,42,0.0,0.0,0,314.0,37.0,25.0,59.7,Bournemouth,DF,
Adam Smith,eng ENG,28.0,22.8,7,0,0,25,40,2,28,25,30,0.0,2.0,0,194.0,36.0,30.0,54.5,Bournemouth,DF,
Joshua King,no NOR,27.0,22.3,0,0,0,37,27,7,23,5,15,0.0,0.0,0,130.0,39.0,67.0,36.8,Bournemouth,FW,MF
Ryan Fraser,sco SCO,25.0,23.0,2,0,0,10,36,1,173,16,8,0.0,0.0,0,139.0,10.0,26.0,27.8,Bournemouth,MF,FW
Harry Wilson,wal WAL,22.0,18.3,2,0,0,12,41,1,35,12,11,0.0,2.0,0,146.0,10.0,19.0,34.5,Bournemouth,MF,FW
Dominic Solanke,eng ENG,21.0,18.3,1,0,0,15,23,4,6,8,10,0.0,0.0,0,120.0,51.0,102.0,33.3,Bournemouth,FW,MF
Jack Stacey,eng ENG,23.0,17.2,2,0,0,10,10,1,34,21,13,0.0,0.0,0,185.0,22.0,18.0,55.0,Bournemouth,DF,
Lewis Cook,eng ENG,22.0,15.0,5,0,0,23,11,0,9,21,16,0.0,0.0,0,168.0,14.0,16.0,46.7,Bournemouth,MF,
Dan Gosling,eng ENG,29.0,14.0,3,0,0,21,17,2,3,20,20,0.0,0.0,0,130.0,22.0,30.0,42.3,Bournemouth,MF,
Simon Francis,eng ENG,34.0,10.8,5,1,1,7,1,0,16,20,12,0.0,0.0,0,118.0,48.0,28.0,63.2,Bournemouth,DF,
Chris Mepham,wal WAL,21.0,10.1,1,0,0,11,5,1,3,17,14,0.0,0.0,0,106.0,36.0,21.0,63.2,Bournemouth,DF,
David Brooks,wal WAL,22.0,5.6,1,0,0,4,6,0,24,3,3,0.0,0.0,0,26.0,0.0,6.0,0.0,Bournemouth,MF,
Junior Stanislas,eng ENG,29.0,7.9,1,0,0,5,4,1,37,5,6,0.0,0.0,0,60.0,9.0,6.0,60.0,Bournemouth,MF,DF
Lloyd Kelly,eng ENG,20.0,7.1,2,0,0,7,2,0,6,6,6,0.0,0.0,0,70.0,9.0,16.0,36.0,Bournemouth,DF,
Arnaut Groeneveld,nl NED,22.0,7.0,0,0,0,0,5,5,9,8,5,0.0,0.0,0,36.0,3.0,10.0,23.1,Bournemouth,MF,
Andrew Surman,eng ENG,32.0,2.6,1,0,0,1,1,0,3,1,2,0.0,0.0,0,40.0,5.0,7.0,41.7,Bournemouth,MF,
