player,nationality,age,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,team,Pos1,Pos2
Moritz Leitner,de GER,26.0,7.6,1,0,0,9,11,0,5,8,9,0.0,0.0,0,77.0,5.0,6.0,45.5,Norwich City,MF,
Timm Klose,ch SUI,31.0,6.5,0,0,0,8,7,0,0,8,4,0.0,0.0,0,78.0,17.0,15.0,53.1,Norwich City,DF,
Mario Vrančić,ba BIH,30.0,7.1,3,0,0,13,13,1,7,8,14,0.0,0.0,0,88.0,9.0,13.0,40.9,Norwich City,MF,
Josip Drmić,ch SUI,26.0,7.2,0,1,0,6,4,7,3,1,3,0.0,0.0,0,49.0,12.0,40.0,23.1,Norwich City,FW,MF
Adam Idah,ie IRL,18.0,2.5,0,0,0,2,4,1,0,0,4,0.0,0.0,0,12.0,4.0,9.0,30.8,Norwich City,FW,MF
Michael McGovern,nir NIR,35.0,1.8,0,0,0,0,0,0,0,0,0,0.0,0.0,0,10.0,0.0,0.0,0.0,Norwich City,GK,
Ralf Fährmann,de GER,30.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,Norwich City,GK,
Dennis Srbeny,de GER,25.0,0.5,0,0,0,1,0,0,0,0,4,0.0,0.0,0,5.0,1.0,5.0,16.7,Norwich City,MF,FW
Josh Martin,eng ENG,17.0,0.4,0,0,0,1,0,0,0,1,0,0.0,0.0,0,3.0,0.0,0.0,0.0,Norwich City,FW,
Patrick Roberts,eng ENG,22.0,0.3,0,0,0,1,2,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,Norwich City,MF,FW
Akin Famewo,eng ENG,20.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Norwich City,MF,
Jordan Thomas,eng ENG,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Norwich City,FW,
George Baldock,eng ENG,26.0,38.0,7,0,0,47,44,11,128,37,45,1.0,0.0,0,303.0,37.0,55.0,40.2,Sheffield Utd,DF,
Enda Stevens,ie IRL,29.0,37.2,7,0,0,39,19,2,121,36,43,0.0,0.0,0,341.0,35.0,26.0,57.4,Sheffield Utd,DF,
Chris Basham,eng ENG,31.0,36.0,4,0,0,26,31,5,50,73,50,0.0,1.0,0,412.0,105.0,65.0,61.8,Sheffield Utd,DF,
Oliver Norwood,nir NIR,28.0,34.3,8,0,0,32,16,1,198,51,44,0.0,1.0,0,463.0,43.0,30.0,58.9,Sheffield Utd,MF,
Dean Henderson,eng ENG,22.0,36.0,2,0,0,0,2,0,0,0,0,0.0,0.0,0,199.0,1.0,0.0,100.0,Sheffield Utd,GK,
John Egan,ie IRL,26.0,35.4,5,1,1,33,20,1,2,56,27,0.0,1.0,0,370.0,140.0,57.0,71.1,Sheffield Utd,DF,
Jack O'Connell,eng ENG,25.0,32.4,4,0,0,21,17,2,51,41,20,0.0,0.0,0,376.0,126.0,47.0,72.8,Sheffield Utd,DF,
John Fleck,sco SCO,27.0,28.0,8,0,0,25,22,1,147,24,24,0.0,0.0,0,250.0,12.0,25.0,32.4,Sheffield Utd,MF,
John Lundstram,eng ENG,25.0,27.3,5,0,0,28,12,7,55,33,33,0.0,0.0,0,235.0,26.0,35.0,42.6,Sheffield Utd,MF,
Oliver McBurnie,sco SCO,23.0,23.5,4,0,0,28,28,4,10,18,21,0.0,0.0,0,141.0,188.0,193.0,49.3,Sheffield Utd,FW,
David McGoldrick,ie IRL,31.0,20.2,2,0,0,29,18,12,8,3,26,0.0,0.0,0,112.0,73.0,120.0,37.8,Sheffield Utd,FW,
Sander Berge,no NOR,21.0,10.5,0,0,0,18,5,1,23,10,17,0.0,0.0,0,94.0,30.0,16.0,65.2,Sheffield Utd,MF,
Lys Mousset,fr FRA,23.0,13.8,1,0,0,24,14,16,4,4,4,0.0,0.0,0,66.0,13.0,84.0,13.4,Sheffield Utd,FW,
Billy Sharp,eng ENG,33.0,11.7,1,1,0,20,32,12,12,1,5,0.0,0.0,0,55.0,13.0,44.0,22.8,Sheffield Utd,FW,
Callum Robinson,ie IRL,24.0,7.5,1,0,0,11,4,1,15,5,4,0.0,0.0,0,32.0,3.0,21.0,12.5,Sheffield Utd,FW,
Ben Osborn,eng ENG,24.0,6.6,0,0,0,9,6,1,16,6,10,0.0,0.0,0,58.0,9.0,7.0,56.3,Sheffield Utd,MF,DF
Jack Robinson,eng ENG,25.0,5.6,0,0,0,4,4,1,6,7,3,0.0,0.0,0,60.0,13.0,7.0,65.0,Sheffield Utd,DF,
Luke Freeman,eng ENG,27.0,4.1,2,0,0,6,5,0,15,9,4,0.0,0.0,0,36.0,5.0,4.0,55.6,Sheffield Utd,MF,
Muhamed Bešić,ba BIH,26.0,2.8,2,0,0,6,2,0,1,2,6,0.0,0.0,0,28.0,5.0,5.0,50.0,Sheffield Utd,MF,
Phil Jagielka,eng ENG,36.0,2.7,0,0,0,1,4,0,1,4,4,0.0,0.0,0,28.0,11.0,4.0,73.3,Sheffield Utd,DF,
Simon Moore,eng ENG,29.0,2.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,10.0,0.0,0.0,0.0,Sheffield Utd,GK,
Richairo Živković,nl NED,22.0,1.2,0,0,0,1,1,0,1,0,2,0.0,0.0,0,2.0,1.0,9.0,10.0,Sheffield Utd,FW,
Leon Clarke,eng ENG,34.0,0.4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,2.0,1.0,66.7,Sheffield Utd,FW,MF
Jack Rodwell,eng ENG,28.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,Sheffield Utd,MF,
Ravel Morrison,eng ENG,26.0,0.1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,Sheffield Utd,MF,
Kieron Freeman,wal WAL,27.0,0.1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,2.0,0.0,Sheffield Utd,FW,
James Ward-Prowse,eng ENG,24.0,38.0,9,0,0,56,43,0,265,54,56,1.0,0.0,0,481.0,73.0,52.0,58.4,Southampton,MF,DF
Jan Bednarek,pl POL,23.0,34.0,4,0,0,33,12,0,1,74,38,0.0,1.0,1,401.0,132.0,54.0,71.0,Southampton,DF,
Danny Ings,eng ENG,27.0,31.2,3,0,0,37,25,12,29,12,32,2.0,0.0,0,188.0,40.0,117.0,25.5,Southampton,FW,
Nathan Redmond,eng ENG,25.0,30.7,2,0,0,23,31,5,42,15,46,0.0,0.0,0,250.0,20.0,57.0,26.0,Southampton,MF,FW
Ryan Bertrand,eng ENG,29.0,30.5,3,1,0,27,32,1,117,31,28,0.0,0.0,0,274.0,65.0,54.0,54.6,Southampton,DF,
Pierre Højbjerg,dk DEN,23.0,30.6,5,0,0,46,38,1,28,45,57,0.0,1.0,0,510.0,51.0,42.0,54.8,Southampton,MF,
Alex McCarthy,eng ENG,29.0,28.0,0,0,0,1,3,0,0,0,0,0.0,0.0,0,117.0,0.0,0.0,0.0,Southampton,GK,
Jack Stephens,eng ENG,25.0,27.2,4,1,0,13,13,0,5,30,35,0.0,1.0,0,322.0,43.0,56.0,43.4,Southampton,DF,
Oriol Romeu,es ESP,27.0,20.7,5,0,0,39,16,1,6,32,39,0.0,0.0,0,302.0,41.0,32.0,56.2,Southampton,MF,
Stuart Armstrong,sco SCO,27.0,19.1,4,0,0,26,20,4,23,10,25,0.0,0.0,0,168.0,10.0,29.0,25.6,Southampton,MF,
Jannik Vestergaard,dk DEN,26.0,16.6,3,0,0,9,9,0,1,24,12,0.0,0.0,0,195.0,80.0,30.0,72.7,Southampton,DF,
Cédric Soares,pt POR,27.0,14.5,1,0,0,10,3,0,52,18,24,0.0,0.0,0,124.0,20.0,22.0,47.6,Southampton,DF,
Shane Long,ie IRL,32.0,15.5,0,0,0,32,25,12,20,3,15,0.0,0.0,0,81.0,114.0,128.0,47.1,Southampton,FW,
Che Adams,eng ENG,23.0,12.3,0,0,0,17,16,10,14,2,6,1.0,0.0,0,73.0,29.0,86.0,25.2,Southampton,FW,
Moussa Djenepo,ml MLI,21.0,10.3,4,1,0,23,30,3,23,10,18,0.0,0.0,0,55.0,5.0,14.0,26.3,Southampton,MF,DF
Angus Gunn,eng ENG,23.0,10.0,0,0,0,0,2,0,0,0,0,0.0,0.0,0,38.0,0.0,0.0,0.0,Southampton,GK,
Yan Valery,fr FRA,20.0,8.7,1,0,0,7,8,3,12,12,13,0.0,0.0,0,83.0,21.0,19.0,52.5,Southampton,DF,
Sofiane Boufal,ma MAR,25.0,8.5,2,0,0,25,20,2,27,3,12,0.0,1.0,0,69.0,8.0,11.0,42.1,Southampton,MF,FW
Michael Obafemi,ie IRL,19.0,7.4,1,0,0,11,7,3,2,4,2,0.0,0.0,0,32.0,8.0,41.0,16.3,Southampton,FW,
Kyle Walker-Peters,eng ENG,22.0,7.8,1,0,0,6,21,1,12,13,8,0.0,0.0,0,70.0,3.0,15.0,16.7,Southampton,DF,
Maya Yoshida,jp JPN,30.0,6.2,1,0,0,3,5,0,0,3,5,0.0,0.0,0,53.0,14.0,8.0,63.6,Southampton,DF,
William Smallbone,ie IRL,19.0,4.4,0,0,0,2,6,0,5,2,8,0.0,0.0,0,42.0,3.0,21.0,12.5,Southampton,MF,
Kevin Danso,at AUT,20.0,3.1,2,1,1,4,2,0,4,3,4,0.0,0.0,0,28.0,11.0,10.0,52.4,Southampton,DF,
Jake Vokins,eng ENG,19.0,1.0,0,0,0,0,1,0,1,0,0,0.0,0.0,0,8.0,0.0,0.0,0.0,Southampton,DF,
Nathan Tella,eng ENG,20.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1.0,1.0,1.0,50.0,Southampton,FW,
Toby Alderweireld,be BEL,30.0,32.9,7,0,0,18,4,1,8,26,24,0.0,0.0,1,322.0,76.0,54.0,58.5,Tottenham,DF,
Serge Aurier,ci CIV,26.0,30.0,4,1,1,40,22,6,134,43,55,0.0,2.0,1,320.0,67.0,67.0,50.0,Tottenham,DF,
Harry Kane,eng ENG,26.0,28.7,4,0,0,37,44,20,21,5,14,1.0,0.0,0,92.0,64.0,123.0,34.2,Tottenham,FW,
Son Heung-min,kr KOR,27.0,27.5,0,2,0,17,27,17,77,19,21,1.0,0.0,0,183.0,8.0,34.0,19.0,Tottenham,FW,MF
Moussa Sissoko,fr FRA,29.0,27.2,8,0,0,44,16,2,23,31,35,0.0,1.0,0,285.0,31.0,27.0,53.4,Tottenham,MF,
Davinson Sánchez,co COL,23.0,27.0,6,0,0,27,12,1,2,34,36,0.0,0.0,0,260.0,52.0,34.0,60.5,Tottenham,DF,
Harry Winks,eng ENG,23.0,24.7,9,0,0,24,23,0,27,37,23,0.0,0.0,0,233.0,15.0,9.0,62.5,Tottenham,MF,
Lucas Moura,br BRA,26.0,24.9,3,0,0,31,63,5,19,15,33,0.0,0.0,0,199.0,57.0,83.0,40.7,Tottenham,FW,MF
Dele Alli,eng ENG,23.0,20.5,2,0,0,12,33,6,7,14,29,0.0,0.0,0,157.0,17.0,32.0,34.7,Tottenham,MF,FW
Hugo Lloris,fr FRA,32.0,20.1,0,0,0,0,1,0,0,1,0,0.0,0.0,0,93.0,0.0,0.0,0.0,Tottenham,GK,
Jan Vertonghen,be BEL,32.0,18.3,2,0,0,7,17,0,18,31,21,0.0,1.0,0,196.0,59.0,25.0,70.2,Tottenham,DF,
Paulo Gazzaniga,ar ARG,27.0,17.9,1,0,0,1,2,0,0,0,0,0.0,1.0,0,80.0,0.0,0.0,0.0,Tottenham,GK,
Ben Davies,wal WAL,26.0,15.9,6,0,0,27,8,1,30,24,13,0.0,0.0,0,163.0,42.0,22.0,65.6,Tottenham,DF,
Giovani Lo Celso,ar ARG,23.0,16.6,6,0,0,28,45,0,56,12,33,0.0,0.0,0,167.0,7.0,24.0,22.6,Tottenham,MF,FW
Eric Dier,eng ENG,25.0,14.9,5,0,0,19,4,1,3,19,14,0.0,1.0,0,170.0,79.0,36.0,68.7,Tottenham,DF,MF
Érik Lamela,ar ARG,27.0,13.5,3,0,0,30,26,1,49,7,21,1.0,0.0,0,92.0,5.0,19.0,20.8,Tottenham,MF,FW
Tanguy Ndombele,fr FRA,22.0,11.2,3,0,0,14,29,0,12,13,19,0.0,0.0,0,109.0,5.0,7.0,41.7,Tottenham,MF,
Christian Eriksen,dk DEN,27.0,12.2,5,0,0,9,6,2,72,11,12,0.0,0.0,0,138.0,3.0,9.0,25.0,Tottenham,MF,FW
Danny Rose,eng ENG,29.0,9.9,5,0,0,14,17,0,39,7,13,0.0,0.0,0,93.0,9.0,6.0,60.0,Tottenham,DF,
Steven Bergwijn,nl NED,21.0,7.8,2,0,0,7,10,0,10,3,4,1.0,0.0,0,71.0,6.0,8.0,42.9,Tottenham,FW,MF
Japhet Tanganga,eng ENG,20.0,5.8,1,0,0,8,4,0,2,11,15,0.0,0.0,0,50.0,19.0,10.0,65.5,Tottenham,DF,
Ryan Sessegnon,eng ENG,19.0,3.8,0,0,0,4,2,2,13,1,0,0.0,1.0,0,28.0,6.0,5.0,54.5,Tottenham,DF,
Kyle Walker-Peters,eng ENG,22.0,2.7,0,0,0,1,5,1,8,2,3,0.0,0.0,0,27.0,2.0,4.0,33.3,Tottenham,DF,
Oliver Skipp,eng ENG,18.0,0.9,0,0,0,1,0,0,0,0,2,0.0,0.0,0,14.0,0.0,2.0,0.0,Tottenham,MF,DF
Juan Foyth,ar ARG,21.0,0.8,1,0,0,2,1,0,0,2,4,0.0,0.0,0,11.0,1.0,0.0,100.0,Tottenham,DF,
Gedson Fernandes,pt POR,20.0,0.8,0,0,0,0,2,0,6,1,1,0.0,0.0,0,9.0,0.0,1.0,0.0,Tottenham,MF,DF
Victor Wanyama,ke KEN,28.0,0.3,1,0,0,1,1,0,0,0,0,0.0,0.0,0,4.0,1.0,0.0,100.0,Tottenham,MF,
Troy Parrott,ie IRL,17.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,Tottenham,MF,
Georges-Kévin N'Koudou,fr FRA,24.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Tottenham,FW,
Ben Foster,eng ENG,36.0,38.0,1,0,0,2,3,0,0,1,0,0.0,2.0,0,222.0,1.0,0.0,100.0,Watford,GK,
Abdoulaye Doucouré,fr FRA,26.0,35.1,9,0,0,51,15,6,26,32,49,0.0,1.0,1,440.0,53.0,53.0,50.0,Watford,MF,
Étienne Capoue,fr FRA,31.0,29.2,8,0,0,58,39,0,23,62,54,0.0,1.0,0,403.0,46.0,13.0,78.0,Watford,MF,
Craig Cathcart,nir NIR,30.0,27.6,7,0,0,13,2,0,1,22,26,0.0,0.0,0,260.0,75.0,45.0,62.5,Watford,DF,
Will Hughes,eng ENG,24.0,25.0,9,0,0,53,46,1,69,35,49,0.0,2.0,0,267.0,25.0,28.0,47.2,Watford,MF,FW
Craig Dawson,eng ENG,29.0,26.2,6,0,0,31,12,0,4,34,19,0.0,1.0,0,254.0,107.0,36.0,74.8,Watford,DF,
Christian Kabasele,be BEL,28.0,25.0,3,2,1,22,14,0,0,37,24,0.0,0.0,0,199.0,59.0,45.0,56.7,Watford,DF,
Kiko Femenía,es ESP,28.0,24.9,5,0,0,26,12,1,68,37,32,1.0,0.0,0,274.0,21.0,10.0,67.7,Watford,DF,
Troy Deeney,eng ENG,31.0,24.7,3,0,0,37,37,12,10,11,17,1.0,0.0,0,119.0,173.0,290.0,37.4,Watford,FW,
Gerard Deulofeu,es ESP,25.0,23.3,3,0,0,27,22,18,91,24,21,1.0,0.0,0,164.0,3.0,15.0,16.7,Watford,FW,
Ismaila Sarr,sn SEN,21.0,22.5,1,0,0,22,47,12,97,15,19,2.0,0.0,0,142.0,18.0,49.0,26.9,Watford,FW,MF
Adam Masina,it ITA,25.0,20.2,3,0,0,26,12,2,68,28,25,0.0,1.0,0,230.0,66.0,29.0,69.5,Watford,DF,
Roberto Pereyra,ar ARG,28.0,18.3,4,0,0,21,33,6,31,12,10,1.0,0.0,0,143.0,7.0,28.0,20.0,Watford,FW,MF
Adrian Mariappa,jm JAM,32.0,16.8,6,1,1,20,7,2,21,10,12,0.0,0.0,1,133.0,41.0,32.0,56.2,Watford,DF,
José Holebas,gr GRE,35.0,11.4,5,0,0,18,6,0,70,2,12,0.0,1.0,0,89.0,35.0,18.0,66.0,Watford,DF,
Tom Cleverley,eng ENG,29.0,10.8,2,0,0,16,10,0,28,9,17,0.0,0.0,0,92.0,8.0,14.0,36.4,Watford,MF,
Nathaniel Chalobah,eng ENG,24.0,10.3,1,0,0,7,8,0,21,16,19,0.0,0.0,0,115.0,17.0,14.0,54.8,Watford,MF,
Danny Welbeck,eng ENG,28.0,9.1,0,0,0,8,10,2,1,5,9,1.0,0.0,0,36.0,23.0,22.0,51.1,Watford,FW,MF
Andre Gray,eng ENG,28.0,8.4,1,0,0,10,1,6,5,1,5,0.0,0.0,0,38.0,14.0,33.0,29.8,Watford,FW,
Daryl Janmaat,nl NED,30.0,6.7,1,0,0,5,1,0,23,6,6,0.0,0.0,1,45.0,1.0,1.0,50.0,Watford,DF,
Dimitri Foulquier,fr FRA,26.0,0.7,0,0,0,0,0,0,1,2,1,0.0,0.0,0,4.0,0.0,2.0,0.0,Watford,MF,DF
Sebastian Prödl,at AUT,32.0,0.6,0,0,0,1,0,0,0,0,0,0.0,0.0,0,5.0,4.0,1.0,80.0,Watford,DF,
Ignacio Pussetto,ar ARG,23.0,0.8,1,0,0,3,2,0,4,3,3,0.0,0.0,0,14.0,1.0,3.0,25.0,Watford,FW,DF
Isaac Success,ng NGA,23.0,0.8,1,0,0,2,2,0,2,1,0,0.0,0.0,0,5.0,1.0,7.0,12.5,Watford,FW,MF
João Pedro,br BRA,17.0,0.3,0,0,0,1,0,0,3,0,0,0.0,0.0,0,3.0,2.0,3.0,40.0,Watford,FW,MF
Domingos Quina,pt POR,19.0,0.2,0,0,0,1,1,0,0,0,0,0.0,0.0,0,4.0,0.0,2.0,0.0,Watford,MF,
Declan Rice,eng ENG,20.0,38.0,6,0,0,41,7,2,26,78,89,0.0,1.0,0,450.0,51.0,33.0,60.7,West Ham,MF,
Mark Noble,eng ENG,32.0,29.7,5,0,0,28,31,1,40,21,36,1.0,0.0,0,299.0,11.0,18.0,37.9,West Ham,MF,
Angelo Ogbonna,it ITA,31.0,31.0,4,0,0,22,14,0,1,32,34,0.0,1.0,1,311.0,108.0,50.0,68.4,West Ham,DF,
Issa Diop,fr FRA,22.0,30.7,8,0,0,31,11,1,1,46,16,0.0,3.0,0,306.0,84.0,39.0,68.3,West Ham,DF,
Aaron Cresswell,eng ENG,29.0,30.3,7,0,0,16,18,2,127,35,29,0.0,0.0,0,295.0,51.0,34.0,60.0,West Ham,DF,
Ryan Fredericks,eng ENG,26.0,24.9,7,0,0,25,21,0,58,26,48,0.0,0.0,0,200.0,28.0,39.0,41.8,West Ham,DF,
Łukasz Fabiański,pl POL,34.0,23.5,1,0,0,1,2,0,0,1,0,0.0,1.0,0,120.0,0.0,0.0,0.0,West Ham,GK,
Sébastien Haller,fr FRA,25.0,25.2,1,0,0,46,38,18,8,8,17,1.0,0.0,0,121.0,200.0,195.0,50.6,West Ham,FW,
Pablo Fornals,es ESP,23.0,24.1,3,0,0,18,16,7,62,24,29,0.0,0.0,0,187.0,9.0,49.0,15.5,West Ham,MF,FW
Felipe Anderson,br BRA,26.0,16.6,1,0,0,17,23,2,36,21,30,0.0,0.0,0,135.0,4.0,24.0,14.3,West Ham,MF,FW
Michail Antonio,eng ENG,29.0,19.6,3,0,0,40,35,12,49,9,10,0.0,0.0,0,95.0,76.0,115.0,39.8,West Ham,FW,
Robert Snodgrass,sco SCO,31.0,16.8,4,0,0,20,32,4,135,5,10,0.0,0.0,0,129.0,16.0,24.0,40.0,West Ham,MF,FW
Manuel Lanzini,ar ARG,26.0,15.3,1,0,0,6,26,4,42,9,9,1.0,0.0,0,126.0,6.0,14.0,30.0,West Ham,MF,FW
Fabián Balbuena,py PAR,27.0,13.1,2,0,0,6,2,0,1,26,11,0.0,0.0,0,142.0,46.0,28.0,62.2,West Ham,DF,
Tomáš Souček,cz CZE,24.0,11.6,0,0,0,11,9,0,2,22,25,0.0,0.0,1,117.0,62.0,38.0,62.0,West Ham,MF,
Jarrod Bowen,eng ENG,22.0,10.2,0,0,0,4,20,1,59,13,13,0.0,0.0,0,68.0,4.0,23.0,14.8,West Ham,FW,
Andriy Yarmolenko,ua UKR,29.0,11.0,2,0,0,16,10,8,19,6,10,0.0,0.0,0,71.0,6.0,12.0,33.3,West Ham,MF,FW
Arthur Masuaku,cd COD,25.0,10.4,6,1,1,10,9,0,25,13,27,0.0,0.0,0,112.0,11.0,10.0,52.4,West Ham,DF,
Roberto,es ESP,33.0,7.6,0,0,0,0,1,0,0,0,0,0.0,0.0,1,51.0,0.0,0.0,0.0,West Ham,GK,
Pablo Zabaleta,ar ARG,34.0,6.6,2,0,0,7,9,0,15,13,10,0.0,0.0,0,62.0,8.0,9.0,47.1,West Ham,DF,
Jeremy Ngakia,eng ENG,18.0,4.9,0,0,0,4,1,1,12,7,12,0.0,0.0,0,38.0,8.0,11.0,42.1,West Ham,DF,
David Martin,eng ENG,33.0,4.8,1,0,0,0,0,0,0,0,0,0.0,0.0,0,20.0,0.0,0.0,0.0,West Ham,GK,
Ben Johnson,eng ENG,19.0,3.0,0,0,0,8,1,0,11,3,4,0.0,0.0,0,25.0,9.0,4.0,69.2,West Ham,DF,
Jack Wilshere,eng ENG,27.0,2.4,0,0,0,1,8,0,0,1,0,0.0,0.0,0,19.0,6.0,0.0,100.0,West Ham,MF,
Darren Randolph,ie IRL,32.0,2.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6.0,0.0,0.0,0.0,West Ham,GK,
Carlos Sánchez,co COL,33.0,1.3,0,0,0,2,0,0,0,2,1,0.0,0.0,0,22.0,3.0,1.0,75.0,West Ham,MF,DF
Javier Hernández,mx MEX,31.0,1.2,0,0,0,0,0,1,1,0,0,0.0,0.0,0,5.0,0.0,1.0,0.0,West Ham,FW,
Albian Ajeti,ch SUI,22.0,1.5,0,0,0,6,0,2,0,1,0,0.0,0.0,0,4.0,1.0,9.0,10.0,West Ham,MF,FW
Nathan Holland,eng ENG,21.0,0.4,0,0,0,0,1,0,2,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,West Ham,MF,
Conor Coady,eng ENG,26.0,38.0,5,0,0,16,7,0,0,27,22,0.0,1.0,0,387.0,42.0,24.0,63.6,Wolves,DF,
Rui Patrício,pt POR,31.0,38.0,0,0,0,0,7,0,0,2,0,0.0,0.0,0,173.0,0.0,0.0,0.0,Wolves,GK,
Raúl Jiménez,mx MEX,28.0,36.0,3,0,0,40,35,19,23,14,23,2.0,0.0,0,166.0,76.0,115.0,39.8,Wolves,FW,
Rúben Neves,pt POR,22.0,34.0,9,0,0,29,16,0,31,55,42,0.0,0.0,0,470.0,25.0,28.0,47.2,Wolves,MF,
João Moutinho,pt POR,32.0,34.5,7,0,0,41,25,3,216,48,54,0.0,0.0,0,355.0,18.0,29.0,38.3,Wolves,MF,
Jonny Castro,es ESP,25.0,32.1,4,0,0,34,29,2,52,52,61,0.0,0.0,0,237.0,37.0,54.0,40.7,Wolves,DF,
Matt Doherty,ie IRL,27.0,31.5,1,0,0,28,19,3,44,38,33,1.0,1.0,0,255.0,107.0,92.0,53.8,Wolves,DF,
Leander Dendoncker,be BEL,24.0,31.1,5,0,0,30,9,0,8,38,40,0.0,1.0,1,302.0,90.0,70.0,56.3,Wolves,MF,DF
Romain Saïss,ma MAR,29.0,30.1,12,1,1,43,24,2,9,51,30,0.0,0.0,0,359.0,118.0,64.0,64.8,Wolves,DF,
Adama Traoré,es ESP,23.0,28.9,1,0,0,39,77,5,182,18,23,0.0,0.0,0,171.0,48.0,51.0,48.5,Wolves,FW,MF
Diogo Jota,pt POR,22.0,25.4,4,0,0,41,60,3,33,8,21,0.0,0.0,0,178.0,27.0,48.0,36.0,Wolves,FW,MF
Willy Boly,fr FRA,28.0,22.0,3,1,1,24,8,1,2,39,40,0.0,0.0,0,218.0,73.0,27.0,73.0,Wolves,DF,
Pedro Neto,pt POR,19.0,10.4,3,0,0,14,16,4,47,7,5,0.0,0.0,0,82.0,8.0,31.0,20.5,Wolves,FW,MF
Ryan Bennett,eng ENG,29.0,6.7,2,0,0,4,1,0,4,9,3,0.0,0.0,0,66.0,22.0,11.0,66.7,Wolves,DF,
Rúben Vinagre,pt POR,20.0,7.2,1,0,0,7,8,0,30,8,13,0.0,0.0,0,61.0,6.0,11.0,35.3,Wolves,DF,
Patrick Cutrone,it ITA,21.0,3.3,0,0,0,5,9,4,6,2,4,0.0,0.0,0,25.0,5.0,21.0,19.2,Wolves,FW,
Daniel Podence,pt POR,23.0,3.2,0,0,0,5,9,3,5,3,2,1.0,0.0,0,19.0,0.0,7.0,0.0,Wolves,FW,MF
Max Kilman,eng ENG,22.0,2.1,0,0,0,2,0,0,0,4,3,0.0,0.0,0,14.0,11.0,10.0,52.4,Wolves,DF,
Jesús Vallejo,es ESP,22.0,1.8,1,0,0,2,1,0,0,1,3,0.0,0.0,0,18.0,4.0,4.0,50.0,Wolves,DF,
Morgan Gibbs-White,eng ENG,19.0,1.4,0,0,0,2,1,0,3,1,1,0.0,0.0,0,13.0,3.0,3.0,50.0,Wolves,MF,FW
Bruno Jordão,pt POR,20.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,Wolves,FW,
