player,nationality,age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,team,Pos1,Pos2
Pierre-Emerick Aubameyang,ga GAB,30.0,36,"3,136",87.0,91.7,34.8,35,89.0,1,33.0,0,1.5,51.0,44.0,7.0,0.2,-0.12,46.2,51.0,-4.8,-0.14,0.6,Arsenal,FW,
David Luiz,br BRA,32.0,33,"2,809",85.0,82.1,31.2,32,87.0,1,25.0,3,1.42,47.0,38.0,9.0,0.29,0.44,41.5,49.8,-8.3,-0.27,-0.45,Arsenal,DF,
Bernd Leno,de GER,27.0,30,"2,649",88.0,77.5,29.4,30,88.0,0,0.0,0,1.33,40.0,39.0,1.0,0.03,-0.78,36.7,43.5,-6.8,-0.23,-0.2,Arsenal,GK,
Granit Xhaka,ch SUI,26.0,31,"2,586",83.0,75.6,28.7,30,85.0,1,45.0,0,1.65,47.0,31.0,16.0,0.56,1.42,39.3,40.6,-1.3,-0.05,0.58,Arsenal,MF,
Nicolas Pépé,ci CIV,24.0,31,"2,010",65.0,58.8,22.3,22,81.0,9,25.0,6,1.55,38.0,30.0,8.0,0.36,0.36,30.4,34.5,-4.1,-0.18,0.0,Arsenal,FW,
Alexandre Lacazette,fr FRA,28.0,30,"1,874",62.0,54.8,20.8,22,79.0,8,16.0,4,1.3,36.0,25.0,11.0,0.53,0.7,30.1,31.3,-1.2,-0.06,0.28,Arsenal,FW,
Bukayo Saka,eng ENG,17.0,26,"1,753",67.0,51.3,19.5,19,80.0,7,33.0,6,1.42,22.0,18.0,4.0,0.21,-0.01,21.8,26.4,-4.6,-0.23,-0.1,Arsenal,DF,FW
Mattéo Guendouzi,fr FRA,20.0,24,"1,748",73.0,51.1,19.4,19,87.0,5,21.0,5,1.29,24.0,31.0,-7.0,-0.36,-1.17,24.8,29.9,-5.0,-0.26,-0.15,Arsenal,MF,
Sead Kolašinac,ba BIH,26.0,26,"1,701",65.0,49.7,18.9,19,81.0,7,23.0,3,1.58,28.0,26.0,2.0,0.11,-0.21,27.3,23.6,3.7,0.2,0.76,Arsenal,DF,
Sokratis Papastathopoulos,gr GRE,31.0,19,"1,696",89.0,49.6,18.8,19,89.0,0,0.0,13,1.53,27.0,25.0,2.0,0.11,-0.21,25.4,27.0,-1.6,-0.09,0.2,Arsenal,DF,
Dani Ceballos,es ESP,22.0,24,"1,692",71.0,49.5,18.8,18,80.0,6,42.0,4,1.75,29.0,21.0,8.0,0.43,0.43,23.1,26.8,-3.7,-0.19,-0.02,Arsenal,MF,
Mesut Özil,de GER,30.0,18,"1,438",80.0,42.0,16.0,18,80.0,0,0.0,4,1.33,24.0,20.0,4.0,0.25,0.07,19.7,22.8,-3.1,-0.2,-0.02,Arsenal,MF,
Lucas Torreira,uy URU,23.0,29,"1,512",52.0,44.2,16.8,17,76.0,12,18.0,4,1.48,23.0,23.0,0.0,0.0,-0.38,20.6,25.9,-5.3,-0.32,-0.23,Arsenal,MF,
Ainsley Maitland-Niles,eng ENG,21.0,20,"1,386",69.0,40.5,15.4,15,87.0,5,17.0,8,1.7,22.0,21.0,1.0,0.06,-0.24,21.2,23.2,-2.0,-0.13,0.1,Arsenal,DF,
Shkodran Mustafi,de GER,27.0,15,"1,207",80.0,35.3,13.4,13,87.0,2,41.0,3,1.4,21.0,17.0,4.0,0.3,0.14,17.3,20.0,-2.7,-0.2,-0.03,Arsenal,DF,
Héctor Bellerín,es ESP,24.0,15,"1,158",77.0,33.9,12.9,13,88.0,2,9.0,5,1.47,20.0,18.0,2.0,0.16,-0.08,17.1,20.8,-3.7,-0.29,-0.16,Arsenal,DF,
Calum Chambers,eng ENG,24.0,14,"1,102",79.0,32.2,12.2,13,81.0,1,45.0,5,1.29,16.0,15.0,1.0,0.08,-0.19,16.1,13.2,2.9,0.23,0.62,Arsenal,DF,
Kieran Tierney,sco SCO,22.0,15,989,66.0,28.9,11.0,12,78.0,3,18.0,4,1.47,18.0,16.0,2.0,0.18,-0.04,14.6,20.4,-5.8,-0.53,-0.48,Arsenal,DF,
Joe Willock,eng ENG,19.0,29,857,30.0,25.1,9.5,8,64.0,21,16.0,6,1.34,16.0,16.0,0.0,0.0,-0.28,12.7,17.5,-4.9,-0.51,-0.43,Arsenal,MF,FW
Emiliano Martínez,ar ARG,26.0,9,771,86.0,22.5,8.6,8,90.0,1,51.0,29,1.78,16.0,9.0,7.0,0.82,0.78,12.3,12.6,-0.3,-0.04,0.2,Arsenal,GK,
Eddie Nketiah,eng ENG,20.0,13,633,49.0,18.5,7.0,7,78.0,6,14.0,1,1.85,8.0,8.0,0.0,0.0,-0.26,7.3,10.7,-3.4,-0.48,-0.36,Arsenal,FW,
Reiss Nelson,eng ENG,19.0,17,631,37.0,18.5,7.0,7,69.0,10,15.0,10,1.71,9.0,7.0,2.0,0.29,0.09,8.3,10.8,-2.6,-0.37,-0.22,Arsenal,FW,
Martinelli,br BRA,18.0,14,663,47.0,19.4,7.4,6,90.0,8,16.0,10,1.21,7.0,9.0,-2.0,-0.27,-0.6,8.0,11.1,-3.1,-0.43,-0.3,Arsenal,FW,
Rob Holding,eng ENG,23.0,8,581,73.0,17.0,6.5,6,88.0,2,28.0,10,1.63,11.0,9.0,2.0,0.31,0.12,9.1,10.8,-1.7,-0.27,-0.1,Arsenal,DF,
Nacho Monreal,es ESP,33.0,3,270,90.0,7.9,3.0,3,90.0,0,0.0,0,2.0,4.0,4.0,0.0,0.0,-0.23,2.8,4.3,-1.5,-0.49,-0.33,Arsenal,DF,
Cédric Soares,pt POR,27.0,5,249,50.0,7.3,2.8,3,76.0,2,11.0,1,1.8,4.0,2.0,2.0,0.72,0.55,2.1,4.0,-1.9,-0.67,-0.52,Arsenal,DF,
Pablo Marí,es ESP,25.0,2,113,57.0,3.3,1.3,2,57.0,0,0.0,0,1.5,1.0,0.0,1.0,0.8,0.61,1.5,1.9,-0.4,-0.32,-0.14,Arsenal,DF,
Henrikh Mkhitaryan,am ARM,30.0,3,112,37.0,3.3,1.2,1,83.0,2,15.0,1,1.33,2.0,0.0,2.0,1.61,1.44,1.6,0.5,1.1,0.91,1.13,Arsenal,FW,
Emile Smith-Rowe,eng ENG,19.0,2,97,49.0,2.8,1.1,1,65.0,1,32.0,2,0.5,0.0,0.0,0.0,0.0,-0.22,0.6,1.0,-0.4,-0.35,-0.17,Arsenal,MF,
Tyreece John-Jules,eng ENG,18.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,FW,
Matt Macey,eng ENG,24.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,GK,
Konstantinos Mavropanos,gr GRE,21.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,DF,
Zechariah Medley,eng ENG,19.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,DF,
Matthew Smith,eng ENG,18.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,MF,
Jack Grealish,eng ENG,23.0,36,"3,233",90.0,94.5,35.9,36,90.0,0,0.0,0,0.97,39.0,63.0,-24.0,-0.67,0.29,38.3,61.0,-22.8,-0.63,0.74,Aston Villa,FW,MF
Tyrone Mings,eng ENG,26.0,33,"2,902",88.0,84.9,32.2,33,88.0,0,0.0,0,0.97,36.0,53.0,-17.0,-0.53,1.04,34.1,51.7,-17.6,-0.55,0.84,Aston Villa,DF,
Douglas Luiz,br BRA,21.0,36,"2,612",73.0,76.4,29.0,28,87.0,8,20.0,1,0.94,29.0,51.0,-22.0,-0.76,-0.31,29.7,51.3,-21.6,-0.75,-0.3,Aston Villa,MF,
John McGinn,sco SCO,24.0,28,"2,312",83.0,67.6,25.7,27,84.0,1,31.0,0,0.89,29.0,41.0,-12.0,-0.47,0.67,29.7,40.2,-10.6,-0.41,0.81,Aston Villa,MF,
Matt Targett,eng ENG,23.0,28,"2,291",82.0,67.0,25.5,27,83.0,1,54.0,2,1.0,30.0,40.0,-10.0,-0.39,0.88,29.9,45.2,-15.4,-0.6,0.21,Aston Villa,DF,
Anwar El Ghazi,nl NED,24.0,34,"2,051",60.0,60.0,22.8,26,74.0,8,17.0,3,0.85,26.0,48.0,-22.0,-0.97,-0.7,27.1,40.3,-13.2,-0.58,0.23,Aston Villa,FW,MF
Ezri Konsa,eng ENG,21.0,25,"2,039",82.0,59.6,22.7,24,84.0,1,16.0,13,1.08,23.0,39.0,-16.0,-0.71,-0.05,22.1,38.8,-16.6,-0.73,-0.15,Aston Villa,DF,
Frederic Guilbert,fr FRA,24.0,25,"2,041",82.0,59.7,22.7,22,88.0,3,35.0,6,1.04,29.0,36.0,-7.0,-0.31,0.93,25.2,41.7,-16.4,-0.72,-0.13,Aston Villa,DF,
Wesley Moraes,br BRA,22.0,21,"1,782",85.0,52.1,19.8,21,85.0,0,0.0,0,1.0,26.0,31.0,-5.0,-0.25,0.9,21.5,37.8,-16.3,-0.83,-0.32,Aston Villa,FW,
Trézéguet,eg EGY,24.0,34,"1,950",57.0,57.0,21.7,20,78.0,14,27.0,3,0.91,22.0,28.0,-6.0,-0.28,0.95,19.2,36.1,-17.0,-0.78,-0.25,Aston Villa,FW,MF
Tom Heaton,eng ENG,33.0,20,"1,794",90.0,52.5,19.9,20,90.0,0,0.0,0,1.05,26.0,35.0,-9.0,-0.45,0.49,22.9,39.2,-16.3,-0.82,-0.3,Aston Villa,GK,
Marvelous Nakamba,zw ZIM,25.0,29,"1,836",63.0,53.7,20.4,19,83.0,10,27.0,5,0.93,24.0,37.0,-13.0,-0.64,0.1,20.7,39.2,-18.5,-0.91,-0.5,Aston Villa,MF,
Conor Hourihane,ie IRL,28.0,27,"1,534",57.0,44.9,17.0,18,75.0,9,20.0,10,1.04,20.0,29.0,-9.0,-0.53,0.28,20.1,26.1,-6.0,-0.35,0.58,Aston Villa,MF,
Kortney Hause,eng ENG,24.0,18,"1,545",86.0,45.2,17.2,17,90.0,1,15.0,2,0.72,14.0,34.0,-20.0,-1.17,-0.88,15.8,29.9,-14.0,-0.82,-0.26,Aston Villa,DF,
Björn Engels,be BEL,24.0,17,"1,447",85.0,42.3,16.1,15,89.0,2,57.0,4,0.65,20.0,32.0,-12.0,-0.75,-0.11,19.9,31.6,-11.7,-0.73,-0.09,Aston Villa,DF,
Pepe Reina,es ESP,36.0,12,"1,080",90.0,31.6,12.0,12,90.0,0,0.0,4,1.0,11.0,20.0,-9.0,-0.75,-0.1,11.5,19.5,-7.9,-0.66,0.02,Aston Villa,GK,
Neil Taylor,wal WAL,30.0,14,"1,091",78.0,31.9,12.1,11,85.0,3,52.0,13,0.79,11.0,25.0,-14.0,-1.15,-0.69,10.0,18.5,-8.5,-0.7,-0.04,Aston Villa,DF,
Ahmed Elmohamady,eg EGY,31.0,18,"1,031",57.0,30.1,11.5,11,81.0,7,19.0,14,0.89,11.0,28.0,-17.0,-1.48,-1.14,11.2,23.8,-12.5,-1.09,-0.6,Aston Villa,DF,
Mbwana Samatta,tz TAN,26.0,14,943,67.0,27.6,10.5,11,79.0,3,24.0,0,0.71,7.0,18.0,-11.0,-1.05,-0.5,9.9,16.3,-6.4,-0.61,0.09,Aston Villa,FW,
Ørjan Nyland,no NOR,28.0,7,539,77.0,15.8,6.0,5,90.0,2,45.0,20,0.71,4.0,12.0,-8.0,-1.34,-0.77,5.7,7.0,-1.3,-0.22,0.54,Aston Villa,GK,
Keinan Davis,eng ENG,21.0,18,548,30.0,16.0,6.1,4,70.0,14,19.0,3,0.83,6.0,7.0,-1.0,-0.16,0.62,7.2,5.9,1.3,0.22,1.06,Aston Villa,FW,
Jota,es ESP,28.0,10,335,34.0,9.8,3.7,4,61.0,6,15.0,11,0.7,1.0,5.0,-4.0,-1.07,-0.43,2.9,5.2,-2.3,-0.63,0.05,Aston Villa,FW,MF
Danny Drinkwater,eng ENG,29.0,4,259,65.0,7.6,2.9,4,65.0,0,0.0,3,1.0,2.0,9.0,-7.0,-2.43,-1.89,2.5,6.0,-3.5,-1.23,-0.6,Aston Villa,MF,
Henri Lansbury,eng ENG,28.0,10,195,20.0,5.7,2.2,2,69.0,8,7.0,19,1.0,2.0,6.0,-4.0,-1.85,-1.23,2.4,4.3,-1.9,-0.88,-0.22,Aston Villa,MF,
Jed Steer,eng ENG,26.0,1,7,7.0,0.2,0.1,1,7.0,0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.1,-0.1,-1.05,-0.38,Aston Villa,GK,
Jonathan Kodjia,ci CIV,29.0,6,117,20.0,3.4,1.3,0,0.0,6,20.0,6,0.5,1.0,6.0,-5.0,-3.85,-3.27,1.7,3.3,-1.6,-1.24,-0.59,Aston Villa,FW,MF
Indiana Vassilev,us USA,18.0,4,51,13.0,1.5,0.6,0,0.0,4,13.0,8,1.0,2.0,1.0,1.0,1.76,2.49,0.5,1.3,-0.8,-1.4,-0.74,Aston Villa,FW,MF
Borja Bastón,es ESP,26.0,2,18,9.0,0.5,0.2,0,0.0,2,9.0,3,0.0,0.0,2.0,-2.0,-10.0,-9.37,0.0,1.6,-1.6,-7.79,-7.15,Aston Villa,MF,FW
James Chester,wal WAL,30.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,DF,
Kaine Hayden,,,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,MF,
Lovre Kalinić,hr CRO,29.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,GK,
Aaron Ramsdale,eng ENG,21.0,37,"3,330",90.0,97.4,37.0,37,90.0,0,0.0,0,0.92,40.0,62.0,-22.0,-0.59,2.41,42.2,54.7,-12.5,-0.34,1.38,Bournemouth,GK,
Callum Wilson,eng ENG,27.0,35,"2,908",83.0,85.0,32.3,32,88.0,3,32.0,0,0.89,36.0,53.0,-17.0,-0.53,0.88,36.7,50.3,-13.6,-0.42,-0.3,Bournemouth,FW,
Jefferson Lerma,co COL,24.0,33,"2,703",82.0,79.0,30.0,31,85.0,2,30.0,1,1.0,34.0,48.0,-14.0,-0.47,0.91,32.1,41.9,-9.8,-0.33,0.24,Bournemouth,MF,
Philip Billing,dk DEN,23.0,34,"2,530",74.0,74.0,28.1,29,82.0,5,30.0,1,0.97,31.0,41.0,-10.0,-0.36,1.16,33.0,40.2,-7.1,-0.25,0.47,Bournemouth,MF,
Nathan Aké,nl NED,24.0,29,"2,503",86.0,73.2,27.8,29,86.0,0,0.0,1,0.93,30.0,47.0,-17.0,-0.61,0.17,31.8,40.7,-8.9,-0.32,0.21,Bournemouth,DF,
Steve Cook,eng ENG,28.0,29,"2,428",84.0,71.0,27.0,28,85.0,1,51.0,3,0.83,30.0,47.0,-17.0,-0.63,0.1,32.5,42.4,-9.9,-0.37,0.03,Bournemouth,DF,
Diego Rico,es ESP,26.0,27,"2,332",86.0,68.2,25.9,27,86.0,0,0.0,10,1.07,31.0,38.0,-7.0,-0.27,1.22,29.4,36.4,-7.0,-0.27,0.33,Bournemouth,DF,
Adam Smith,eng ENG,28.0,24,"2,055",86.0,60.1,22.8,24,86.0,0,0.0,0,0.83,23.0,40.0,-17.0,-0.74,-0.22,26.5,33.8,-7.3,-0.32,0.14,Bournemouth,DF,
Joshua King,no NOR,27.0,26,"2,011",77.0,58.8,22.3,24,82.0,2,24.0,0,0.96,23.0,37.0,-14.0,-0.63,0.08,25.4,31.7,-6.3,-0.28,0.23,Bournemouth,FW,MF
Ryan Fraser,sco SCO,25.0,28,"2,067",74.0,60.4,23.0,21,88.0,7,30.0,0,0.93,22.0,35.0,-13.0,-0.57,0.23,25.6,36.2,-10.6,-0.46,-0.22,Bournemouth,MF,FW
Harry Wilson,wal WAL,22.0,31,"1,646",53.0,48.1,18.3,20,67.0,11,28.0,3,0.84,21.0,32.0,-11.0,-0.6,0.11,22.1,27.8,-5.7,-0.31,0.13,Bournemouth,MF,FW
Dominic Solanke,eng ENG,21.0,32,"1,651",52.0,48.3,18.3,17,81.0,15,18.0,6,0.78,22.0,39.0,-17.0,-0.93,-0.52,20.7,28.0,-7.4,-0.4,-0.05,Bournemouth,FW,MF
Jack Stacey,eng ENG,23.0,19,"1,549",82.0,45.3,17.2,17,89.0,2,21.0,9,0.84,20.0,27.0,-7.0,-0.41,0.46,19.6,24.5,-4.9,-0.28,0.17,Bournemouth,DF,
Lewis Cook,eng ENG,22.0,27,"1,352",50.0,39.5,15.0,14,81.0,13,17.0,7,0.81,18.0,30.0,-12.0,-0.8,-0.23,17.1,23.1,-6.0,-0.4,-0.04,Bournemouth,MF,
Dan Gosling,eng ENG,29.0,24,"1,264",53.0,37.0,14.0,14,78.0,10,17.0,3,0.75,10.0,23.0,-13.0,-0.93,-0.42,13.3,21.8,-8.5,-0.61,-0.37,Bournemouth,MF,
Simon Francis,eng ENG,34.0,15,969,65.0,28.3,10.8,10,85.0,5,25.0,4,0.67,7.0,21.0,-14.0,-1.3,-0.9,11.0,18.3,-7.3,-0.68,-0.42,Bournemouth,DF,
Chris Mepham,wal WAL,21.0,12,912,76.0,26.7,10.1,10,90.0,2,6.0,11,0.67,6.0,19.0,-13.0,-1.28,-0.85,7.3,14.0,-6.6,-0.65,-0.38,Bournemouth,DF,
David Brooks,wal WAL,22.0,9,506,56.0,14.8,5.6,8,61.0,1,22.0,0,0.78,6.0,12.0,-6.0,-1.07,-0.48,5.3,6.7,-1.4,-0.25,0.14,Bournemouth,MF,
Junior Stanislas,eng ENG,29.0,15,712,47.0,20.8,7.9,7,69.0,8,28.0,4,0.53,9.0,16.0,-7.0,-0.88,-0.29,9.5,10.0,-0.5,-0.06,0.4,Bournemouth,MF,DF
Lloyd Kelly,eng ENG,20.0,8,639,80.0,18.7,7.1,7,90.0,1,9.0,6,0.88,11.0,15.0,-4.0,-0.56,0.12,9.9,11.1,-1.2,-0.17,0.25,Bournemouth,DF,
Arnaut Groeneveld,nl NED,22.0,14,630,45.0,18.4,7.0,6,68.0,8,28.0,5,0.43,4.0,12.0,-8.0,-1.14,-0.59,6.4,10.7,-4.3,-0.61,-0.29,Bournemouth,MF,
Andrew Surman,eng ENG,32.0,5,235,47.0,6.9,2.6,2,89.0,3,19.0,24,1.2,2.0,6.0,-4.0,-1.53,-0.94,4.0,5.9,-1.9,-0.71,-0.36,Bournemouth,MF,
Charlie Daniels,eng ENG,32.0,2,126,63.0,3.7,1.4,2,63.0,0,0.0,1,1.5,2.0,2.0,0.0,0.0,0.68,1.4,2.7,-1.3,-0.93,-0.57,Bournemouth,DF,
Jack Simpson,eng ENG,22.0,4,241,60.0,7.0,2.7,1,90.0,3,50.0,17,0.25,1.0,5.0,-4.0,-1.49,-0.9,1.6,5.2,-3.6,-1.35,-1.05,Bournemouth,DF,
Mark Travers,ie IRL,20.0,1,90,90.0,2.6,1.0,1,90.0,0,0.0,1,0.0,0.0,3.0,-3.0,-3.0,-2.41,0.3,2.0,-1.7,-1.72,-1.38,Bournemouth,GK,
Jordon Ibe,eng ENG,23.0,2,50,25.0,1.5,0.6,0,0.0,2,25.0,6,0.0,0.0,1.0,-1.0,-1.8,-1.16,0.5,0.9,-0.4,-0.73,-0.36,Bournemouth,DF,
Sam Surridge,eng ENG,21.0,4,27,7.0,0.8,0.3,0,0.0,4,7.0,8,0.75,0.0,2.0,-2.0,-6.67,-6.06,1.0,1.4,-0.4,-1.29,-0.92,Bournemouth,FW,
Artur Boruc,pl POL,39.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,GK,
Mihai Dobre,ro ROU,20.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,MF,
Gavin Kilkenny,ie IRL,19.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,MF,
Christian Saydee,lr LBR,17.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,MF,
Mathew Ryan,au AUS,27.0,38,"3,420",90.0,100.0,38.0,38,90.0,0,0.0,0,1.08,39.0,54.0,-15.0,-0.39,0.0,40.8,55.1,-14.3,-0.38,0.0,Brighton,GK,
Lewis Dunk,eng ENG,27.0,36,"3,230",90.0,94.4,35.9,36,90.0,0,0.0,0,1.14,38.0,50.0,-12.0,-0.33,1.09,39.4,50.1,-10.6,-0.3,1.44,Brighton,DF,
Dan Burn,eng ENG,27.0,34,"2,880",85.0,84.2,32.0,33,87.0,1,13.0,0,1.15,32.0,42.0,-10.0,-0.31,0.52,34.0,44.4,-10.3,-0.32,0.34,Brighton,DF,
Davy Pröpper,nl NED,27.0,35,"2,829",81.0,82.7,31.4,32,86.0,3,23.0,1,1.09,33.0,46.0,-13.0,-0.41,-0.11,34.1,45.1,-11.0,-0.35,0.16,Brighton,MF,
Adam Webster,eng ENG,24.0,31,"2,668",86.0,78.0,29.6,31,86.0,0,0.0,5,1.06,29.0,44.0,-15.0,-0.51,-0.51,32.4,47.1,-14.7,-0.5,-0.55,Brighton,DF,
Neal Maupay,fr FRA,22.0,37,"2,766",75.0,80.9,30.7,30,86.0,7,29.0,1,1.08,33.0,36.0,-3.0,-0.1,1.55,35.2,42.9,-7.8,-0.25,0.65,Brighton,FW,
Dale Stephens,eng ENG,30.0,33,"2,530",77.0,74.0,28.1,28,88.0,5,11.0,2,1.12,31.0,42.0,-11.0,-0.39,0.01,30.3,39.3,-9.0,-0.32,0.22,Brighton,MF,
Aaron Mooy,au AUS,28.0,31,"2,085",67.0,61.0,23.2,25,80.0,6,16.0,5,1.03,19.0,31.0,-12.0,-0.52,-0.32,23.1,37.3,-14.2,-0.61,-0.61,Brighton,MF,FW
Martín Montoya,es ESP,28.0,27,"1,896",70.0,55.4,21.1,23,79.0,4,20.0,7,1.07,19.0,32.0,-13.0,-0.62,-0.5,22.9,32.4,-9.5,-0.45,-0.16,Brighton,DF,
Leandro Trossard,be BEL,24.0,31,"2,011",65.0,58.8,22.3,22,81.0,9,26.0,3,0.97,22.0,34.0,-12.0,-0.54,-0.35,25.2,32.3,-7.1,-0.32,0.14,Brighton,FW,MF
Pascal Groß,de GER,28.0,29,"1,796",62.0,52.5,20.0,22,76.0,7,19.0,9,1.07,22.0,32.0,-10.0,-0.5,-0.22,22.4,31.2,-8.8,-0.44,-0.14,Brighton,FW,MF
Yves Bissouma,ml MLI,22.0,22,"1,259",57.0,36.8,14.0,15,76.0,7,17.0,7,1.05,8.0,18.0,-10.0,-0.71,-0.51,12.9,22.3,-9.4,-0.67,-0.47,Brighton,MF,
Aaron Connolly,ie IRL,19.0,24,"1,258",52.0,36.8,14.0,14,72.0,10,26.0,4,1.13,18.0,22.0,-4.0,-0.29,0.17,15.2,20.3,-5.1,-0.37,0.02,Brighton,FW,
Shane Duffy,ie IRL,27.0,19,"1,238",65.0,36.2,13.8,12,90.0,7,23.0,13,1.16,13.0,18.0,-5.0,-0.36,0.05,13.5,18.3,-4.8,-0.35,0.04,Brighton,DF,
Steven Alzate,co COL,20.0,19,"1,188",63.0,34.7,13.2,12,90.0,7,16.0,3,1.11,19.0,18.0,1.0,0.08,0.72,15.9,18.8,-2.8,-0.21,0.25,Brighton,MF,DF
Solly March,eng ENG,25.0,19,"1,143",60.0,33.4,12.7,11,81.0,8,32.0,6,0.89,15.0,15.0,0.0,0.0,0.59,13.1,18.1,-5.0,-0.4,-0.03,Brighton,DF,FW
Glenn Murray,eng ENG,35.0,23,797,35.0,23.3,8.9,7,75.0,16,17.0,14,1.09,11.0,10.0,1.0,0.11,0.66,10.6,10.8,-0.2,-0.02,0.46,Brighton,FW,
Bernardo,br BRA,24.0,14,679,49.0,19.9,7.5,7,80.0,7,17.0,9,1.0,6.0,17.0,-11.0,-1.46,-1.33,6.8,13.2,-6.4,-0.85,-0.59,Brighton,DF,
Tariq Lamptey,eng ENG,18.0,8,588,74.0,17.2,6.5,7,79.0,1,32.0,1,1.13,5.0,8.0,-3.0,-0.46,-0.08,6.3,7.4,-1.1,-0.17,0.25,Brighton,DF,
Ezequiel Schelotto,it ITA,30.0,8,361,45.0,10.6,4.0,4,75.0,4,16.0,8,1.33,6.0,8.0,-2.0,-0.5,-0.12,4.6,4.3,0.3,0.07,0.5,Brighton,DF,
Alexis Mac Allister,ar ARG,20.0,9,352,39.0,10.3,3.9,4,70.0,5,14.0,1,1.44,4.0,6.0,-2.0,-0.51,-0.13,4.7,5.0,-0.3,-0.07,0.34,Brighton,MF,FW
Alireza Jahanbakhsh,ir IRN,25.0,10,311,31.0,9.1,3.5,3,68.0,7,15.0,9,1.0,4.0,4.0,0.0,0.0,0.43,3.3,4.1,-0.8,-0.23,0.16,Brighton,FW,MF
Jürgen Locadia,nl NED,25.0,2,86,43.0,2.5,1.0,1,63.0,1,23.0,1,1.5,1.0,1.0,0.0,0.0,0.4,0.3,1.6,-1.3,-1.34,-0.99,Brighton,MF,FW
Florin Andone,ro ROU,26.0,3,73,24.0,2.1,0.8,1,29.0,2,22.0,0,1.33,2.0,0.0,2.0,2.47,2.92,1.5,2.2,-0.7,-0.88,-0.51,Brighton,MF,FW
Gaëtan Bong,cm CMR,31.0,4,59,15.0,1.7,0.7,0,0.0,4,15.0,0,1.25,0.0,3.0,-3.0,-4.58,-4.25,0.5,2.0,-1.4,-2.16,-1.82,Brighton,MF,DF
Leon Balogun,ng NGA,31.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Tudor Băluță,ro ROU,20.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,MF
David Button,eng ENG,30.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,GK,
Alexander Cochrane,eng ENG,,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Nick Pope,eng ENG,27.0,38,"3,420",90.0,100.0,38.0,38,90.0,0,0.0,0,1.42,43.0,50.0,-7.0,-0.18,0.0,43.8,47.8,-4.0,-0.1,0.0,Burnley,GK,
James Tarkowski,eng ENG,26.0,38,"3,420",90.0,100.0,38.0,38,90.0,0,0.0,0,1.42,43.0,50.0,-7.0,-0.18,0.0,43.8,47.8,-4.0,-0.1,0.0,Burnley,DF,
