player,nationality,age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,team,Pos1,Pos2
Danny Welbeck,eng ENG,28.0,18,822,46.0,24.0,9.1,8,77.0,10,21.0,2,0.56,9.0,15.0,-6.0,-0.66,0.11,13.1,12.2,0.9,0.1,0.53,Watford,FW,MF
Andre Gray,eng ENG,28.0,23,755,33.0,22.1,8.4,7,72.0,16,16.0,14,0.65,6.0,17.0,-11.0,-1.31,-0.74,11.9,13.8,-1.8,-0.22,0.11,Watford,FW,
Daryl Janmaat,nl NED,30.0,8,607,76.0,17.7,6.7,7,85.0,1,13.0,4,1.0,5.0,5.0,0.0,0.0,0.9,8.2,7.4,0.8,0.11,0.51,Watford,DF,
Dimitri Foulquier,fr FRA,26.0,3,59,20.0,1.7,0.7,1,32.0,2,14.0,6,0.33,0.0,6.0,-6.0,-9.15,-8.56,0.4,3.8,-3.5,-5.29,-5.07,Watford,MF,DF
Sebastian Prödl,at AUT,32.0,1,56,56.0,1.6,0.6,1,56.0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.75,1.3,0.5,0.9,1.41,1.74,Watford,DF,
Ignacio Pussetto,ar ARG,23.0,7,74,11.0,2.2,0.8,0,0.0,7,11.0,7,0.71,0.0,3.0,-3.0,-3.65,-2.98,0.1,2.4,-2.4,-2.86,-2.62,Watford,FW,DF
Isaac Success,ng NGA,23.0,5,70,14.0,2.0,0.8,0,0.0,5,14.0,7,0.8,0.0,3.0,-3.0,-3.86,-3.19,0.6,1.8,-1.2,-1.53,-1.25,Watford,FW,MF
João Pedro,br BRA,17.0,3,25,8.0,0.7,0.3,0,0.0,3,8.0,6,0.0,1.0,1.0,0.0,0.0,0.74,0.5,0.9,-0.4,-1.53,-1.24,Watford,FW,MF
Domingos Quina,pt POR,19.0,4,22,6.0,0.6,0.2,0,0.0,4,6.0,12,0.75,1.0,2.0,-1.0,-4.09,-3.38,0.5,0.7,-0.2,-0.69,-0.39,Watford,MF,
Tom Dele-Bashiru,ng NGA,19.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Watford,MF,
Heurelho Gomes,br BRA,38.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Watford,GK,
Adalberto Peñaranda,ve VEN,22.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Watford,FW,
Ken Sema,se SWE,25.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Watford,DF,MF
Declan Rice,eng ENG,20.0,38,"3,420",90.0,100.0,38.0,38,90.0,0,0.0,0,1.03,49.0,62.0,-13.0,-0.34,0.0,46.0,61.9,-15.8,-0.42,0.0,West Ham,MF,
Mark Noble,eng ENG,32.0,33,"2,674",81.0,78.2,29.7,32,83.0,1,34.0,2,1.06,41.0,44.0,-3.0,-0.1,1.11,33.7,48.1,-14.4,-0.48,-0.3,West Ham,MF,
Angelo Ogbonna,it ITA,31.0,31,"2,786",90.0,81.5,31.0,31,90.0,0,0.0,5,1.23,45.0,44.0,1.0,0.03,2.02,38.9,49.5,-10.6,-0.34,0.4,West Ham,DF,
