player,nationality,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,team,Pos1,Pos2
Alex McCarthy,eng ENG,30,1.0,39.0,51.0,76.5,961.0,623.0,0.0,0.0,0.0,26.0,26.0,100.0,13.0,25.0,52.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Southampton,GK,
Nathan Redmond,eng ENG,26,1.0,31.0,43.0,72.1,533.0,98.0,1.0,2.0,50.0,24.0,32.0,75.0,6.0,9.0,66.7,0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,Southampton,MF,
Oriol Romeu,es ESP,28,1.0,59.0,75.0,78.7,1190.0,303.0,2.0,2.0,100.0,43.0,51.0,84.3,14.0,22.0,63.6,0,0.0,0.0,0.0,10.0,1.0,0.0,6.0,Southampton,MF,
Jack Stephens,eng ENG,26,1.0,66.0,86.0,76.7,1532.0,673.0,0.0,2.0,0.0,43.0,49.0,87.8,23.0,35.0,65.7,0,0.0,0.0,0.0,5.0,2.0,0.0,6.0,Southampton,DF,
Kyle Walker-Peters,eng ENG,23,1.0,61.0,78.0,78.2,1050.0,309.0,2.0,4.0,50.0,50.0,61.0,82.0,9.0,13.0,69.2,0,0.1,-0.1,1.0,6.0,0.0,0.0,6.0,Southampton,DF,
James Ward-Prowse,eng ENG,25,1.0,54.0,66.0,81.8,951.0,226.0,1.0,2.0,50.0,45.0,52.0,86.5,8.0,12.0,66.7,0,0.1,-0.1,1.0,3.0,0.0,0.0,6.0,Southampton,MF,
Che Adams,eng ENG,24,0.9,14.0,18.0,77.8,177.0,45.0,1.0,1.0,100.0,11.0,14.0,78.6,2.0,3.0,66.7,0,0.2,-0.2,1.0,1.0,1.0,0.0,2.0,Southampton,FW,
William Smallbone,ie IRL,20,0.8,15.0,22.0,68.2,193.0,22.0,0.0,1.0,0.0,14.0,16.0,87.5,1.0,5.0,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,MF,
Jan Bednarek,pl POL,24,0.5,46.0,51.0,90.2,890.0,282.0,0.0,0.0,0.0,38.0,39.0,97.4,8.0,12.0,66.7,0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,Southampton,DF,
Jannik Vestergaard,dk DEN,27,0.5,30.0,39.0,76.9,605.0,214.0,0.0,0.0,0.0,25.0,31.0,80.6,5.0,8.0,62.5,0,0.5,-0.5,1.0,2.0,0.0,0.0,2.0,Southampton,DF,
Moussa Djenepo,ml MLI,22,0.2,4.0,7.0,57.1,42.0,14.0,0.0,0.0,0.0,4.0,7.0,57.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,MF,
Shane Long,ie IRL,33,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,FW,
Toby Alderweireld,be BEL,31,1.0,59.0,68.0,86.8,1343.0,475.0,0.0,0.0,0.0,39.0,40.0,97.5,20.0,28.0,71.4,0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,Tottenham,DF,
Ben Davies,wal WAL,27,1.0,60.0,74.0,81.1,1193.0,409.0,0.0,1.0,0.0,47.0,54.0,87.0,13.0,19.0,68.4,0,0.1,-0.1,2.0,7.0,3.0,2.0,8.0,Tottenham,DF,
Eric Dier,eng ENG,26,1.0,52.0,56.0,92.9,1277.0,294.0,0.0,0.0,0.0,28.0,28.0,100.0,24.0,28.0,85.7,0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,Tottenham,DF,
Son Heung-min,kr KOR,28,1.0,21.0,31.0,67.7,350.0,113.0,0.0,2.0,0.0,17.0,20.0,85.0,4.0,9.0,44.4,0,0.3,-0.3,4.0,0.0,2.0,1.0,4.0,Tottenham,FW,MF
Pierre Højbjerg,dk DEN,24,1.0,73.0,79.0,92.4,1441.0,330.0,1.0,1.0,100.0,56.0,59.0,94.9,16.0,19.0,84.2,0,0.0,0.0,0.0,13.0,0.0,0.0,6.0,Tottenham,MF,
Harry Kane,eng ENG,27,1.0,9.0,16.0,56.3,169.0,61.0,0.0,0.0,0.0,7.0,11.0,63.6,2.0,5.0,40.0,0,0.4,-0.4,2.0,0.0,2.0,0.0,4.0,Tottenham,FW,
Hugo Lloris,fr FRA,33,1.0,27.0,30.0,90.0,696.0,469.0,0.0,0.0,0.0,17.0,17.0,100.0,10.0,13.0,76.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham,GK,
Lucas Moura,br BRA,27,1.0,28.0,37.0,75.7,369.0,57.0,2.0,4.0,50.0,23.0,28.0,82.1,3.0,5.0,60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Tottenham,FW,
Matt Doherty,ie IRL,28,0.8,43.0,51.0,84.3,648.0,264.0,1.0,2.0,50.0,37.0,42.0,88.1,5.0,7.0,71.4,0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,Tottenham,DF,
Harry Winks,eng ENG,24,0.7,41.0,47.0,87.2,783.0,133.0,1.0,2.0,50.0,32.0,34.0,94.1,8.0,11.0,72.7,0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,Tottenham,MF,
Dele Alli,eng ENG,24,0.5,12.0,16.0,75.0,189.0,41.0,0.0,1.0,0.0,10.0,13.0,76.9,2.0,2.0,100.0,0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,Tottenham,MF,
Moussa Sissoko,fr FRA,30,0.5,30.0,37.0,81.1,543.0,179.0,2.0,3.0,66.7,24.0,30.0,80.0,4.0,4.0,100.0,0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,Tottenham,MF,DF
Steven Bergwijn,nl NED,22,0.3,16.0,18.0,88.9,186.0,7.0,0.0,1.0,0.0,16.0,17.0,94.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham,FW,
