Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Ederson,br BRA,GK,25,35,35,"3,071",0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
Kevin De Bruyne,be BEL,MF,28,35,32,"2,791",13,21,2,2,3,0,0.42,0.68,1.10,0.35,1.03,7.8,6.3,17.3,0.26,0.58,0.84,0.21,0.79,Matches
Raheem Sterling,eng ENG,FW,24,33,30,"2,651",20,1,0,2,5,0,0.68,0.03,0.71,0.68,0.71,16.3,14.4,7.0,0.57,0.25,0.82,0.50,0.75,Matches
Rodri,es ESP,MF,23,35,29,"2,486",3,2,0,0,8,0,0.11,0.07,0.18,0.11,0.18,1.1,1.1,1.5,0.04,0.05,0.10,0.04,0.10,Matches
Kyle Walker,eng ENG,DF,29,29,28,"2,392",1,4,0,0,5,0,0.04,0.15,0.19,0.04,0.19,0.8,0.8,1.8,0.03,0.07,0.10,0.03,0.10,Matches
Fernandinho,br BRA,DF,34,30,26,"2,397",0,1,0,0,9,2,0.00,0.04,0.04,0.00,0.04,0.9,0.9,0.6,0.04,0.02,0.06,0.04,0.06,Matches
Bernardo Silva,pt POR,"FW,MF",24,34,23,"2,030",6,7,0,0,5,0,0.27,0.31,0.58,0.27,0.58,6.5,6.5,5.6,0.29,0.25,0.53,0.29,0.53,Matches
David Silva,es ESP,MF,33,27,22,"1,826",6,10,0,0,0,0,0.30,0.49,0.79,0.30,0.79,5.8,5.8,5.3,0.30,0.27,0.58,0.30,0.58,Matches
Gabriel Jesus,br BRA,FW,22,34,21,"2,030",14,7,0,1,3,0,0.62,0.31,0.93,0.62,0.93,17.9,17.1,3.2,0.83,0.15,0.98,0.79,0.94,Matches
İlkay Gündoğan,de GER,MF,28,31,21,"2,020",2,1,1,2,7,0,0.09,0.04,0.13,0.04,0.09,4.5,3.0,2.6,0.21,0.12,0.33,0.14,0.26,Matches
Riyad Mahrez,dz ALG,"FW,MF",28,33,21,"1,944",11,9,1,1,0,0,0.51,0.42,0.93,0.46,0.88,6.5,5.8,9.2,0.31,0.44,0.75,0.27,0.71,Matches
Nicolás Otamendi,ar ARG,DF,31,24,18,"1,715",2,0,0,0,3,0,0.10,0.00,0.10,0.10,0.10,2.4,2.4,0.2,0.13,0.01,0.14,0.13,0.14,Matches
Benjamin Mendy,fr FRA,DF,25,19,18,"1,492",0,2,0,0,3,0,0.00,0.12,0.12,0.00,0.12,0.3,0.3,1.4,0.02,0.08,0.10,0.02,0.10,Matches
Sergio Agüero,ar ARG,FW,31,24,18,"1,452",16,3,2,3,1,0,0.99,0.19,1.18,0.87,1.05,14.2,11.9,2.5,0.88,0.16,1.04,0.74,0.90,Matches
Aymeric Laporte,fr FRA,DF,25,15,14,"1,097",1,0,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.4,0.4,0.1,0.03,0.01,0.04,0.03,0.04,Matches
Oleksandr Zinchenko,ua UKR,DF,22,19,13,"1,276",0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.6,0.03,0.11,0.14,0.03,0.14,Matches
João Cancelo,pt POR,DF,25,17,13,"1,208",0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.6,0.03,0.13,0.16,0.03,0.16,Matches
John Stones,eng ENG,DF,25,16,12,"1,122",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.05,0.01,0.06,0.05,0.06,Matches
Phil Foden,eng ENG,"FW,MF",19,23,9,901,5,2,0,0,0,0,0.50,0.20,0.70,0.50,0.70,3.8,3.8,1.8,0.40,0.19,0.59,0.40,0.59,Matches
Eric García,es ESP,DF,18,13,8,793,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.06,0.01,0.07,0.06,0.07,Matches
Angeliño,es ESP,DF,22,6,4,423,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.2,0.05,0.25,0.30,0.05,0.30,Matches
Claudio Bravo,cl CHI,GK,36,4,3,347,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Thomas Doyle,eng ENG,"MF,FW",17,1,0,16,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.53,0.00,0.53,0.53,0.53,Matches
Leroy Sané,de GER,FW,23,1,0,12,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.75,0.00,0.75,0.75,0.75,Matches
Scott Carson,eng ENG,GK,33,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Taylor Harwood-Bellis,eng ENG,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Cole Palmer,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,Matches
David de Gea,es ESP,GK,28,38,38,"3,420",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Harry Maguire,eng ENG,DF,26,38,38,"3,420",1,1,0,0,6,0,0.03,0.03,0.05,0.03,0.05,2.2,2.2,0.6,0.06,0.01,0.07,0.06,0.07,Matches
Victor Lindelöf,se SWE,DF,25,35,35,"3,092",1,0,0,0,6,0,0.03,0.00,0.03,0.03,0.03,0.4,0.4,0.4,0.01,0.01,0.02,0.01,0.02,Matches
Aaron Wan-Bissaka,eng ENG,DF,21,35,34,"3,070",0,4,0,0,8,0,0.00,0.12,0.12,0.00,0.12,0.8,0.8,2.9,0.02,0.08,0.11,0.02,0.11,Matches
Marcus Rashford,eng ENG,FW,21,31,31,"2,643",17,7,6,8,3,0,0.58,0.24,0.82,0.37,0.61,17.5,11.4,4.6,0.60,0.16,0.75,0.39,0.55,Matches
Anthony Martial,fr FRA,FW,23,32,31,"2,624",17,6,0,1,1,0,0.58,0.21,0.79,0.58,0.79,11.0,10.2,4.4,0.38,0.15,0.53,0.35,0.50,Matches
Daniel James,wal WAL,FW,21,33,26,"2,287",3,6,0,0,4,0,0.12,0.24,0.35,0.12,0.35,3.3,3.3,4.0,0.13,0.16,0.29,0.13,0.29,Matches
Fred,br BRA,MF,26,29,23,"2,163",0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,2.0,2.0,2.8,0.09,0.12,0.20,0.09,0.20,Matches
Scott McTominay,sco SCO,MF,22,27,20,"1,772",4,1,0,0,2,0,0.20,0.05,0.25,0.20,0.25,1.5,1.5,0.7,0.08,0.03,0.11,0.08,0.11,Matches
Luke Shaw,eng ENG,DF,24,24,20,"1,733",0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.5,0.03,0.08,0.10,0.03,0.10,Matches
Nemanja Matić,rs SRB,MF,30,21,18,"1,581",0,2,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.2,0.2,1.2,0.01,0.07,0.08,0.01,0.08,Matches
Andreas Pereira,br BRA,"MF,FW",23,25,18,"1,484",1,3,0,0,3,0,0.06,0.18,0.24,0.06,0.24,2.3,2.3,3.7,0.14,0.23,0.37,0.14,0.37,Matches
Bruno Fernandes,pt POR,MF,24,14,14,"1,186",8,7,4,4,2,0,0.61,0.53,1.14,0.30,0.83,5.9,2.8,2.6,0.45,0.19,0.64,0.22,0.41,Matches
Paul Pogba,fr FRA,MF,26,16,13,"1,204",1,3,0,1,1,0,0.07,0.22,0.30,0.07,0.30,2.0,1.2,2.7,0.15,0.20,0.35,0.09,0.29,Matches
Mason Greenwood,eng ENG,FW,17,31,12,"1,320",10,1,0,0,0,0,0.68,0.07,0.75,0.68,0.75,3.6,3.6,0.7,0.24,0.05,0.29,0.24,0.29,Matches
Brandon Williams,eng ENG,DF,18,17,11,"1,006",1,0,0,0,6,0,0.09,0.00,0.09,0.09,0.09,0.6,0.6,0.6,0.06,0.05,0.11,0.06,0.11,Matches
Ashley Young,eng ENG,DF,34,12,10,955,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.2,0.01,0.11,0.12,0.01,0.12,Matches
Jesse Lingard,eng ENG,"MF,FW",26,22,9,935,1,0,0,0,3,0,0.10,0.00,0.10,0.10,0.10,2.8,2.8,0.9,0.27,0.08,0.35,0.27,0.35,Matches
Juan Mata,es ESP,"MF,FW",31,19,8,758,0,2,0,0,1,0,0.00,0.24,0.24,0.00,0.24,1.2,1.2,2.1,0.15,0.25,0.39,0.15,0.39,Matches
Axel Tuanzebe,eng ENG,DF,21,5,2,189,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Timothy Fosu-Mensah,nl NED,DF,21,3,2,136,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.04,0.08,0.12,0.04,0.12,Matches
Phil Jones,eng ENG,DF,27,2,2,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.15,0.00,0.15,0.15,0.15,Matches
Eric Bailly,ci CIV,DF,25,4,1,150,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Marcos Rojo,ar ARG,DF,29,3,1,122,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.08,0.00,0.08,0.08,0.08,Matches
Diogo Dalot,pt POR,DF,20,4,1,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.20,0.00,0.20,0.20,0.20,Matches
Odion Ighalo,ng NGA,FW,30,11,0,101,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.6,1.6,0.2,1.42,0.14,1.56,1.42,1.56,Matches
Tahith Chong,nl NED,"FW,MF",19,3,0,37,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.15,0.00,0.15,0.15,0.15,Matches
Angel Gomes,eng ENG,MF,18,2,0,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.66,0.66,0.00,0.66,Matches
James Garner,eng ENG,MF,18,1,0,9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Lee Grant,eng ENG,GK,36,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Sergio Romero,ar ARG,GK,32,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Martin Dúbravka,sk SVK,GK,30,38,38,"3,420",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Miguel Almirón,py PAR,"MF,FW",25,36,35,"3,021",4,2,0,0,5,0,0.12,0.06,0.18,0.12,0.18,6.7,6.7,1.6,0.21,0.05,0.25,0.21,0.25,Matches
Joelinton,br BRA,FW,22,38,32,"2,683",2,2,0,0,7,0,0.07,0.07,0.13,0.07,0.13,5.0,5.0,2.5,0.17,0.08,0.26,0.17,0.26,Matches
Federico Fernández,ar ARG,DF,30,32,29,"2,620",2,2,0,0,8,0,0.07,0.07,0.14,0.07,0.14,1.6,1.6,0.3,0.06,0.01,0.07,0.06,0.07,Matches
Isaac Hayden,eng ENG,MF,24,29,26,"2,223",1,2,0,0,4,1,0.04,0.08,0.12,0.04,0.12,1.1,1.1,1.5,0.05,0.06,0.11,0.05,0.11,Matches
Jonjo Shelvey,eng ENG,MF,27,26,25,"2,119",6,2,0,0,3,0,0.25,0.08,0.34,0.25,0.34,2.7,2.7,3.5,0.12,0.16,0.28,0.12,0.28,Matches
Jamaal Lascelles,eng ENG,DF,25,24,24,"2,076",1,0,0,0,5,0,0.04,0.00,0.04,0.04,0.04,0.4,0.4,0.1,0.02,0.01,0.02,0.02,0.02,Matches
Allan Saint-Maximin,fr FRA,"MF,FW",22,26,23,"1,863",3,4,0,0,0,0,0.14,0.19,0.34,0.14,0.34,3.3,3.3,3.6,0.16,0.18,0.34,0.16,0.34,Matches
Fabian Schär,ch SUI,"DF,MF",27,22,18,"1,672",2,0,0,0,5,0,0.11,0.00,0.11,0.11,0.11,1.2,1.2,0.1,0.06,0.01,0.07,0.06,0.07,Matches
Javier Manquillo,es ESP,DF,25,21,18,"1,599",0,1,0,0,5,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.4,0.00,0.02,0.02,0.00,0.02,Matches
Jetro Willems,nl NED,DF,25,19,18,"1,493",2,2,0,0,0,0,0.12,0.12,0.24,0.12,0.24,0.6,0.6,1.3,0.03,0.08,0.11,0.03,0.11,Matches
Sean Longstaff,eng ENG,MF,21,23,14,"1,378",1,1,0,0,2,1,0.07,0.07,0.13,0.07,0.13,1.0,1.0,0.9,0.06,0.06,0.13,0.06,0.13,Matches
Matt Ritchie,sco SCO,"DF,MF",29,18,14,"1,315",2,1,0,1,4,0,0.14,0.07,0.21,0.14,0.21,1.6,0.8,2.3,0.12,0.17,0.28,0.06,0.23,Matches
Paul Dummett,wal WAL,DF,27,16,14,"1,228",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
Ciaran Clark,ie IRL,DF,29,14,14,"1,186",2,0,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.2,1.2,0.0,0.09,0.00,0.10,0.09,0.10,Matches
Emil Krafth,se SWE,DF,24,17,11,"1,020",0,1,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,0.4,0.02,0.03,0.06,0.02,0.06,Matches
DeAndre Yedlin,us USA,DF,26,16,10,938,1,0,0,0,3,0,0.10,0.00,0.10,0.10,0.10,0.7,0.7,0.3,0.07,0.03,0.09,0.07,0.09,Matches
Danny Rose,eng ENG,DF,29,11,10,863,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.03,0.03,0.00,0.03,Matches
Dwight Gayle,eng ENG,FW,28,20,10,850,4,2,0,0,2,0,0.42,0.21,0.64,0.42,0.64,4.1,4.1,0.9,0.48,0.10,0.58,0.48,0.58,Matches
Nabil Bentaleb,dz ALG,MF,24,12,8,751,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Matches
Christian Atsu,gh GHA,"FW,MF",27,19,6,749,0,3,0,0,2,0,0.00,0.36,0.36,0.00,0.36,0.2,0.2,1.0,0.02,0.12,0.14,0.02,0.14,Matches
Matthew Longstaff,eng ENG,MF,19,9,6,575,2,0,0,0,1,0,0.31,0.00,0.31,0.31,0.31,0.4,0.4,0.2,0.06,0.03,0.09,0.06,0.09,Matches
Andy Carroll,eng ENG,FW,30,19,4,632,0,4,0,0,1,0,0.00,0.57,0.57,0.00,0.57,0.9,0.9,1.7,0.13,0.25,0.38,0.13,0.38,Matches
Valentino Lazaro,at AUT,"DF,MF",23,13,4,480,1,0,0,0,0,1,0.19,0.00,0.19,0.19,0.19,0.5,0.5,0.2,0.11,0.06,0.17,0.11,0.17,Matches
Florian Lejeune,fr FRA,DF,28,6,4,442,2,0,0,0,0,0,0.41,0.00,0.41,0.41,0.41,0.7,0.7,0.1,0.13,0.01,0.15,0.13,0.15,Matches
Yoshinori Mutō,jp JPN,"FW,MF",27,8,2,212,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.04,0.03,0.07,0.04,0.07,Matches
Ki Sung-yueng,kr KOR,MF,30,3,1,137,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.05,0.05,0.00,0.05,Matches
Kelland Watts,eng ENG,DF,19,1,0,17,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Matches
Thomas Allan,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Karl Darlow,eng ENG,GK,28,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Rob Elliot,ie IRL,GK,33,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Liam Gibson,eng ENG,DF,22,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Jack Young,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Max Aarons,eng ENG,DF,19,36,36,"3,240",0,1,0,0,7,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,3.7,0.02,0.11,0.12,0.02,0.12,Matches
Tim Krul,nl NED,GK,31,36,36,"3,240",0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Teemu Pukki,fi FIN,FW,29,36,33,"2,886",11,3,2,2,3,0,0.34,0.09,0.44,0.28,0.37,12.5,11.0,3.3,0.40,0.11,0.51,0.35,0.46,Matches
Kenny McLean,sco SCO,MF,27,37,32,"2,968",1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,1.5,1.5,1.8,0.05,0.06,0.10,0.05,0.10,Matches
Ben Godfrey,eng ENG,DF,21,30,30,"2,644",0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.03,0.00,0.03,0.03,0.03,Matches
Todd Cantwell,eng ENG,"FW,MF",21,37,30,"2,489",6,2,0,0,6,0,0.22,0.07,0.29,0.22,0.29,5.8,5.8,2.7,0.22,0.10,0.32,0.22,0.32,Matches
Emi Buendía,ar ARG,"FW,MF",22,36,28,"2,464",1,7,0,0,6,1,0.04,0.26,0.29,0.04,0.29,2.3,2.3,7.5,0.08,0.27,0.36,0.08,0.36,Matches
Alexander Tettey,no NOR,"MF,DF",33,30,28,"2,338",1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,0.9,0.9,0.8,0.03,0.03,0.06,0.03,0.06,Matches
Jamal Lewis,nir NIR,DF,21,28,25,"2,304",1,0,0,0,4,0,0.04,0.00,0.04,0.04,0.04,0.4,0.4,1.0,0.01,0.04,0.06,0.01,0.06,Matches
Christoph Zimmermann,de GER,DF,26,17,16,"1,430",0,1,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.4,0.4,0.1,0.03,0.01,0.04,0.03,0.04,Matches
Sam Byram,eng ENG,DF,25,17,15,"1,293",0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.5,0.09,0.04,0.12,0.09,0.12,Matches
Onel Hernández,cu CUB,"FW,MF",26,26,14,"1,384",1,2,0,0,0,0,0.07,0.13,0.20,0.07,0.20,2.2,2.2,1.0,0.15,0.07,0.22,0.15,0.22,Matches
Grant Hanley,sco SCO,DF,27,15,14,"1,262",0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.04,0.00,0.04,0.04,0.04,Matches
Marco Stiepermann,de GER,MF,28,24,14,"1,180",0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.6,0.14,0.05,0.19,0.14,0.19,Matches
Tom Trybull,de GER,MF,26,16,14,"1,130",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.03,0.00,0.04,0.03,0.04,Matches
Ondrej Duda,sk SVK,MF,24,10,9,724,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,1.0,0.10,0.13,0.23,0.10,0.23,Matches
Ibrahim Amadou,fr FRA,"DF,MF",26,11,8,759,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,0.12,0.01,0.13,0.12,0.13,Matches
Lukas Rupp,de GER,"FW,MF",28,12,8,695,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,0.06,0.09,0.15,0.06,0.15,Matches
Moritz Leitner,de GER,MF,26,9,7,685,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.03,0.05,0.08,0.03,0.08,Matches
Timm Klose,ch SUI,DF,31,7,7,585,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.06,0.00,0.06,0.06,0.06,Matches
Mario Vrančić,ba BIH,MF,30,20,6,636,1,0,0,0,3,0,0.14,0.00,0.14,0.14,0.14,1.8,1.8,1.0,0.26,0.14,0.40,0.26,0.40,Matches
Josip Drmić,ch SUI,"FW,MF",26,21,5,647,1,0,0,0,0,1,0.14,0.00,0.14,0.14,0.14,2.7,2.7,0.4,0.37,0.06,0.43,0.37,0.43,Matches
Adam Idah,ie IRL,"FW,MF",18,12,1,228,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,0.40,0.02,0.42,0.40,0.42,Matches
Michael McGovern,nir NIR,GK,35,2,1,159,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ralf Fährmann,de GER,GK,30,1,1,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Dennis Srbeny,de GER,"MF,FW",25,8,0,47,1,0,0,0,0,0,1.91,0.00,1.91,1.91,1.91,0.5,0.5,0.0,0.89,0.00,0.89,0.89,0.89,Matches
Josh Martin,eng ENG,FW,17,5,0,37,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Patrick Roberts,eng ENG,"MF,FW",22,3,0,26,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Akin Famewo,eng ENG,DF,20,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Matches
Jordan Thomas,eng ENG,DF,,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Matches
Daniel Adshead,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Philip Heise,de GER,"DF,MF",28,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Archie Mair,sco SCO,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
George Baldock,eng ENG,DF,26,38,38,"3,420",2,3,0,0,7,0,0.05,0.08,0.13,0.05,0.13,0.9,0.9,2.8,0.02,0.07,0.10,0.02,0.10,Matches
Enda Stevens,ie IRL,DF,29,38,38,"3,345",2,4,0,0,7,0,0.05,0.11,0.16,0.05,0.16,1.4,1.4,4.6,0.04,0.12,0.16,0.04,0.16,Matches
Chris Basham,eng ENG,DF,31,38,38,"3,242",0,1,0,0,4,0,0.00,0.03,0.03,0.00,0.03,0.6,0.6,1.0,0.02,0.03,0.04,0.02,0.04,Matches
Oliver Norwood,nir NIR,MF,28,38,37,"3,090",1,1,1,1,8,0,0.03,0.03,0.06,0.00,0.03,1.5,0.7,4.1,0.04,0.12,0.16,0.02,0.14,Matches
Dean Henderson,eng ENG,GK,22,36,36,"3,240",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
John Egan,ie IRL,DF,26,36,36,"3,187",2,0,0,0,5,1,0.06,0.00,0.06,0.06,0.06,2.4,2.4,0.1,0.07,0.00,0.07,0.07,0.07,Matches
Jack O'Connell,eng ENG,DF,25,33,32,"2,916",0,1,0,0,4,0,0.00,0.03,0.03,0.00,0.03,1.3,1.3,2.2,0.04,0.07,0.11,0.04,0.11,Matches
John Fleck,sco SCO,MF,27,30,28,"2,516",5,2,0,0,8,0,0.18,0.07,0.25,0.18,0.25,3.4,3.4,3.4,0.12,0.12,0.24,0.12,0.24,Matches
John Lundstram,eng ENG,MF,25,34,26,"2,458",5,3,0,0,5,0,0.18,0.11,0.29,0.18,0.29,5.1,5.1,2.6,0.19,0.10,0.28,0.19,0.28,Matches
Oliver McBurnie,sco SCO,FW,23,36,24,"2,113",6,0,0,0,4,0,0.26,0.00,0.26,0.26,0.26,8.3,8.3,1.5,0.35,0.07,0.42,0.35,0.42,Matches
David McGoldrick,ie IRL,FW,31,28,22,"1,815",2,2,0,0,2,0,0.10,0.10,0.20,0.10,0.20,7.1,7.1,2.3,0.35,0.11,0.47,0.35,0.47,Matches
Sander Berge,no NOR,MF,21,14,12,943,1,1,0,0,0,0,0.10,0.10,0.19,0.10,0.19,0.4,0.4,0.5,0.04,0.05,0.09,0.04,0.09,Matches
Lys Mousset,fr FRA,FW,23,30,11,"1,240",6,4,0,0,1,0,0.44,0.29,0.73,0.44,0.73,4.8,4.8,2.4,0.35,0.17,0.52,0.35,0.52,Matches
Billy Sharp,eng ENG,FW,33,25,10,"1,051",3,2,0,0,1,1,0.26,0.17,0.43,0.26,0.43,2.6,2.6,2.4,0.22,0.21,0.43,0.22,0.43,Matches
Callum Robinson,ie IRL,FW,24,16,9,676,1,1,0,0,1,0,0.13,0.13,0.27,0.13,0.27,2.1,2.1,0.5,0.28,0.07,0.35,0.28,0.35,Matches
Ben Osborn,eng ENG,"MF,DF",24,13,6,594,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.0,0.08,0.15,0.23,0.08,0.23,Matches
Jack Robinson,eng ENG,DF,25,6,6,504,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.00,0.05,0.05,0.00,0.05,Matches
Luke Freeman,eng ENG,MF,27,11,3,366,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.02,0.07,0.08,0.02,0.08,Matches
Muhamed Bešić,ba BIH,MF,26,9,2,250,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.05,0.03,0.08,0.05,0.08,Matches
Phil Jagielka,eng ENG,DF,36,6,2,244,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Simon Moore,eng ENG,GK,29,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Richairo Živković,nl NED,"FW,DF",22,5,0,112,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.05,0.12,0.16,0.05,0.16,Matches
Leon Clarke,eng ENG,MF,34,2,0,35,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,1.05,0.00,1.05,1.05,1.05,Matches
Jack Rodwell,eng ENG,MF,28,1,0,16,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ravel Morrison,eng ENG,MF,26,1,0,13,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.28,0.00,0.28,0.28,0.28,Matches
Kieron Freeman,wal WAL,FW,27,2,0,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jake Eastwood,eng ENG,GK,22,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Panagiotis Retsos,gr GRE,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Richard Stearman,eng ENG,DF,31,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Michael Verrips,nl NED,GK,22,0,0,,,,,,,,,,,,,,,,,,,,,Matches
