player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,matches,team
Pierre-Emerick Aubameyang,ga GAB,FW,30,34.8,1248,29,158,502,673,168,1214,25,49,51.0,29,0,865,6213,3885,1528,939,61.5,58,39,Matches,Arsenal
David Luiz,br BRA,DF,32,31.2,2050,392,1183,972,54,19,1946,4,9,44.4,4,0,1332,9431,5693,1454,1427,98.1,7,6,Matches,Arsenal
Bernd Leno,de GER,GK,27,29.4,1074,973,1067,8,0,0,768,1,2,50.0,1,0,497,1995,1050,444,442,99.5,0,0,Matches,Arsenal
Granit Xhaka,ch SUI,MF,26,28.7,2145,126,635,1321,315,18,2095,27,32,84.4,27,2,1528,7434,3612,1643,1559,94.9,10,12,Matches,Arsenal
Nicolas Pépé,ci CIV,FW,24,22.3,1126,10,141,466,630,111,1043,72,132,54.5,77,7,940,7289,4652,1103,825,74.8,56,64,Matches,Arsenal
Alexandre Lacazette,fr FRA,FW,28,20.8,786,22,97,366,361,116,742,25,46,54.3,27,3,543,2669,1258,906,555,61.3,60,43,Matches,Arsenal
Bukayo Saka,eng ENG,"DF,FW",17,19.5,1069,40,271,470,405,61,948,31,48,64.6,31,2,726,4770,3010,835,696,83.4,32,37,Matches,Arsenal
Mattéo Guendouzi,fr FRA,MF,20,19.4,1357,76,364,858,265,21,1332,29,42,69.0,29,2,1042,7210,3891,1053,993,94.3,9,28,Matches,Arsenal
Sead Kolašinac,ba BIH,DF,26,18.9,1182,67,359,601,296,31,1071,14,18,77.8,14,0,730,3768,2366,796,744,93.5,10,14,Matches,Arsenal
Sokratis Papastathopoulos,gr GRE,DF,31,18.8,1166,206,707,481,39,13,1126,5,6,83.3,5,0,794,3839,2028,858,839,97.8,4,6,Matches,Arsenal
Dani Ceballos,es ESP,MF,22,18.8,1492,56,346,882,403,21,1397,29,41,70.7,31,4,1083,7449,4007,1134,1074,94.7,12,25,Matches,Arsenal
Mesut Özil,de GER,MF,30,16.0,1016,9,120,529,461,46,931,21,31,67.7,23,3,781,4714,2368,960,799,83.2,27,29,Matches,Arsenal
Lucas Torreira,uy URU,MF,23,16.8,1091,58,306,663,187,31,1061,13,16,81.3,13,1,727,3409,1553,767,709,92.4,11,16,Matches,Arsenal
Ainsley Maitland-Niles,eng ENG,DF,21,15.4,1179,74,450,569,230,18,1002,22,44,50.0,25,2,727,3895,2257,768,731,95.2,13,16,Matches,Arsenal
Shkodran Mustafi,de GER,DF,27,13.4,954,124,472,513,31,14,939,2,2,100.0,2,0,589,3454,2115,671,659,98.2,1,2,Matches,Arsenal
Héctor Bellerín,es ESP,DF,24,12.9,837,34,254,430,212,28,710,16,35,45.7,21,2,489,2887,1810,548,500,91.2,11,16,Matches,Arsenal
Calum Chambers,eng ENG,DF,24,12.2,1028,130,457,429,188,27,936,13,18,72.2,13,1,681,2959,1638,715,678,94.8,7,11,Matches,Arsenal
Kieran Tierney,sco SCO,DF,22,11.0,664,41,218,280,197,17,579,12,16,75.0,12,1,381,2162,1125,422,385,91.2,12,6,Matches,Arsenal
Joe Willock,eng ENG,"MF,FW",19,9.5,515,28,109,279,177,36,505,22,33,66.7,23,3,384,2835,1687,415,333,80.2,27,19,Matches,Arsenal
Emiliano Martínez,ar ARG,GK,26,8.6,308,275,308,0,0,0,226,0,0,,0,0,148,589,303,135,135,100.0,0,0,Matches,Arsenal
Eddie Nketiah,eng ENG,FW,20,7.0,234,8,29,128,93,30,223,10,16,62.5,11,1,174,1064,454,266,166,62.4,26,18,Matches,Arsenal
Reiss Nelson,eng ENG,FW,19,7.0,328,6,49,152,158,34,310,16,29,55.2,17,0,249,1756,1033,320,235,73.4,14,14,Matches,Arsenal
Martinelli,br BRA,FW,18,7.4,275,10,62,111,131,40,273,12,30,40.0,13,0,190,1839,1243,311,181,58.2,24,21,Matches,Arsenal
Rob Holding,eng ENG,DF,23,6.5,421,84,248,189,14,7,413,2,6,33.3,2,1,274,1585,926,302,297,98.3,3,0,Matches,Arsenal
Nacho Monreal,es ESP,DF,33,3.0,231,18,90,93,59,7,205,1,3,33.3,1,0,163,618,355,177,160,90.4,3,1,Matches,Arsenal
Cédric Soares,pt POR,DF,27,2.8,161,5,40,68,59,2,141,2,2,100.0,2,0,90,484,254,102,94,92.2,3,2,Matches,Arsenal
Pablo Marí,es ESP,DF,25,1.3,111,21,52,65,1,0,110,0,0,,0,0,70,503,335,82,81,98.8,0,0,Matches,Arsenal
Henrikh Mkhitaryan,am ARM,FW,30,1.2,98,1,9,42,59,18,94,2,5,40.0,2,0,77,423,250,89,74,83.1,3,4,Matches,Arsenal
Emile Smith-Rowe,eng ENG,MF,19,1.1,50,3,12,30,16,0,50,1,1,100.0,1,0,36,281,180,47,39,83.0,5,2,Matches,Arsenal
Jack Grealish,eng ENG,"FW,MF",23,35.9,2029,44,337,912,1046,140,1857,71,120,59.2,76,5,1582,15461,9105,1776,1467,82.6,62,78,Matches,Aston Villa
Tyrone Mings,eng ENG,DF,26,32.2,1694,385,1114,632,54,24,1645,11,14,78.6,13,0,956,6820,2771,997,973,97.6,7,8,Matches,Aston Villa
Douglas Luiz,br BRA,MF,21,29.0,1521,109,439,910,300,36,1458,30,41,73.2,34,2,942,6294,3396,1038,926,89.2,24,28,Matches,Aston Villa
John McGinn,sco SCO,MF,24,25.7,1106,43,214,534,442,76,1043,53,69,76.8,55,0,770,5347,2802,826,684,82.8,37,57,Matches,Aston Villa
Matt Targett,eng ENG,DF,23,25.5,1501,124,512,648,418,33,1264,10,23,43.5,14,1,758,3296,1854,833,771,92.6,6,20,Matches,Aston Villa
Anwar El Ghazi,nl NED,"FW,MF",24,22.8,843,29,121,311,487,73,798,35,56,62.5,37,3,591,4370,2609,912,606,66.4,37,41,Matches,Aston Villa
Ezri Konsa,eng ENG,DF,21,22.7,1066,122,509,502,106,19,968,7,11,63.6,7,0,557,2578,1385,610,577,94.6,5,6,Matches,Aston Villa
Frederic Guilbert,fr FRA,DF,24,22.7,1359,110,439,605,391,12,1146,24,41,58.5,28,2,626,3648,2093,720,639,88.8,14,32,Matches,Aston Villa
Wesley Moraes,br BRA,FW,22,19.8,600,28,45,289,294,97,583,14,22,63.6,14,1,353,1723,565,874,437,50.0,61,30,Matches,Aston Villa
Trézéguet,eg EGY,"FW,MF",24,21.7,775,25,138,293,418,84,752,40,75,53.3,45,7,537,4416,2744,855,518,60.6,64,29,Matches,Aston Villa
Tom Heaton,eng ENG,GK,33,19.9,671,597,659,11,1,0,399,0,0,,0,0,239,1226,696,205,202,98.5,0,0,Matches,Aston Villa
Marvelous Nakamba,zw ZIM,MF,25,20.4,1013,91,348,553,162,4,991,14,20,70.0,16,1,593,2960,1086,572,543,94.9,6,14,Matches,Aston Villa
Conor Hourihane,ie IRL,MF,28,17.0,855,40,135,402,343,32,703,6,9,66.7,6,0,449,1694,724,585,492,84.1,10,11,Matches,Aston Villa
Kortney Hause,eng ENG,DF,24,17.2,1024,182,604,432,46,27,980,11,14,78.6,11,1,510,3279,1619,549,528,96.2,6,14,Matches,Aston Villa
Björn Engels,be BEL,DF,24,16.1,776,154,489,310,34,13,757,2,2,100.0,2,0,435,2540,1449,469,461,98.3,0,2,Matches,Aston Villa
Pepe Reina,es ESP,GK,36,12.0,427,373,422,6,0,0,288,0,0,,0,0,175,1005,557,176,175,99.4,1,0,Matches,Aston Villa
Neil Taylor,wal WAL,DF,30,12.1,631,64,230,296,124,5,532,2,3,66.7,2,0,303,1126,574,363,322,88.7,4,2,Matches,Aston Villa
Ahmed Elmohamady,eg EGY,DF,31,11.5,718,48,211,327,240,17,622,6,9,66.7,7,0,429,2352,1408,462,424,91.8,4,5,Matches,Aston Villa
Mbwana Samatta,tz TAN,FW,26,10.5,277,6,15,124,148,29,269,9,15,60.0,9,0,161,916,269,430,203,47.2,26,11,Matches,Aston Villa
Ørjan Nyland,no NOR,GK,28,6.0,194,168,189,5,0,0,123,0,0,,0,0,85,612,360,75,74,98.7,0,0,Matches,Aston Villa
Keinan Davis,eng ENG,FW,21,6.1,224,5,17,102,122,33,219,9,15,60.0,9,1,168,1169,571,311,179,57.6,19,19,Matches,Aston Villa
Jota,es ESP,"FW,MF",28,3.7,145,8,24,69,70,11,140,8,17,47.1,12,1,118,995,551,131,98,74.8,5,11,Matches,Aston Villa
Danny Drinkwater,eng ENG,MF,29,2.9,199,6,62,110,33,2,195,2,3,66.7,2,0,117,489,173,136,126,92.6,2,6,Matches,Aston Villa
Henri Lansbury,eng ENG,MF,28,2.2,105,2,24,53,30,5,104,1,1,100.0,1,0,53,190,58,81,61,75.3,3,1,Matches,Aston Villa
Jed Steer,eng ENG,GK,26,0.1,2,2,2,0,0,0,1,0,0,,0,0,1,0,0,1,1,100.0,0,0,Matches,Aston Villa
Jonathan Kodjia,ci CIV,"FW,MF",29,1.3,49,3,5,23,24,7,43,2,2,100.0,2,0,27,208,100,62,29,46.8,4,2,Matches,Aston Villa
Indiana Vassilev,us USA,"FW,MF",18,0.6,16,0,0,3,14,3,15,1,2,50.0,2,0,15,79,20,31,10,32.3,1,1,Matches,Aston Villa
Borja Bastón,es ESP,"MF,FW",26,0.2,7,1,1,5,3,1,7,0,0,,0,0,5,30,19,7,4,57.1,1,0,Matches,Aston Villa
Aaron Ramsdale,eng ENG,GK,21,37.0,1245,1120,1231,15,0,0,826,0,0,,0,0,544,3108,1779,410,406,99.0,0,0,Matches,Bournemouth
Callum Wilson,eng ENG,FW,27,32.3,881,21,68,346,517,177,854,24,48,50.0,25,0,603,3384,1835,1390,642,46.2,105,55,Matches,Bournemouth
Jefferson Lerma,co COL,MF,24,30.0,1700,126,505,980,285,18,1677,25,33,75.8,27,1,1012,4740,2005,1026,952,92.8,22,21,Matches,Bournemouth
Philip Billing,dk DEN,MF,23,28.1,1632,134,477,799,436,60,1576,20,38,52.6,22,0,853,4587,2125,1063,891,83.8,35,30,Matches,Bournemouth
Nathan Aké,nl NED,DF,24,27.8,1508,278,920,596,86,34,1455,5,5,100.0,5,0,845,5266,2910,948,900,94.9,7,5,Matches,Bournemouth
Steve Cook,eng ENG,DF,28,27.0,1559,262,941,621,69,26,1500,4,4,100.0,4,0,823,4492,2115,923,891,96.5,6,4,Matches,Bournemouth
Diego Rico,es ESP,DF,26,25.9,1825,97,636,772,489,13,1452,19,40,47.5,23,5,863,4030,2190,893,838,93.8,13,21,Matches,Bournemouth
Adam Smith,eng ENG,DF,28,22.8,1326,70,414,657,368,25,1128,26,52,50.0,30,4,786,5939,3478,798,738,92.5,23,21,Matches,Bournemouth
Joshua King,no NOR,"FW,MF",27,22.3,824,12,104,356,451,104,809,62,122,50.8,67,7,668,5791,3505,982,600,61.1,73,72,Matches,Bournemouth
Ryan Fraser,sco SCO,"MF,FW",25,23.0,1135,29,200,431,613,69,1014,10,23,43.5,12,0,799,5673,3499,1001,786,78.5,32,21,Matches,Bournemouth
Harry Wilson,wal WAL,"MF,FW",22,18.3,857,25,126,380,401,59,795,20,38,52.6,23,0,565,3621,1760,665,539,81.1,30,20,Matches,Bournemouth
Dominic Solanke,eng ENG,"FW,MF",21,18.3,695,20,86,323,334,83,670,30,57,52.6,31,0,479,3383,1841,818,471,57.6,58,55,Matches,Bournemouth
Jack Stacey,eng ENG,DF,23,17.2,961,89,360,432,236,26,809,16,26,61.5,19,0,512,3391,1934,550,478,86.9,16,13,Matches,Bournemouth
Lewis Cook,eng ENG,MF,22,15.0,862,41,217,462,236,13,844,35,43,81.4,36,5,635,3349,1481,654,590,90.2,19,28,Matches,Bournemouth
Dan Gosling,eng ENG,MF,29,14.0,717,40,192,359,196,34,708,6,14,42.9,6,0,413,1790,744,549,449,81.8,26,31,Matches,Bournemouth
Simon Francis,eng ENG,DF,34,10.8,695,113,401,245,73,10,655,4,7,57.1,4,0,366,1861,747,410,382,93.2,1,2,Matches,Bournemouth
Chris Mepham,wal WAL,DF,21,10.1,626,127,384,259,24,11,618,2,4,50.0,3,0,369,2348,1229,383,375,97.9,3,4,Matches,Bournemouth
David Brooks,wal WAL,MF,22,5.6,236,4,29,85,138,10,214,13,25,52.0,14,3,165,1025,523,221,170,76.9,10,8,Matches,Bournemouth
Junior Stanislas,eng ENG,"MF,DF",29,7.9,387,10,68,148,196,18,348,13,21,61.9,14,2,271,1781,978,309,255,82.5,10,9,Matches,Bournemouth
Lloyd Kelly,eng ENG,DF,20,7.1,283,44,151,95,55,7,246,1,1,100.0,1,0,137,880,375,134,125,93.3,4,1,Matches,Bournemouth
Arnaut Groeneveld,nl NED,MF,22,7.0,310,5,61,153,133,29,303,21,37,56.8,23,0,244,2144,1286,304,241,79.3,15,14,Matches,Bournemouth
Andrew Surman,eng ENG,MF,32,2.6,148,9,57,73,22,0,139,1,1,100.0,1,0,73,325,94,83,79,95.2,3,1,Matches,Bournemouth
Charlie Daniels,eng ENG,DF,32,1.4,62,8,22,26,14,1,52,0,0,,0,0,37,169,67,30,29,96.7,1,0,Matches,Bournemouth
Jack Simpson,eng ENG,DF,22,2.7,129,19,65,61,5,1,115,2,3,66.7,2,0,76,342,98,69,64,92.8,2,0,Matches,Bournemouth
Mark Travers,ie IRL,GK,20,1.0,33,33,33,0,0,0,24,0,0,,0,0,14,62,30,17,17,100.0,0,0,Matches,Bournemouth
Jordon Ibe,eng ENG,DF,23,0.6,31,3,7,20,8,1,28,1,3,33.3,2,1,23,285,189,18,17,94.4,3,1,Matches,Bournemouth
Sam Surridge,eng ENG,FW,21,0.3,20,0,2,5,13,5,20,1,2,50.0,1,0,11,72,46,36,17,47.2,4,1,Matches,Bournemouth
Mathew Ryan,au AUS,GK,27,38.0,1547,1300,1542,6,1,1,1221,0,0,,0,0,896,3951,1855,845,841,99.5,1,0,Matches,Brighton
Lewis Dunk,eng ENG,DF,27,35.9,2547,436,1559,1029,107,43,2448,3,7,42.9,3,0,1596,8765,4727,1737,1712,98.6,7,10,Matches,Brighton
Dan Burn,eng ENG,DF,27,32.0,2247,171,781,1121,476,32,1975,25,43,58.1,27,2,1245,6771,3558,1438,1334,92.8,25,37,Matches,Brighton
Davy Pröpper,nl NED,MF,27,31.4,2097,73,534,1266,456,29,2076,40,65,61.5,41,2,1517,9197,4258,1601,1498,93.6,32,35,Matches,Brighton
Adam Webster,eng ENG,DF,24,29.6,2175,349,1279,942,132,30,2099,12,14,85.7,12,0,1348,9477,5945,1425,1400,98.2,8,14,Matches,Brighton
Neal Maupay,fr FRA,FW,22,30.7,1063,16,79,445,597,190,999,34,70,48.6,36,1,774,5005,2541,1440,763,53.0,57,70,Matches,Brighton
Dale Stephens,eng ENG,MF,30,28.1,1901,93,575,1140,291,9,1884,10,11,90.9,10,0,1281,6014,2256,1388,1319,95.0,11,16,Matches,Brighton
Aaron Mooy,au AUS,"MF,FW",28,23.2,1359,40,203,623,640,42,1279,37,51,72.5,39,0,968,6450,3152,1104,927,84.0,30,54,Matches,Brighton
Martín Montoya,es ESP,DF,28,21.1,1485,68,442,665,480,41,1252,19,34,55.9,19,4,902,4907,2989,1012,912,90.1,30,19,Matches,Brighton
Leandro Trossard,be BEL,"FW,MF",24,22.3,1039,21,131,419,573,117,1000,34,60,56.7,36,1,818,5551,2809,1030,768,74.6,41,47,Matches,Brighton
Pascal Groß,de GER,"FW,MF",28,20.0,1222,12,125,560,613,55,1083,10,19,52.6,10,1,810,3813,1641,1118,855,76.5,32,24,Matches,Brighton
Yves Bissouma,ml MLI,MF,22,14.0,840,32,226,471,206,12,830,26,43,60.5,29,2,573,4114,2030,586,542,92.5,32,29,Matches,Brighton
Aaron Connolly,ie IRL,FW,19,14.0,349,2,21,148,200,61,334,6,16,37.5,6,1,228,1712,944,535,235,43.9,42,34,Matches,Brighton
Shane Duffy,ie IRL,DF,27,13.8,800,124,503,304,35,16,766,2,5,40.0,3,0,420,2022,1047,465,455,97.8,6,2,Matches,Brighton
Steven Alzate,co COL,"MF,DF",20,13.2,838,31,215,406,272,44,787,33,50,66.0,35,4,618,3821,2140,638,557,87.3,20,28,Matches,Brighton
Solly March,eng ENG,"DF,FW",25,12.7,759,22,139,317,363,47,675,18,30,60.0,19,1,518,3774,2173,585,484,82.7,12,28,Matches,Brighton
Glenn Murray,eng ENG,FW,35,8.9,273,11,24,120,138,42,267,1,5,20.0,1,0,162,504,197,435,206,47.4,25,14,Matches,Brighton
Bernardo,br BRA,DF,24,7.5,483,30,160,211,142,14,433,9,12,75.0,10,0,281,1724,1003,327,285,87.2,13,10,Matches,Brighton
Tariq Lamptey,eng ENG,DF,18,6.5,326,22,110,137,108,11,280,23,30,76.7,24,1,211,1456,944,196,171,87.2,11,13,Matches,Brighton
Ezequiel Schelotto,it ITA,DF,30,4.0,232,13,79,82,90,10,192,6,9,66.7,6,1,127,1042,584,153,123,80.4,11,5,Matches,Brighton
Alexis Mac Allister,ar ARG,"MF,FW",20,3.9,183,2,25,72,93,6,152,3,6,50.0,4,0,89,431,232,120,94,78.3,7,9,Matches,Brighton
Alireza Jahanbakhsh,ir IRN,"FW,MF",25,3.5,194,4,21,60,127,12,190,7,13,53.8,7,0,152,778,402,180,142,78.9,6,8,Matches,Brighton
Jürgen Locadia,nl NED,"MF,FW",25,1.0,34,0,2,16,17,8,34,1,1,100.0,1,0,25,105,59,43,22,51.2,8,2,Matches,Brighton
Florin Andone,ro ROU,"MF,FW",26,0.8,29,3,4,12,16,7,28,2,4,50.0,2,0,17,218,151,33,16,48.5,5,2,Matches,Brighton
Gaëtan Bong,cm CMR,"MF,DF",31,0.7,44,0,4,18,23,4,41,0,1,0.0,0,0,34,149,83,44,35,79.5,2,2,Matches,Brighton
Nick Pope,eng ENG,GK,27,38.0,1284,1067,1252,30,2,1,829,0,0,,0,0,540,3471,2360,379,378,99.7,0,0,Matches,Burnley
James Tarkowski,eng ENG,DF,26,38.0,1813,313,959,797,111,72,1785,15,16,93.8,16,0,731,3509,1426,832,792,95.2,14,5,Matches,Burnley
Dwight McNeil,eng ENG,MF,19,37.1,1700,50,292,858,748,51,1575,79,134,59.0,83,6,1276,11289,5735,1236,1037,83.9,39,81,Matches,Burnley
Ashley Westwood,eng ENG,MF,29,35.0,2081,63,323,1284,546,19,1883,10,23,43.5,11,1,1202,4650,2058,1379,1266,91.8,17,16,Matches,Burnley
Ben Mee,eng ENG,DF,29,32.0,1609,235,854,768,54,38,1553,6,7,85.7,6,1,774,3265,1331,815,785,96.3,6,3,Matches,Burnley
Jack Cork,eng ENG,MF,30,29.0,1229,64,219,793,286,31,1222,26,35,74.3,26,1,746,3859,1597,788,670,85.0,25,44,Matches,Burnley
Chris Wood,nz NZL,FW,27,27.1,763,22,58,309,421,111,749,9,20,45.0,10,1,366,1457,696,1314,581,44.2,85,31,Matches,Burnley
Charlie Taylor,eng ENG,DF,25,21.6,1321,110,437,595,375,10,1048,19,39,48.7,22,3,613,5186,2515,657,614,93.5,12,17,Matches,Burnley
Jeff Hendrick,ie IRL,MF,27,21.5,780,40,151,385,282,41,752,25,48,52.1,27,0,515,2773,1291,603,471,78.1,19,35,Matches,Burnley
Phil Bardsley,sco SCO,DF,34,21.0,1130,95,343,592,240,11,898,5,8,62.5,5,0,460,2392,1196,520,488,93.8,6,7,Matches,Burnley
Erik Pieters,nl NED,"DF,MF",30,20.9,1211,79,320,629,322,21,1028,4,13,30.8,6,2,590,2936,1649,643,590,91.8,15,14,Matches,Burnley
Jay Rodriguez,eng ENG,FW,30,22.4,805,19,74,357,410,92,790,19,42,45.2,22,1,458,2694,1183,1093,561,51.3,64,41,Matches,Burnley
Matthew Lowton,eng ENG,DF,30,17.0,928,80,269,476,237,10,769,11,18,61.1,11,0,430,2048,1198,471,436,92.6,11,5,Matches,Burnley
Ashley Barnes,at AUT,FW,29,15.0,435,15,45,195,213,55,426,11,17,64.7,13,0,257,1055,452,706,298,42.2,41,20,Matches,Burnley
Josh Brownhill,eng ENG,MF,23,8.9,410,31,98,219,107,9,403,7,7,100.0,7,0,213,931,375,276,244,88.4,8,4,Matches,Burnley
Matěj Vydra,cz CZE,FW,27,9.1,238,10,19,93,138,36,235,7,17,41.2,9,1,116,753,464,412,164,39.8,21,9,Matches,Burnley
Jóhann Berg Guðmundsson,is ISL,MF,28,6.9,249,10,35,86,147,27,240,6,8,75.0,6,1,179,1177,568,216,159,73.6,4,7,Matches,Burnley
Kevin Long,ie IRL,DF,28,6.3,254,35,153,108,4,3,251,1,1,100.0,1,0,101,474,173,121,117,96.7,0,1,Matches,Burnley
Robbie Brady,ie IRL,MF,27,5.0,249,13,47,102,118,15,238,4,10,40.0,5,0,148,846,404,186,149,80.1,12,9,Matches,Burnley
Aaron Lennon,eng ENG,MF,32,5.5,189,12,39,79,83,6,187,6,8,75.0,6,0,125,788,467,156,115,73.7,7,5,Matches,Burnley
Danny Drinkwater,eng ENG,MF,29,0.6,26,2,6,19,1,0,25,0,1,0.0,0,0,11,43,5,16,11,68.8,0,1,Matches,Burnley
Max Thompson,eng ENG,FW,17,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0.0,0,0,Matches,Burnley
César Azpilicueta,es ESP,DF,29,35.9,3273,131,985,1550,877,98,2878,15,24,62.5,17,1,1947,7181,4096,2231,2095,93.9,24,13,Matches,Chelsea
Kepa Arrizabalaga,es ESP,GK,24,33.0,1134,1003,1129,5,0,0,882,0,0,,0,0,681,2609,1488,646,646,100.0,0,0,Matches,Chelsea
Mason Mount,eng ENG,"MF,FW",20,31.9,1757,25,164,822,895,150,1609,47,77,61.0,49,3,1327,7853,4318,1699,1265,74.5,75,66,Matches,Chelsea
Willian,br BRA,FW,30,28.9,1928,20,210,792,1092,139,1788,62,86,72.1,65,3,1454,12335,6885,1730,1438,83.1,51,40,Matches,Chelsea
Jorginho,it ITA,MF,27,26.4,2472,81,589,1623,408,15,2418,17,24,70.8,19,0,1801,7674,3786,1862,1791,96.2,8,22,Matches,Chelsea
Kurt Zouma,fr FRA,DF,24,26.0,2291,265,1218,1162,50,20,2263,8,12,66.7,9,0,1588,8059,4309,1698,1674,98.6,6,5,Matches,Chelsea
Tammy Abraham,eng ENG,FW,21,24.6,739,31,59,354,352,165,688,21,36,58.3,22,0,427,2315,1159,1076,495,46.0,71,47,Matches,Chelsea
Mateo Kovačić,hr CRO,MF,25,23.0,2085,38,402,1365,474,21,2048,59,77,76.6,60,1,1693,9800,4922,1729,1646,95.2,21,24,Matches,Chelsea
Andreas Christensen,dk DEN,DF,23,19.5,1449,168,741,750,47,12,1417,2,2,100.0,2,0,1024,6114,3327,1068,1056,98.9,3,2,Matches,Chelsea
N'Golo Kanté,fr FRA,MF,28,19.2,1398,50,289,785,417,37,1389,28,46,60.9,30,1,970,5311,2819,1045,915,87.6,26,32,Matches,Chelsea
Christian Pulisic,us USA,FW,20,19.1,1027,6,100,462,568,142,1020,50,101,49.5,56,2,848,6790,4411,1122,836,74.5,49,65,Matches,Chelsea
Antonio Rüdiger,de GER,DF,26,19.0,1642,194,811,905,67,14,1611,0,0,,0,0,1137,6642,3843,1201,1193,99.3,2,5,Matches,Chelsea
Reece James,eng ENG,DF,19,16.8,1483,43,352,714,503,23,1300,28,38,73.7,29,0,1026,4899,2452,1044,983,94.2,14,27,Matches,Chelsea
Marcos Alonso,es ESP,DF,28,15.9,1313,30,326,563,511,72,1146,12,19,63.2,12,0,841,4760,2735,928,829,89.3,20,22,Matches,Chelsea
Fikayo Tomori,eng ENG,DF,21,14.3,1277,148,699,605,50,8,1261,7,11,63.6,9,0,936,4464,2162,959,944,98.4,4,5,Matches,Chelsea
Ross Barkley,eng ENG,MF,25,12.3,779,15,93,405,339,43,769,33,42,78.6,34,1,650,3910,1859,695,618,88.9,20,37,Matches,Chelsea
Emerson Palmieri,it ITA,DF,24,11.4,990,34,248,468,345,33,859,14,22,63.6,16,0,648,3468,2234,689,644,93.5,11,9,Matches,Chelsea
Olivier Giroud,fr FRA,FW,32,11.0,415,16,28,229,165,65,389,2,3,66.7,2,0,170,395,207,541,301,55.6,18,6,Matches,Chelsea
Pedro,es ESP,FW,32,7.3,424,5,52,212,194,44,422,16,27,59.3,17,1,343,2326,1063,395,321,81.3,12,7,Matches,Chelsea
Callum Hudson-Odoi,eng ENG,FW,18,9.6,624,3,55,214,396,56,599,34,54,63.0,37,1,530,3783,2313,621,494,79.5,25,29,Matches,Chelsea
Willy Caballero,ar ARG,GK,37,5.0,177,166,177,0,0,0,146,0,0,,0,0,116,422,208,110,110,100.0,0,0,Matches,Chelsea
Ruben Loftus-Cheek,eng ENG,"MF,FW",23,2.3,145,6,18,79,57,12,144,2,2,100.0,2,0,101,631,320,147,116,78.9,2,3,Matches,Chelsea
Billy Gilmour,sco SCO,MF,18,2.2,196,5,54,125,34,2,195,3,6,50.0,3,0,145,711,310,157,150,95.5,2,6,Matches,Chelsea
Michy Batshuayi,be BEL,FW,25,2.7,120,2,13,54,61,32,114,4,8,50.0,6,0,84,522,300,181,87,48.1,10,4,Matches,Chelsea
Tariq Lamptey,eng ENG,DF,18,0.4,18,0,3,8,9,1,13,0,0,,0,0,8,73,56,5,5,100.0,0,1,Matches,Chelsea
Faustino Anjorin,eng ENG,FW,17,0.2,12,0,1,5,6,2,12,1,1,100.0,1,0,10,67,40,11,8,72.7,0,1,Matches,Chelsea
Armando Broja,al ALB,FW,17,0.1,5,0,0,1,4,0,5,0,0,,0,0,5,15,1,7,5,71.4,1,1,Matches,Chelsea
Wilfried Zaha,ci CIV,"MF,FW",26,36.4,1859,9,193,868,996,226,1831,162,262,61.8,172,7,1716,13591,8969,1956,1459,74.6,123,172,Matches,Crystal Palace
Jordan Ayew,gh GHA,"FW,MF",27,35.0,1366,30,178,671,637,136,1331,75,117,64.1,78,4,1012,7697,3824,1682,956,56.8,99,108,Matches,Crystal Palace
James McArthur,sco SCO,MF,31,34.3,1935,109,478,1038,519,104,1868,32,49,65.3,33,1,1249,6660,3185,1347,1178,87.5,42,44,Matches,Crystal Palace
Vicente Guaita,es ESP,GK,32,35.0,1148,1026,1143,7,0,0,796,0,0,,0,0,499,2378,1599,425,425,100.0,0,0,Matches,Crystal Palace
Cheikhou Kouyaté,sn SEN,"MF,DF",29,28.1,1210,84,397,622,252,55,1194,18,35,51.4,20,1,679,3472,1659,861,684,79.4,38,22,Matches,Crystal Palace
Patrick van Aanholt,nl NED,DF,28,27.9,1839,95,529,883,532,51,1458,18,36,50.0,18,2,1000,5651,3130,1079,994,92.1,21,16,Matches,Crystal Palace
Luka Milivojević,rs SRB,MF,28,27.9,1784,96,504,1003,358,10,1529,11,17,64.7,12,1,963,4508,1964,1023,970,94.8,19,11,Matches,Crystal Palace
Joel Ward,eng ENG,DF,29,26.5,1544,118,518,764,335,11,1268,13,19,68.4,14,2,754,3656,2004,799,744,93.1,12,20,Matches,Crystal Palace
Gary Cahill,eng ENG,DF,33,24.1,1207,198,731,486,57,42,1170,8,10,80.0,8,0,657,3750,1571,758,728,96.0,7,4,Matches,Crystal Palace
James Tomkins,eng ENG,DF,30,17.6,857,156,563,294,34,21,829,1,1,100.0,1,0,399,1793,891,456,442,96.9,1,3,Matches,Crystal Palace
Martin Kelly,eng ENG,DF,29,17.2,865,100,405,401,93,5,738,3,5,60.0,3,1,429,2041,908,457,433,94.7,7,7,Matches,Crystal Palace
James McCarthy,ie IRL,MF,28,18.7,1018,35,238,623,205,16,948,6,11,54.5,9,2,517,2434,894,606,539,88.9,11,15,Matches,Crystal Palace
