player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,matches,team
Leon Clarke,eng ENG,"FW,MF",34,0.4,11,2,4,2,5,2,11,0,0,,0,0,1,5,4,14,8,57.1,0,0,Matches,Sheffield Utd
Jack Rodwell,eng ENG,MF,28,0.2,3,1,3,0,0,0,3,0,0,,0,0,1,7,7,1,1,100.0,0,0,Matches,Sheffield Utd
Ravel Morrison,eng ENG,MF,26,0.1,8,0,0,4,4,1,8,0,0,,0,0,7,53,15,8,6,75.0,0,1,Matches,Sheffield Utd
Kieron Freeman,wal WAL,FW,27,0.1,3,0,0,0,3,0,3,0,0,,0,0,1,1,0,4,2,50.0,1,0,Matches,Sheffield Utd
James Ward-Prowse,eng ENG,"MF,DF",24,38.0,2399,124,452,1252,775,55,2022,15,21,71.4,16,1,1114,4224,1700,1362,1196,87.8,24,16,Matches,Southampton
Jan Bednarek,pl POL,DF,23,34.0,1939,260,947,1009,45,17,1878,2,2,100.0,2,0,896,3872,1855,966,953,98.7,5,1,Matches,Southampton
Danny Ings,eng ENG,FW,27,31.2,1115,37,117,463,602,180,1099,57,93,61.3,63,7,745,4367,2333,1256,723,57.6,70,53,Matches,Southampton
Nathan Redmond,eng ENG,"MF,FW",25,30.7,1443,29,186,669,728,123,1424,90,146,61.6,98,5,1159,9694,5840,1430,1011,70.7,56,58,Matches,Southampton
Ryan Bertrand,eng ENG,DF,29,30.5,1984,69,422,934,740,52,1578,9,26,34.6,10,1,1003,5856,3273,1205,1064,88.3,29,33,Matches,Southampton
Pierre Højbjerg,dk DEN,MF,23,30.6,2214,95,446,1360,526,50,2158,41,55,74.5,46,0,1412,7509,3280,1458,1336,91.6,40,37,Matches,Southampton
Alex McCarthy,eng ENG,GK,29,28.0,896,710,892,6,0,0,617,2,2,100.0,2,0,392,1923,1058,354,353,99.7,1,0,Matches,Southampton
