player,nationality,position,age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches,team
João Moutinho,pt POR,MF,32,38,"3,108",82,90.9,34.5,34,89,4,22,0,1.55,46,36,+10,+0.29,0.00,41.2,31.7,+9.5,+0.27,-0.61,Matches,Wolves
Jonny Castro,es ESP,DF,25,35,"2,887",82,84.4,32.1,33,87,2,12,1,1.57,42,35,+7,+0.22,-0.46,38.4,29.6,+8.8,+0.28,-0.34,Matches,Wolves
Matt Doherty,ie IRL,DF,27,36,"2,839",79,83.0,31.5,32,85,4,31,1,1.64,45,31,+14,+0.44,+0.91,40.6,26.6,+14.0,+0.44,+0.67,Matches,Wolves
Leander Dendoncker,be BEL,"MF,DF",24,38,"2,795",74,81.7,31.1,32,85,6,14,0,1.55,41,34,+7,+0.23,-0.35,38.4,27.5,+11.0,+0.35,+0.13,Matches,Wolves
Romain Saïss,ma MAR,DF,29,33,"2,705",82,79.1,30.1,31,86,2,22,2,1.58,41,34,+7,+0.23,-0.27,39.1,25.0,+14.1,+0.47,+0.67,Matches,Wolves
Adama Traoré,es ESP,"FW,MF",23,37,"2,605",70,76.2,28.9,27,86,10,29,1,1.57,44,33,+11,+0.38,+0.38,37.8,26.5,+11.2,+0.39,+0.25,Matches,Wolves
Diogo Jota,pt POR,"FW,MF",22,34,"2,284",67,66.8,25.4,27,78,7,26,0,1.44,26,28,-2,-0.08,-1.11,28.8,23.0,+5.7,+0.23,-0.31,Matches,Wolves
Willy Boly,fr FRA,DF,28,22,"1,979",90,57.9,22.0,22,90,0,,1,1.64,26,15,+11,+0.50,+0.50,25.1,19.1,+6.0,+0.28,-0.13,Matches,Wolves
Pedro Neto,pt POR,"FW,MF",19,29,939,32,27.5,10.4,9,69,20,16,6,1.69,19,12,+7,+0.67,+0.53,14.3,10.6,+3.7,+0.36,+0.04,Matches,Wolves
Ryan Bennett,eng ENG,DF,29,11,606,55,17.7,6.7,7,74,4,22,5,1.45,6,9,-3,-0.45,-0.89,6.7,8.1,-1.3,-0.20,-0.64,Matches,Wolves
Rúben Vinagre,pt POR,DF,20,16,652,41,19.1,7.2,6,86,10,14,18,1.50,10,6,+4,+0.55,+0.32,9.7,6.1,+3.6,+0.50,+0.21,Matches,Wolves
Patrick Cutrone,it ITA,FW,21,12,297,25,8.7,3.3,3,65,9,11,8,1.67,6,6,0,0.00,-0.32,5.0,5.7,-0.7,-0.21,-0.60,Matches,Wolves
Daniel Podence,pt POR,"FW,MF",23,9,289,32,8.5,3.2,3,70,6,13,4,1.78,4,0,+4,+1.25,+1.04,5.2,1.6,+3.6,+1.12,+0.86,Matches,Wolves
Max Kilman,eng ENG,DF,22,3,185,62,5.4,2.1,2,90,1,5,30,1.33,1,2,-1,-0.49,-0.82,1.8,2.3,-0.5,-0.24,-0.60,Matches,Wolves
Jesús Vallejo,es ESP,DF,22,2,163,82,4.8,1.8,1,90,1,73,10,0.50,3,6,-3,-1.66,-2.04,2.3,3.3,-1.0,-0.54,-0.91,Matches,Wolves
Morgan Gibbs-White,eng ENG,"MF,FW",19,7,129,18,3.8,1.4,1,66,6,11,19,1.43,2,2,0,0.00,-0.30,1.8,2.5,-0.7,-0.49,-0.85,Matches,Wolves
Bruno Jordão,pt POR,FW,20,1,7,7,0.2,0.1,0,,1,7,11,0.00,0,0,0,0.00,-0.29,0.0,0.1,-0.1,-1.63,-1.96,Matches,Wolves
Bernard Ashley-Seal,eng ENG,FW,20,0,,,,,0,,0,,6,,,,,,,,,,,,Matches,Wolves
Oskar Buur,dk DEN,"DF,MF",21,0,,,,,0,,0,,15,,,,,,,,,,,,Matches,Wolves
Leonardo Campana,ec ECU,FW,19,0,,,,,0,,0,,2,,,,,,,,,,,,Matches,Wolves
Luke Cundle,eng ENG,MF,,0,,,,,0,,0,,1,,,,,,,,,,,,Matches,Wolves
Ryan John Giles,eng ENG,MF,19,0,,,,,0,,0,,2,,,,,,,,,,,,Matches,Wolves
Owen Otasowie,eng ENG,MF,18,0,,,,,0,,0,,3,,,,,,,,,,,,Matches,Wolves
Taylor Perry,eng ENG,MF,18,0,,,,,0,,0,,3,,,,,,,,,,,,Matches,Wolves
John Ruddy,eng ENG,GK,32,0,,,,,0,,0,,38,,,,,,,,,,,,Matches,Wolves
