player,nationality,position,age,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches,team
Chris Wood,nz NZL,FW,27,27.1,483,470,13,0,0,163,4,8,0,0,0,0,207,152,124,60,249,69,2,20,312,4,12,13,14,Matches,Burnley
Charlie Taylor,eng ENG,DF,25,21.6,1035,754,281,11,2,157,25,88,0,0,0,0,356,260,419,660,19,57,270,2,726,5,28,9,48,Matches,Burnley
Jeff Hendrick,ie IRL,MF,27,21.5,575,548,27,3,0,135,12,31,6,6,0,0,370,79,126,60,461,29,7,6,420,5,15,11,40,Matches,Burnley
Phil Bardsley,sco SCO,DF,34,21.0,897,662,235,16,2,93,23,30,0,0,0,0,335,182,380,71,529,60,219,1,599,6,30,6,29,Matches,Burnley
Erik Pieters,nl NED,"DF,MF",30,20.9,923,737,186,10,2,180,20,41,1,1,0,0,455,191,277,623,56,44,175,4,687,4,17,14,34,Matches,Burnley
Jay Rodriguez,eng ENG,FW,30,22.4,495,481,14,2,1,150,10,14,0,0,0,0,245,151,99,20,355,45,1,18,345,0,6,10,26,Matches,Burnley
Matthew Lowton,eng ENG,DF,30,17.0,726,562,164,12,2,144,20,43,0,0,0,0,294,162,270,51,477,35,152,2,497,5,20,17,19,Matches,Burnley
Ashley Barnes,at AUT,FW,29,15.0,253,244,9,0,1,97,1,5,0,0,0,0,123,59,71,46,142,22,1,8,155,1,10,9,13,Matches,Burnley
Josh Brownhill,eng ENG,MF,23,8.9,340,332,8,4,0,47,6,2,0,0,0,0,206,57,77,41,246,31,3,2,276,3,7,3,3,Matches,Burnley
Matěj Vydra,cz CZE,FW,27,9.1,138,135,3,0,0,47,0,3,0,0,0,0,72,49,17,22,78,20,1,2,102,0,5,1,5,Matches,Burnley
Jóhann Berg Guðmundsson,is ISL,MF,28,6.9,192,185,7,0,0,40,16,35,6,6,0,0,99,33,60,151,28,9,1,0,132,0,3,1,5,Matches,Burnley
Kevin Long,ie IRL,DF,28,6.3,186,183,3,2,0,21,4,0,0,0,0,0,108,19,59,11,132,29,1,0,142,0,5,0,1,Matches,Burnley
Robbie Brady,ie IRL,MF,27,5.0,167,158,9,3,0,49,4,12,4,4,0,0,87,29,51,119,21,14,2,0,108,1,5,6,4,Matches,Burnley
