player,nationality,position,age,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches,team
Jamaal Lascelles,eng ENG,DF,25,23.1,811,796,15,15,1,144,22,0,0,0,0,0,539,89,183,117,579,76,0,2,669,4,10,7,9,Matches,Newcastle Utd
Allan Saint-Maximin,fr FRA,"MF,FW",22,20.7,490,481,9,1,3,121,19,44,0,0,0,0,338,86,66,59,409,8,6,2,356,3,8,12,28,Matches,Newcastle Utd
Fabian Schär,ch SUI,"DF,MF",27,18.6,767,697,70,48,0,125,72,12,0,0,0,0,400,107,260,97,593,40,22,0,576,8,20,8,10,Matches,Newcastle Utd
Javier Manquillo,es ESP,DF,25,17.8,632,502,130,4,0,104,13,45,0,0,0,0,313,126,193,49,405,39,126,2,452,2,15,9,24,Matches,Newcastle Utd
Jetro Willems,nl NED,DF,25,16.6,582,450,132,10,0,98,13,32,1,1,0,0,306,95,181,336,91,21,121,3,408,4,9,17,27,Matches,Newcastle Utd
Sean Longstaff,eng ENG,MF,21,15.3,657,605,52,39,1,120,36,30,11,5,3,0,425,94,138,115,477,51,1,3,515,1,16,8,13,Matches,Newcastle Utd
Matt Ritchie,sco SCO,"DF,MF",29,14.6,691,533,158,27,0,143,47,100,57,23,24,3,338,148,205,466,111,25,74,4,474,3,11,9,30,Matches,Newcastle Utd
Paul Dummett,wal WAL,DF,27,13.6,502,450,52,11,0,104,11,15,0,0,0,0,262,71,169,382,30,29,41,3,358,2,12,6,16,Matches,Newcastle Utd
Ciaran Clark,ie IRL,DF,29,13.2,322,297,25,10,0,58,7,0,0,0,0,0,182,43,97,227,42,24,15,1,253,0,9,2,4,Matches,Newcastle Utd
Emil Krafth,se SWE,DF,24,11.3,433,358,75,7,0,51,8,20,0,0,0,0,243,73,117,21,316,20,68,2,316,3,5,11,21,Matches,Newcastle Utd
DeAndre Yedlin,us USA,DF,26,10.4,316,274,42,1,0,49,5,26,0,0,0,0,142,73,101,14,234,20,41,3,228,0,7,3,10,Matches,Newcastle Utd
Danny Rose,eng ENG,DF,29,9.6,419,358,61,14,0,49,8,8,0,0,0,0,247,86,86,298,49,18,47,0,325,2,6,5,15,Matches,Newcastle Utd
Dwight Gayle,eng ENG,FW,28,9.4,150,135,15,1,1,47,4,3,0,0,0,0,83,34,33,20,95,14,2,2,110,1,5,2,4,Matches,Newcastle Utd
Nabil Bentaleb,dz ALG,MF,24,8.3,404,392,12,12,0,63,19,0,0,0,0,0,292,57,55,308,60,18,0,3,347,1,9,8,7,Matches,Newcastle Utd
Christian Atsu,gh GHA,"FW,MF",27,8.3,208,198,10,2,1,45,8,17,6,2,2,0,147,20,41,168,26,9,1,0,163,2,5,4,6,Matches,Newcastle Utd
Matthew Longstaff,eng ENG,MF,19,6.4,237,232,5,3,0,34,5,2,0,0,0,0,161,30,46,21,200,13,0,0,193,0,4,6,4,Matches,Newcastle Utd
Andy Carroll,eng ENG,FW,30,7.0,207,202,5,0,1,102,7,5,0,0,0,0,78,63,66,81,45,13,0,11,134,1,7,2,4,Matches,Newcastle Utd
Valentino Lazaro,at AUT,"DF,MF",23,5.3,194,165,29,4,0,30,5,13,11,1,4,5,113,35,46,22,148,6,14,1,158,1,2,5,3,Matches,Newcastle Utd
Florian Lejeune,fr FRA,DF,28,4.9,187,169,18,6,0,41,8,2,0,0,0,0,106,23,58,40,120,7,12,0,136,0,7,3,2,Matches,Newcastle Utd
Yoshinori Mutō,jp JPN,"FW,MF",27,2.4,31,29,2,1,0,11,0,1,0,0,0,0,23,6,2,10,19,0,0,1,26,0,0,0,1,Matches,Newcastle Utd
Ki Sung-yueng,kr KOR,MF,30,1.5,67,61,6,3,0,13,8,4,3,3,0,0,45,11,11,5,57,3,0,0,59,0,0,1,0,Matches,Newcastle Utd
Kelland Watts,eng ENG,DF,19,0.2,4,4,0,0,0,1,0,0,0,0,0,0,1,0,3,2,2,0,0,0,1,0,0,0,0,Matches,Newcastle Utd
Max Aarons,eng ENG,DF,19,36.0,1684,1356,328,27,1,291,10,72,0,0,0,0,1018,391,275,219,1102,45,301,2,1316,0,33,22,70,Matches,Norwich City
Tim Krul,nl NED,GK,31,36.0,1550,1111,439,105,0,225,38,0,0,0,0,0,697,127,726,1001,301,1,1,178,1046,3,46,5,4,Matches,Norwich City
Teemu Pukki,fi FIN,FW,29,32.1,522,455,67,0,3,137,3,9,0,0,0,0,381,100,41,96,378,27,2,16,421,0,4,8,25,Matches,Norwich City
Kenny McLean,sco SCO,MF,27,33.0,1689,1600,89,48,4,378,58,53,20,8,12,0,1077,324,288,1199,314,77,18,8,1324,8,35,36,36,Matches,Norwich City
Ben Godfrey,eng ENG,DF,21,29.4,1606,1559,47,35,1,256,76,3,0,0,0,0,1244,162,200,139,1369,53,12,2,1413,1,35,18,16,Matches,Norwich City
Todd Cantwell,eng ENG,"FW,MF",21,27.7,1106,1069,37,13,1,259,29,25,4,0,1,0,818,181,107,93,950,30,15,9,884,6,35,23,38,Matches,Norwich City
Emi Buendía,ar ARG,"FW,MF",22,27.4,1534,1343,191,66,16,378,87,166,108,46,50,10,1040,201,293,199,1272,29,17,2,1144,8,27,37,52,Matches,Norwich City
Alexander Tettey,no NOR,"MF,DF",33,26.0,1242,1229,13,11,1,280,19,4,1,0,0,0,968,143,131,163,963,79,1,9,1100,0,12,11,13,Matches,Norwich City
Jamal Lewis,nir NIR,DF,21,25.6,1306,1050,256,14,1,214,19,44,0,0,0,0,766,325,215,901,128,26,242,1,1036,3,22,30,53,Matches,Norwich City
Christoph Zimmermann,de GER,DF,26,15.9,609,588,21,18,0,124,16,0,0,0,0,0,372,80,157,77,484,31,3,2,492,0,14,5,8,Matches,Norwich City
Sam Byram,eng ENG,DF,25,14.4,763,624,139,11,0,145,2,7,0,0,0,0,406,199,158,107,450,54,128,5,625,2,17,7,16,Matches,Norwich City
Onel Hernández,cu CUB,"FW,MF",26,15.4,335,326,9,0,1,86,2,24,1,0,0,0,252,52,31,59,253,11,7,2,248,0,1,6,18,Matches,Norwich City
Grant Hanley,sco SCO,DF,27,14.0,639,606,33,33,0,97,21,0,0,0,0,0,464,64,111,66,527,32,0,1,538,2,14,4,6,Matches,Norwich City
Marco Stiepermann,de GER,MF,28,13.1,405,385,20,0,3,120,4,6,0,0,0,0,284,67,54,342,37,15,2,2,291,1,10,10,26,Matches,Norwich City
Tom Trybull,de GER,MF,26,12.6,597,578,19,19,0,128,16,0,0,0,0,0,464,78,55,78,481,29,0,1,551,0,6,0,5,Matches,Norwich City
Ondrej Duda,sk SVK,MF,24,8.0,382,345,37,10,0,73,17,43,24,8,15,0,226,82,74,41,309,13,1,11,298,0,7,7,13,Matches,Norwich City
Ibrahim Amadou,fr FRA,"DF,MF",26,8.4,361,354,7,4,0,68,5,1,0,0,0,0,285,35,41,23,314,17,2,1,310,1,4,7,5,Matches,Norwich City
Lukas Rupp,de GER,"FW,MF",28,7.7,260,252,8,2,2,62,2,2,0,0,0,0,154,65,41,50,193,9,4,0,196,0,3,9,13,Matches,Norwich City
Moritz Leitner,de GER,MF,26,7.6,553,527,26,20,2,96,15,5,1,1,0,0,434,60,59,88,449,5,4,3,472,5,7,7,13,Matches,Norwich City
Timm Klose,ch SUI,DF,31,6.5,390,376,14,11,0,35,10,0,0,0,0,0,288,39,63,115,232,27,3,3,331,1,5,5,4,Matches,Norwich City
Mario Vrančić,ba BIH,MF,30,7.1,433,420,13,10,2,95,9,7,1,1,0,0,275,71,87,325,70,25,2,2,338,3,4,11,7,Matches,Norwich City
Josip Drmić,ch SUI,"FW,MF",26,7.2,164,152,12,0,0,49,5,3,2,2,0,0,102,44,18,19,121,7,1,9,125,0,4,4,3,Matches,Norwich City
Adam Idah,ie IRL,"FW,MF",18,2.5,48,43,5,0,0,16,0,0,0,0,0,0,28,17,3,6,34,3,1,2,37,0,1,1,2,Matches,Norwich City
Michael McGovern,nir NIR,GK,35,1.8,51,32,19,5,0,5,2,0,0,0,0,0,24,1,26,4,36,0,0,10,31,0,1,0,0,Matches,Norwich City
Ralf Fährmann,de GER,GK,30,0.2,10,7,3,0,0,0,0,0,0,0,0,0,6,1,3,2,6,0,0,2,7,0,1,0,0,Matches,Norwich City
Dennis Srbeny,de GER,"MF,FW",25,0.5,23,23,0,0,0,4,0,0,0,0,0,0,16,6,1,6,12,3,0,1,17,0,1,0,1,Matches,Norwich City
Josh Martin,eng ENG,FW,17,0.4,16,16,0,0,0,7,0,0,0,0,0,0,13,1,2,5,11,0,0,0,12,0,0,1,1,Matches,Norwich City
Patrick Roberts,eng ENG,"MF,FW",22,0.3,10,9,1,0,0,1,1,0,0,0,0,0,7,2,1,9,1,0,0,0,7,0,0,1,0,Matches,Norwich City
Akin Famewo,eng ENG,MF,20,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Norwich City
Jordan Thomas,eng ENG,FW,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Norwich City
George Baldock,eng ENG,DF,26,38.0,1552,1249,303,7,1,271,25,128,1,1,0,0,765,371,416,51,1108,69,295,7,1173,4,32,17,87,Matches,Sheffield Utd
Enda Stevens,ie IRL,DF,29,37.2,1897,1574,323,7,1,352,28,121,0,0,0,0,1023,424,450,1353,136,70,316,2,1406,6,32,38,89,Matches,Sheffield Utd
Chris Basham,eng ENG,DF,31,36.0,1461,1290,171,20,0,247,35,50,0,0,0,0,773,252,436,117,1003,139,151,5,1084,5,48,13,28,Matches,Sheffield Utd
Oliver Norwood,nir NIR,MF,28,34.3,2148,1928,220,92,2,351,205,198,121,85,17,8,1122,367,659,76,1914,112,7,4,1664,12,71,24,30,Matches,Sheffield Utd
Dean Henderson,eng ENG,GK,22,36.0,1035,658,377,119,0,75,26,0,0,0,0,0,131,58,846,61,739,0,0,100,424,3,57,3,6,Matches,Sheffield Utd
John Egan,ie IRL,DF,26,35.4,1212,1180,32,28,0,190,49,2,0,0,0,0,768,155,289,142,894,114,4,4,1017,2,30,2,6,Matches,Sheffield Utd
Jack O'Connell,eng ENG,DF,25,32.4,1555,1467,88,30,2,248,71,51,0,0,0,0,875,212,468,1269,61,110,58,4,1156,5,42,9,39,Matches,Sheffield Utd
John Fleck,sco SCO,MF,27,28.0,1164,1030,134,31,3,224,63,147,77,50,10,5,680,215,269,987,96,57,7,8,854,8,23,22,48,Matches,Sheffield Utd
John Lundstram,eng ENG,MF,25,27.3,1202,1179,23,8,4,262,51,55,3,2,0,1,759,229,214,320,800,54,3,6,966,9,28,20,32,Matches,Sheffield Utd
Oliver McBurnie,sco SCO,FW,23,23.5,630,614,16,0,0,265,3,10,0,0,0,0,276,179,175,24,342,95,3,18,407,4,6,14,30,Matches,Sheffield Utd
David McGoldrick,ie IRL,FW,31,20.2,623,609,14,1,4,167,18,8,0,0,0,0,406,117,100,57,462,37,1,8,475,10,16,10,20,Matches,Sheffield Utd
Sander Berge,no NOR,MF,21,10.5,386,377,9,6,0,106,9,23,0,0,0,0,261,70,55,36,302,19,3,2,298,0,12,4,14,Matches,Sheffield Utd
Lys Mousset,fr FRA,FW,23,13.8,239,231,8,0,1,72,1,4,0,0,0,0,173,42,24,24,191,11,1,4,176,1,6,6,11,Matches,Sheffield Utd
Billy Sharp,eng ENG,FW,33,11.7,222,216,6,0,1,69,2,12,0,0,0,0,134,57,31,21,170,18,0,5,162,1,3,7,12,Matches,Sheffield Utd
Callum Robinson,ie IRL,FW,24,7.5,155,146,9,0,1,38,9,15,0,0,0,0,105,26,24,31,114,4,1,2,117,0,5,3,7,Matches,Sheffield Utd
Ben Osborn,eng ENG,"MF,DF",24,6.6,259,245,14,2,1,64,5,16,3,0,1,1,143,64,52,198,33,11,9,1,179,2,10,4,13,Matches,Sheffield Utd
Jack Robinson,eng ENG,DF,25,5.6,257,230,27,9,1,23,9,6,0,0,0,0,160,22,75,184,32,16,18,1,193,0,13,1,7,Matches,Sheffield Utd
Luke Freeman,eng ENG,MF,27,4.1,150,143,7,0,0,37,2,15,7,4,1,0,92,31,27,124,18,4,0,0,110,0,7,2,11,Matches,Sheffield Utd
Muhamed Bešić,ba BIH,MF,26,2.8,106,104,2,2,0,24,5,1,0,0,0,0,69,20,17,14,80,8,0,0,86,0,0,3,5,Matches,Sheffield Utd
Phil Jagielka,eng ENG,DF,36,2.7,74,71,3,0,0,11,3,1,0,0,0,0,47,6,21,11,55,2,3,0,59,0,4,0,1,Matches,Sheffield Utd
Simon Moore,eng ENG,GK,29,2.0,48,25,23,12,0,1,3,0,0,0,0,0,8,1,39,3,33,0,0,4,19,0,3,1,0,Matches,Sheffield Utd
Richairo Živković,nl NED,FW,22,1.2,18,15,3,0,0,4,0,1,0,0,0,0,12,3,3,3,15,0,0,0,16,0,1,0,0,Matches,Sheffield Utd
Leon Clarke,eng ENG,"FW,MF",34,0.4,7,7,0,0,0,2,0,0,0,0,0,0,2,3,2,2,2,1,0,0,5,0,0,0,0,Matches,Sheffield Utd
Jack Rodwell,eng ENG,MF,28,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,Matches,Sheffield Utd
Ravel Morrison,eng ENG,MF,26,0.1,6,6,0,0,0,2,0,0,0,0,0,0,5,1,0,1,5,0,0,0,4,0,0,1,1,Matches,Sheffield Utd
Kieron Freeman,wal WAL,FW,27,0.1,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,Matches,Sheffield Utd
James Ward-Prowse,eng ENG,"MF,DF",24,38.0,1971,1609,362,87,6,286,98,265,182,82,74,19,1033,324,614,170,1534,152,53,10,1458,4,29,25,41,Matches,Southampton
Jan Bednarek,pl POL,DF,23,34.0,1434,1371,63,28,1,177,25,1,0,0,0,0,906,153,375,224,975,140,34,4,1143,3,26,12,16,Matches,Southampton
Danny Ings,eng ENG,FW,27,31.2,678,663,15,0,3,171,17,29,0,0,0,0,351,152,175,87,508,52,1,7,437,7,19,15,34,Matches,Southampton
Nathan Redmond,eng ENG,"MF,FW",25,30.7,1061,1043,18,1,5,298,37,42,0,0,0,0,701,190,170,80,925,33,3,3,781,6,25,28,45,Matches,Southampton
Ryan Bertrand,eng ENG,DF,29,30.5,1656,1239,417,48,0,257,45,117,25,7,10,7,833,336,487,1083,88,93,344,6,1244,6,29,29,61,Matches,Southampton
Pierre Højbjerg,dk DEN,MF,23,30.6,1810,1745,65,41,2,374,51,28,1,0,0,0,1114,310,386,308,1298,132,19,16,1413,3,60,18,35,Matches,Southampton
Alex McCarthy,eng ENG,GK,29,28.0,815,535,280,103,0,99,34,0,0,0,0,0,215,46,554,88,570,0,0,74,441,5,32,4,2,Matches,Southampton
Jack Stephens,eng ENG,DF,25,27.2,1199,1149,50,37,3,197,35,5,0,0,0,0,718,121,360,62,1010,92,13,2,906,6,37,8,23,Matches,Southampton
Oriol Romeu,es ESP,MF,27,20.7,1038,1018,20,19,4,210,21,6,0,0,0,0,673,169,196,190,736,75,1,8,866,1,11,15,11,Matches,Southampton
Stuart Armstrong,sco SCO,MF,27,19.1,612,593,19,0,2,157,8,23,0,0,0,0,390,136,86,131,432,22,15,4,466,2,10,16,32,Matches,Southampton
Jannik Vestergaard,dk DEN,DF,26,16.6,799,753,46,20,2,137,21,1,0,0,0,0,536,81,182,235,447,59,26,3,641,1,22,4,6,Matches,Southampton
Cédric Soares,pt POR,DF,27,14.5,724,527,197,11,0,117,19,52,0,0,0,0,271,208,245,64,414,44,186,3,522,3,12,11,14,Matches,Southampton
Shane Long,ie IRL,FW,32,15.5,405,400,5,0,0,169,8,20,0,0,0,0,134,146,125,48,184,56,1,24,226,1,15,6,28,Matches,Southampton
Che Adams,eng ENG,FW,23,12.3,265,257,8,0,3,73,8,14,0,0,0,0,160,67,38,18,211,11,0,5,184,1,9,8,20,Matches,Southampton
Moussa Djenepo,ml MLI,"MF,DF",21,10.3,264,254,10,0,3,56,5,23,0,0,0,0,169,62,33,60,176,11,9,5,191,1,7,8,8,Matches,Southampton
Angus Gunn,eng ENG,GK,23,10.0,256,144,112,33,0,19,9,0,0,0,0,0,58,11,187,8,202,0,0,24,111,0,10,2,0,Matches,Southampton
Yan Valery,fr FRA,DF,20,8.7,318,222,96,2,0,65,7,12,0,0,0,0,121,84,113,14,181,15,94,1,198,0,20,7,16,Matches,Southampton
Sofiane Boufal,ma MAR,"MF,FW",25,8.5,325,317,8,1,1,96,8,27,1,0,0,0,222,54,49,62,236,12,6,1,247,0,9,6,14,Matches,Southampton
Michael Obafemi,ie IRL,FW,19,7.4,144,142,2,0,1,50,1,2,0,0,0,0,92,37,15,14,112,7,0,5,112,0,3,6,9,Matches,Southampton
Kyle Walker-Peters,eng ENG,DF,22,7.8,436,333,103,9,1,52,3,12,0,0,0,0,252,75,109,35,291,13,94,1,337,0,5,5,17,Matches,Southampton
Maya Yoshida,jp JPN,DF,30,6.2,247,239,8,5,0,32,8,0,0,0,0,0,171,24,52,49,174,14,3,4,207,1,7,3,3,Matches,Southampton
William Smallbone,ie IRL,MF,19,4.4,210,203,7,1,1,38,6,5,0,0,0,0,142,34,34,31,170,4,1,1,175,0,3,3,5,Matches,Southampton
Kevin Danso,at AUT,DF,20,3.1,159,125,34,1,0,32,4,4,0,0,0,0,93,24,42,10,105,6,33,0,115,0,4,5,3,Matches,Southampton
Jake Vokins,eng ENG,DF,19,1.0,73,61,12,1,1,11,1,1,0,0,0,0,31,19,23,48,10,2,11,2,60,0,0,1,1,Matches,Southampton
Nathan Tella,eng ENG,FW,20,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,Southampton
Toby Alderweireld,be BEL,DF,30,32.9,1895,1814,81,72,6,205,65,8,0,0,0,0,1238,190,467,340,1402,101,9,7,1567,10,39,9,12,Matches,Tottenham
Serge Aurier,ci CIV,DF,26,30.0,1654,1380,274,16,1,274,21,134,0,0,0,0,915,418,321,171,1092,94,258,3,1262,3,27,31,70,Matches,Tottenham
Harry Kane,eng ENG,FW,26,28.7,592,561,31,5,6,184,17,21,0,0,0,0,315,164,113,63,434,32,6,9,394,2,14,19,33,Matches,Tottenham
Son Heung-min,kr KOR,"FW,MF",27,27.5,882,802,80,12,6,201,33,77,47,20,14,7,629,143,110,118,714,23,15,4,705,1,10,15,43,Matches,Tottenham
Moussa Sissoko,fr FRA,MF,29,27.2,1279,1212,67,21,2,196,23,23,0,0,0,0,960,186,133,125,1025,47,46,12,1106,3,14,24,23,Matches,Tottenham
Davinson Sánchez,co COL,DF,23,27.0,1496,1457,39,24,0,218,42,2,0,0,0,0,1142,160,194,201,1181,70,15,4,1298,2,17,13,20,Matches,Tottenham
Harry Winks,eng ENG,MF,23,24.7,1656,1583,73,43,5,237,47,27,7,3,2,1,1282,173,201,206,1389,42,5,5,1466,2,18,22,12,Matches,Tottenham
Lucas Moura,br BRA,"FW,MF",26,24.9,799,782,17,5,6,219,6,19,4,2,1,0,518,157,124,81,633,37,5,3,581,3,9,20,38,Matches,Tottenham
Dele Alli,eng ENG,"MF,FW",23,20.5,805,747,58,9,6,195,8,7,4,0,0,1,587,139,79,33,702,30,17,8,621,6,8,16,37,Matches,Tottenham
Hugo Lloris,fr FRA,GK,32,20.1,568,381,187,38,0,49,14,0,0,0,0,0,235,38,295,331,113,0,0,82,395,2,9,1,1,Matches,Tottenham
Jan Vertonghen,be BEL,DF,32,18.3,1112,1009,103,38,0,166,28,18,0,0,0,0,764,147,201,726,249,47,65,1,930,1,9,13,23,Matches,Tottenham
Paulo Gazzaniga,ar ARG,GK,27,17.9,516,350,166,26,1,63,10,0,0,0,0,0,223,15,278,21,393,0,0,58,319,2,14,0,2,Matches,Tottenham
Ben Davies,wal WAL,DF,26,15.9,956,786,170,16,1,125,12,30,0,0,0,0,545,199,212,653,80,41,154,2,730,2,14,25,32,Matches,Tottenham
Giovani Lo Celso,ar ARG,"MF,FW",23,16.6,1005,922,83,37,2,178,45,56,40,18,9,7,684,162,159,847,116,20,6,9,832,4,10,16,21,Matches,Tottenham
Eric Dier,eng ENG,"DF,MF",25,14.9,876,857,19,18,0,140,28,3,0,0,0,0,597,100,179,118,653,55,1,2,713,4,13,16,7,Matches,Tottenham
Érik Lamela,ar ARG,"MF,FW",27,13.5,596,541,55,9,2,143,24,49,40,28,7,1,431,77,88,518,57,13,1,7,469,2,7,16,23,Matches,Tottenham
Tanguy Ndombele,fr FRA,MF,22,11.2,629,608,21,15,0,137,13,12,6,1,1,2,507,65,57,59,555,10,0,1,532,4,8,10,19,Matches,Tottenham
Christian Eriksen,dk DEN,"MF,FW",27,12.2,743,659,84,26,4,119,35,72,46,18,16,5,468,111,164,173,532,23,10,2,549,4,9,18,19,Matches,Tottenham
Danny Rose,eng ENG,DF,29,9.9,572,480,92,17,0,69,5,39,1,0,1,0,353,91,128,412,67,13,74,0,435,3,1,15,22,Matches,Tottenham
Steven Bergwijn,nl NED,"FW,MF",21,7.8,259,247,12,4,0,68,2,10,3,2,0,0,178,50,31,11,224,11,2,5,225,0,5,2,3,Matches,Tottenham
Japhet Tanganga,eng ENG,DF,20,5.8,232,195,37,4,0,38,5,2,0,0,0,0,135,59,38,21,151,13,33,1,188,0,5,3,11,Matches,Tottenham
Ryan Sessegnon,eng ENG,DF,19,3.8,195,168,27,2,0,39,5,13,1,0,1,0,119,42,34,151,11,4,24,0,145,0,1,4,8,Matches,Tottenham
Kyle Walker-Peters,eng ENG,DF,22,2.7,214,187,27,4,0,32,3,8,0,0,0,0,154,33,27,15,171,5,23,0,183,1,1,3,6,Matches,Tottenham
Oliver Skipp,eng ENG,"MF,DF",18,0.9,38,38,0,0,0,5,1,0,0,0,0,0,31,2,5,2,32,4,0,0,33,0,2,2,0,Matches,Tottenham
Juan Foyth,ar ARG,DF,21,0.8,60,52,8,1,0,12,3,0,0,0,0,0,44,8,8,6,46,0,7,0,53,1,1,1,0,Matches,Tottenham
Gedson Fernandes,pt POR,"MF,DF",20,0.8,51,44,7,1,0,11,0,6,0,0,0,0,30,14,7,4,39,2,6,0,40,0,1,0,3,Matches,Tottenham
Victor Wanyama,ke KEN,MF,28,0.3,19,17,2,1,0,2,1,0,0,0,0,0,12,4,3,0,16,2,1,0,18,0,0,0,0,Matches,Tottenham
Troy Parrott,ie IRL,MF,17,0.1,5,4,1,0,0,2,0,0,0,0,0,0,3,2,0,2,2,0,1,0,5,0,0,0,0,Matches,Tottenham
Georges-Kévin N'Koudou,fr FRA,FW,24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Tottenham
Ben Foster,eng ENG,GK,36,38.0,1201,734,467,174,0,96,56,0,0,0,0,0,174,56,971,793,162,0,1,122,533,13,36,7,3,Matches,Watford
Abdoulaye Doucouré,fr FRA,MF,26,35.1,1658,1645,13,8,2,348,24,26,1,0,0,0,1171,295,192,260,1283,68,0,6,1302,4,19,29,64,Matches,Watford
Étienne Capoue,fr FRA,MF,31,29.2,1430,1348,82,38,4,185,76,23,7,4,3,0,838,246,346,212,1069,104,3,9,1158,3,17,15,20,Matches,Watford
Craig Cathcart,nir NIR,DF,30,27.6,864,841,23,18,0,138,32,1,0,0,0,0,521,120,223,196,549,75,5,3,719,2,14,7,5,Matches,Watford
Will Hughes,eng ENG,"MF,FW",24,25.0,920,856,64,26,2,170,25,69,36,20,5,7,543,188,189,702,148,42,2,6,676,6,18,24,30,Matches,Watford
Craig Dawson,eng ENG,DF,29,26.2,908,878,30,13,1,149,52,4,0,0,0,0,531,143,234,53,719,64,17,9,729,5,24,8,13,Matches,Watford
Christian Kabasele,be BEL,DF,28,25.0,636,623,13,11,0,96,25,0,0,0,0,0,341,99,196,47,511,52,2,2,484,1,13,8,7,Matches,Watford
Kiko Femenía,es ESP,DF,28,24.9,1290,1008,282,16,0,164,23,68,2,1,1,0,680,301,309,145,807,55,264,4,996,1,21,31,37,Matches,Watford
Troy Deeney,eng ENG,FW,31,24.7,707,685,22,0,4,257,6,10,1,0,0,0,243,254,210,26,397,122,1,13,405,6,24,17,30,Matches,Watford
Gerard Deulofeu,es ESP,FW,25,23.3,823,731,92,30,3,178,25,91,33,14,11,4,544,151,128,66,732,9,8,6,603,4,9,20,48,Matches,Watford
Ismaila Sarr,sn SEN,"FW,MF",21,22.5,602,592,10,2,3,143,12,97,1,0,1,0,401,113,88,41,526,15,1,5,438,3,13,15,29,Matches,Watford
Adam Masina,it ITA,DF,25,20.2,934,716,218,17,0,162,39,68,8,5,1,1,322,168,444,568,62,67,193,5,582,6,23,8,32,Matches,Watford
Roberto Pereyra,ar ARG,"FW,MF",28,18.3,654,614,40,5,4,121,15,31,22,9,6,1,410,140,104,91,503,36,12,7,538,1,10,16,18,Matches,Watford
Adrian Mariappa,jm JAM,DF,32,16.8,585,451,134,7,1,73,12,21,0,0,0,0,253,121,211,44,356,42,127,0,426,2,15,6,10,Matches,Watford
José Holebas,gr GRE,DF,35,11.4,608,422,186,17,0,85,31,70,36,12,17,5,252,133,223,373,48,32,133,0,431,1,11,10,11,Matches,Watford
Tom Cleverley,eng ENG,MF,29,10.8,469,441,28,14,1,72,14,28,6,1,2,2,280,79,110,54,377,26,5,2,366,3,9,4,10,Matches,Watford
Nathaniel Chalobah,eng ENG,MF,24,10.3,358,335,23,7,2,89,15,21,13,2,2,5,211,76,71,61,259,22,2,0,263,1,7,6,18,Matches,Watford
Danny Welbeck,eng ENG,"FW,MF",28,9.1,168,160,8,0,0,44,1,1,1,0,1,0,113,31,24,8,128,11,2,2,131,0,1,2,6,Matches,Watford
Andre Gray,eng ENG,FW,28,8.4,155,147,8,0,2,55,2,5,0,0,0,0,96,41,18,33,101,8,0,5,102,0,4,6,16,Matches,Watford
Daryl Janmaat,nl NED,DF,30,6.7,341,287,54,1,0,64,9,23,0,0,0,0,173,90,78,43,237,8,53,0,257,0,7,4,17,Matches,Watford
Dimitri Foulquier,fr FRA,"MF,DF",26,0.7,13,12,1,0,0,5,0,1,0,0,0,0,7,4,2,2,10,0,1,0,10,0,1,0,1,Matches,Watford
Sebastian Prödl,at AUT,DF,32,0.6,10,10,0,0,0,2,0,0,0,0,0,0,3,2,5,1,6,1,0,0,6,0,1,0,0,Matches,Watford
Ignacio Pussetto,ar ARG,"FW,DF",23,0.8,31,27,4,1,0,5,1,4,0,0,0,0,9,9,13,4,18,5,3,0,18,0,1,1,0,Matches,Watford
Isaac Success,ng NGA,"FW,MF",23,0.8,21,21,0,0,0,12,0,2,0,0,0,0,12,7,2,1,15,1,0,3,14,0,0,1,2,Matches,Watford
João Pedro,br BRA,"FW,MF",17,0.3,14,14,0,0,0,5,0,3,0,0,0,0,10,1,3,4,9,0,0,0,10,0,0,0,1,Matches,Watford
Domingos Quina,pt POR,MF,19,0.2,9,9,0,0,0,0,0,0,0,0,0,0,8,1,0,0,9,0,0,0,9,0,0,0,0,Matches,Watford
Declan Rice,eng ENG,MF,20,38.0,1717,1685,32,28,2,323,81,26,0,0,0,0,1192,236,289,300,1286,89,4,2,1476,3,36,21,26,Matches,West Ham
Mark Noble,eng ENG,MF,32,29.7,1499,1387,112,62,5,268,66,40,14,9,2,1,890,287,322,104,1319,54,9,2,1217,8,28,28,45,Matches,West Ham
Angelo Ogbonna,it ITA,DF,31,31.0,945,925,20,20,0,172,24,1,0,0,0,0,577,118,250,568,238,74,0,5,744,5,22,2,8,Matches,West Ham
