player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches,team
Matt Ritchie,sco SCO,"DF,MF",29,14.6,24,17,11,10,3,4,17,23.5,13,208,49,23.6,89,70,49,27,4,0,23,12,36,36,0,Matches,Newcastle Utd
Paul Dummett,wal WAL,DF,27,13.6,28,6,18,6,4,12,20,60.0,8,163,40,24.5,97,58,8,42,10,0,32,19,47,72,0,Matches,Newcastle Utd
Ciaran Clark,ie IRL,DF,29,13.2,22,12,20,2,0,3,7,42.9,4,122,44,36.1,88,28,6,25,13,0,12,13,35,98,0,Matches,Newcastle Utd
Emil Krafth,se SWE,DF,24,11.3,20,12,16,2,2,6,21,28.6,15,134,40,29.9,85,36,13,20,9,0,11,9,29,40,0,Matches,Newcastle Utd
DeAndre Yedlin,us USA,DF,26,10.4,19,14,13,5,1,4,12,33.3,8,181,38,21.0,97,49,35,26,8,2,18,9,28,21,0,Matches,Newcastle Utd
Danny Rose,eng ENG,DF,29,9.6,26,15,15,10,1,9,20,45.0,11,92,29,31.5,57,30,5,11,1,0,10,9,35,21,0,Matches,Newcastle Utd
Dwight Gayle,eng ENG,FW,28,9.4,13,10,5,7,1,2,5,40.0,3,118,33,28.0,19,54,45,10,5,0,5,2,15,8,0,Matches,Newcastle Utd
Nabil Bentaleb,dz ALG,MF,24,8.3,30,23,20,10,0,9,25,36.0,16,177,60,33.9,72,95,10,14,2,0,12,19,49,12,0,Matches,Newcastle Utd
Christian Atsu,gh GHA,"FW,MF",27,8.3,12,9,4,6,2,4,15,26.7,11,243,47,19.3,98,105,40,28,1,0,27,2,14,6,0,Matches,Newcastle Utd
Matthew Longstaff,eng ENG,MF,19,6.4,6,3,3,3,0,1,11,9.1,10,189,34,18.0,74,102,13,3,1,1,2,6,12,2,0,Matches,Newcastle Utd
Andy Carroll,eng ENG,FW,30,7.0,7,1,3,1,3,2,8,25.0,6,82,26,31.7,14,38,30,7,3,0,4,1,8,21,0,Matches,Newcastle Utd
Valentino Lazaro,at AUT,"DF,MF",23,5.3,11,2,9,2,0,6,14,42.9,8,98,22,22.4,46,40,12,6,0,0,6,3,14,4,0,Matches,Newcastle Utd
Florian Lejeune,fr FRA,DF,28,4.9,8,6,6,2,0,5,9,55.6,4,58,19,32.8,39,18,1,13,2,0,11,11,19,27,1,Matches,Newcastle Utd
Yoshinori Mutō,jp JPN,"FW,MF",27,2.4,3,2,0,3,0,0,3,0.0,3,52,13,25.0,7,24,21,1,0,0,1,0,3,0,0,Matches,Newcastle Utd
Ki Sung-yueng,kr KOR,MF,30,1.5,1,1,1,0,0,0,2,0.0,2,39,4,10.3,21,15,3,1,0,0,1,2,3,3,0,Matches,Newcastle Utd
Kelland Watts,eng ENG,DF,19,0.2,1,0,1,0,0,1,1,100.0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,Matches,Newcastle Utd
Max Aarons,eng ENG,DF,19,36.0,64,36,40,17,7,21,45,46.7,24,485,132,27.2,281,142,62,100,30,2,70,35,99,86,0,Matches,Norwich City
Tim Krul,nl NED,GK,31,36.0,0,0,0,0,0,0,1,0.0,1,7,1,14.3,7,0,0,0,0,0,0,1,1,1,1,Matches,Norwich City
Teemu Pukki,fi FIN,FW,29,32.1,17,12,4,5,8,2,37,5.4,35,602,160,26.6,48,245,309,22,3,0,19,6,23,9,0,Matches,Norwich City
Kenny McLean,sco SCO,MF,27,33.0,48,31,26,18,4,16,53,30.2,37,589,160,27.2,226,278,85,47,8,1,39,38,86,69,1,Matches,Norwich City
Ben Godfrey,eng ENG,DF,21,29.4,34,22,26,7,1,12,24,50.0,12,234,77,32.9,162,65,7,47,32,0,15,26,60,173,4,Matches,Norwich City
Todd Cantwell,eng ENG,"FW,MF",21,27.7,49,29,22,21,6,19,82,23.2,63,575,149,25.9,184,261,130,58,5,0,53,16,65,35,0,Matches,Norwich City
Emi Buendía,ar ARG,"FW,MF",22,27.4,88,58,62,18,8,26,112,23.2,86,790,207,26.2,308,334,148,69,5,1,64,22,110,29,1,Matches,Norwich City
Alexander Tettey,no NOR,"MF,DF",33,26.0,31,20,11,18,2,12,43,27.9,31,383,98,25.6,182,179,22,40,15,0,25,43,74,85,0,Matches,Norwich City
Jamal Lewis,nir NIR,DF,21,25.6,56,31,45,6,5,18,44,40.9,26,370,112,30.3,231,98,41,55,12,0,43,28,84,68,1,Matches,Norwich City
Christoph Zimmermann,de GER,DF,26,15.9,31,21,23,7,1,16,25,64.0,9,123,38,30.9,92,30,1,33,23,1,10,18,49,123,1,Matches,Norwich City
Sam Byram,eng ENG,DF,25,14.4,46,23,28,11,7,24,49,49.0,25,236,74,31.4,126,83,27,50,10,0,40,24,70,75,0,Matches,Norwich City
Onel Hernández,cu CUB,"FW,MF",26,15.4,37,27,17,10,10,13,32,40.6,19,244,84,34.4,96,86,62,21,2,1,19,19,56,10,0,Matches,Norwich City
Grant Hanley,sco SCO,DF,27,14.0,27,17,16,11,0,11,19,57.9,8,143,50,35.0,97,43,3,34,20,0,14,30,57,103,1,Matches,Norwich City
Marco Stiepermann,de GER,MF,28,13.1,18,7,9,7,2,6,22,27.3,16,257,53,20.6,47,132,78,15,4,0,11,5,23,16,0,Matches,Norwich City
Tom Trybull,de GER,MF,26,12.6,49,30,26,18,5,18,66,27.3,48,394,113,28.7,175,202,17,21,7,0,14,16,65,38,0,Matches,Norwich City
Ondrej Duda,sk SVK,MF,24,8.0,19,15,10,6,3,7,20,35.0,13,197,54,27.4,52,105,40,18,2,0,16,6,25,7,0,Matches,Norwich City
Ibrahim Amadou,fr FRA,"DF,MF",26,8.4,21,7,12,8,1,3,11,27.3,8,107,26,24.3,64,40,3,8,6,0,2,17,38,58,1,Matches,Norwich City
Lukas Rupp,de GER,"FW,MF",28,7.7,13,9,7,3,3,2,15,13.3,13,192,48,25.0,80,83,29,17,1,0,16,14,27,4,1,Matches,Norwich City
Moritz Leitner,de GER,MF,26,7.6,18,9,10,6,2,5,20,25.0,15,160,33,20.6,85,49,26,18,5,0,13,8,26,6,0,Matches,Norwich City
Timm Klose,ch SUI,DF,31,6.5,9,4,4,5,0,5,11,45.5,6,54,24,44.4,37,17,0,11,6,0,5,8,17,29,2,Matches,Norwich City
Mario Vrančić,ba BIH,MF,30,7.1,27,14,13,13,1,13,27,48.1,14,132,31,23.5,60,51,21,14,1,0,13,8,35,7,1,Matches,Norwich City
Josip Drmić,ch SUI,"FW,MF",26,7.2,4,3,2,1,1,1,11,9.1,10,133,35,26.3,24,54,55,8,0,0,8,1,5,5,1,Matches,Norwich City
Adam Idah,ie IRL,"FW,MF",18,2.5,4,4,2,1,1,1,3,33.3,2,36,9,25.0,9,14,13,6,0,0,6,0,4,1,0,Matches,Norwich City
Michael McGovern,nir NIR,GK,35,1.8,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,Norwich City
Ralf Fährmann,de GER,GK,30,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,Norwich City
Dennis Srbeny,de GER,"MF,FW",25,0.5,5,4,3,2,0,1,3,33.3,2,20,9,45.0,4,9,7,0,0,0,0,0,5,1,0,Matches,Norwich City
Josh Martin,eng ENG,FW,17,0.4,0,0,0,0,0,0,0,,0,13,2,15.4,6,3,4,1,0,0,1,1,1,0,0,Matches,Norwich City
Patrick Roberts,eng ENG,"MF,FW",22,0.3,0,0,0,0,0,0,0,,0,4,1,25.0,2,2,0,0,0,0,0,0,0,0,0,Matches,Norwich City
Akin Famewo,eng ENG,MF,20,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,Norwich City
Jordan Thomas,eng ENG,FW,,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,Norwich City
George Baldock,eng ENG,DF,26,38.0,74,45,44,17,13,25,48,52.1,23,564,158,28.0,243,209,112,63,5,0,58,37,111,87,3,Matches,Sheffield Utd
Enda Stevens,ie IRL,DF,29,37.2,76,43,43,25,8,24,74,32.4,50,609,162,26.6,277,225,107,76,6,0,70,36,112,89,2,Matches,Sheffield Utd
Chris Basham,eng ENG,DF,31,36.0,84,50,57,23,4,32,79,40.5,47,416,135,32.5,264,119,33,57,19,1,38,73,157,264,2,Matches,Sheffield Utd
Oliver Norwood,nir NIR,MF,28,34.3,75,44,42,27,6,23,91,25.3,68,586,162,27.6,266,258,62,46,13,0,33,51,126,64,0,Matches,Sheffield Utd
Dean Henderson,eng ENG,GK,22,36.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,0,0,1,0,0,3,0,Matches,Sheffield Utd
John Egan,ie IRL,DF,26,35.4,45,27,32,13,0,21,45,46.7,24,296,101,34.1,209,80,7,73,33,0,40,56,101,270,4,Matches,Sheffield Utd
Jack O'Connell,eng ENG,DF,25,32.4,35,20,22,10,3,14,29,48.3,15,266,91,34.2,152,89,25,75,21,0,54,41,76,214,1,Matches,Sheffield Utd
John Fleck,sco SCO,MF,27,28.0,38,24,17,15,6,18,74,24.3,56,551,146,26.5,150,289,112,44,3,0,41,24,62,24,0,Matches,Sheffield Utd
John Lundstram,eng ENG,MF,25,27.3,50,33,22,18,10,19,68,27.9,49,605,172,28.4,173,302,130,29,4,0,25,33,83,51,0,Matches,Sheffield Utd
Oliver McBurnie,sco SCO,FW,23,23.5,35,21,9,20,6,7,39,17.9,32,619,150,24.2,57,291,271,33,3,0,30,18,53,43,0,Matches,Sheffield Utd
David McGoldrick,ie IRL,FW,31,20.2,42,26,10,23,9,5,17,29.4,12,460,118,25.7,46,241,173,20,3,1,17,3,45,24,0,Matches,Sheffield Utd
Sander Berge,no NOR,MF,21,10.5,26,17,5,15,6,6,15,40.0,9,248,63,25.4,52,132,64,28,1,0,27,10,36,16,0,Matches,Sheffield Utd
Lys Mousset,fr FRA,FW,23,13.8,11,4,2,5,4,2,7,28.6,5,296,83,28.0,12,120,164,10,3,0,7,4,15,2,0,Matches,Sheffield Utd
Billy Sharp,eng ENG,FW,33,11.7,9,5,3,2,4,1,4,25.0,3,217,55,25.3,16,91,110,4,0,0,4,1,10,1,0,Matches,Sheffield Utd
Callum Robinson,ie IRL,FW,24,7.5,4,4,1,1,2,1,4,25.0,3,178,50,28.1,29,80,69,4,0,0,4,5,9,2,0,Matches,Sheffield Utd
Ben Osborn,eng ENG,"MF,DF",24,6.6,18,10,14,3,1,4,15,26.7,11,163,40,24.5,58,70,35,17,1,0,16,6,24,10,0,Matches,Sheffield Utd
Jack Robinson,eng ENG,DF,25,5.6,9,3,5,4,0,5,10,50.0,5,53,16,30.2,32,19,2,15,5,0,10,7,16,39,0,Matches,Sheffield Utd
Luke Freeman,eng ENG,MF,27,4.1,5,4,1,2,2,2,9,22.2,7,96,24,25.0,31,42,23,9,0,0,9,9,14,6,0,Matches,Sheffield Utd
Muhamed Bešić,ba BIH,MF,26,2.8,9,6,6,3,0,2,6,33.3,4,71,17,23.9,29,33,9,4,0,0,4,2,11,5,0,Matches,Sheffield Utd
Phil Jagielka,eng ENG,DF,36,2.7,6,4,4,2,0,1,6,16.7,5,26,9,34.6,18,8,0,9,5,0,4,4,10,26,0,Matches,Sheffield Utd
Simon Moore,eng ENG,GK,29,2.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,0,0,0,0,Matches,Sheffield Utd
Richairo Živković,nl NED,FW,22,1.2,2,2,0,2,0,0,1,0.0,1,39,13,33.3,2,17,20,1,0,0,1,0,2,0,0,Matches,Sheffield Utd
Leon Clarke,eng ENG,"FW,MF",34,0.4,0,0,0,0,0,0,0,,0,17,5,29.4,2,7,8,0,0,0,0,0,0,2,0,Matches,Sheffield Utd
Jack Rodwell,eng ENG,MF,28,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0,Matches,Sheffield Utd
Ravel Morrison,eng ENG,MF,26,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,0,1,2,0,0,0,0,0,0,0,0,Matches,Sheffield Utd
Kieron Freeman,wal WAL,FW,27,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,0,0,0,0,Matches,Sheffield Utd
James Ward-Prowse,eng ENG,"MF,DF",24,38.0,95,56,31,52,12,37,105,35.2,68,826,244,29.5,286,409,131,67,14,0,53,54,149,109,2,Matches,Southampton
Jan Bednarek,pl POL,DF,23,34.0,70,38,47,16,7,32,73,43.8,41,321,102,31.8,205,103,13,61,26,0,35,74,144,329,4,Matches,Southampton
Danny Ings,eng ENG,FW,27,31.2,51,32,17,24,10,15,69,21.7,54,859,227,26.4,148,363,348,64,5,0,59,12,63,24,0,Matches,Southampton
Nathan Redmond,eng ENG,"MF,FW",25,30.7,57,46,16,25,16,19,64,29.7,45,643,193,30.0,164,254,225,39,2,0,37,15,72,13,0,Matches,Southampton
Ryan Bertrand,eng ENG,DF,29,30.5,48,28,20,19,9,19,55,34.5,36,385,142,36.9,139,162,84,52,13,0,39,31,79,76,1,Matches,Southampton
Pierre Højbjerg,dk DEN,MF,23,30.6,90,57,43,40,7,36,103,35.0,67,632,212,33.5,206,338,88,63,6,0,57,45,135,78,2,Matches,Southampton
Alex McCarthy,eng ENG,GK,29,28.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,2,Matches,Southampton
Jack Stephens,eng ENG,DF,25,27.2,56,35,41,14,1,21,49,42.9,28,223,78,35.0,145,70,8,60,26,0,34,30,86,183,2,Matches,Southampton
Oriol Romeu,es ESP,MF,27,20.7,56,39,22,28,6,29,83,34.9,54,441,141,32.0,169,222,50,58,15,0,43,32,88,56,0,Matches,Southampton
Stuart Armstrong,sco SCO,MF,27,19.1,49,25,27,14,8,13,46,28.3,33,407,129,31.7,115,187,105,24,5,0,19,10,59,22,1,Matches,Southampton
Jannik Vestergaard,dk DEN,DF,26,16.6,25,12,19,5,1,8,28,28.6,20,134,49,36.6,86,45,3,22,9,0,13,24,49,163,1,Matches,Southampton
Cédric Soares,pt POR,DF,27,14.5,46,24,22,21,3,18,38,47.4,20,298,92,30.9,144,114,40,37,4,0,33,18,64,59,0,Matches,Southampton
Shane Long,ie IRL,FW,32,15.5,19,15,5,10,4,5,22,22.7,17,315,98,31.1,31,120,164,18,4,0,14,3,22,12,1,Matches,Southampton
Che Adams,eng ENG,FW,23,12.3,8,6,2,4,2,0,5,0.0,5,231,58,25.1,9,97,125,10,1,0,9,2,10,10,0,Matches,Southampton
Moussa Djenepo,ml MLI,"MF,DF",21,10.3,29,18,18,6,5,8,23,34.8,15,265,79,29.8,67,120,78,24,2,0,22,10,39,12,0,Matches,Southampton
Angus Gunn,eng ENG,GK,23,10.0,0,0,0,0,0,0,1,0.0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,0,0,Matches,Southampton
Yan Valery,fr FRA,DF,20,8.7,21,13,12,6,3,5,20,25.0,15,171,49,28.7,84,52,35,19,2,0,17,12,33,40,2,Matches,Southampton
Sofiane Boufal,ma MAR,"MF,FW",25,8.5,21,12,10,8,3,3,13,23.1,10,218,71,32.6,54,94,70,17,0,0,17,3,24,2,0,Matches,Southampton
Michael Obafemi,ie IRL,FW,19,7.4,6,2,1,1,4,3,12,25.0,9,179,56,31.3,20,61,98,4,1,0,3,4,10,0,0,Matches,Southampton
Kyle Walker-Peters,eng ENG,DF,22,7.8,14,8,8,4,2,7,21,33.3,14,98,29,29.6,41,46,11,24,3,0,21,13,27,28,1,Matches,Southampton
Maya Yoshida,jp JPN,DF,30,6.2,7,5,4,0,3,2,6,33.3,4,43,12,27.9,27,16,0,11,4,0,7,3,10,41,1,Matches,Southampton
William Smallbone,ie IRL,MF,19,4.4,12,8,3,8,1,4,12,33.3,8,72,27,37.5,13,30,29,10,1,0,9,2,14,3,0,Matches,Southampton
Kevin Danso,at AUT,DF,20,3.1,8,4,4,4,0,5,8,62.5,3,41,10,24.4,26,13,2,9,4,0,5,3,11,15,0,Matches,Southampton
Jake Vokins,eng ENG,DF,19,1.0,2,0,1,1,0,1,1,100.0,0,13,6,46.2,4,5,4,1,0,0,1,0,2,1,0,Matches,Southampton
Nathan Tella,eng ENG,FW,20,0.0,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,0,0,0,0,Matches,Southampton
Toby Alderweireld,be BEL,DF,30,32.9,44,24,24,17,3,14,36,38.9,22,258,83,32.2,169,79,10,69,34,1,35,26,70,229,3,Matches,Tottenham
Serge Aurier,ci CIV,DF,26,30.0,98,55,66,26,6,32,61,52.5,29,521,153,29.4,262,187,72,58,7,0,51,43,141,105,1,Matches,Tottenham
Harry Kane,eng ENG,FW,26,28.7,20,14,5,13,2,6,19,31.6,13,448,100,22.3,22,219,207,31,12,0,19,5,25,30,0,Matches,Tottenham
Son Heung-min,kr KOR,"FW,MF",27,27.5,33,21,15,15,3,11,66,16.7,55,544,133,24.4,130,247,167,28,0,0,28,19,52,19,0,Matches,Tottenham
Moussa Sissoko,fr FRA,MF,29,27.2,56,35,36,19,1,20,50,40.0,30,437,126,28.8,219,167,51,38,5,0,33,31,87,48,0,Matches,Tottenham
Davinson Sánchez,co COL,DF,23,27.0,49,36,37,12,0,17,52,32.7,35,278,105,37.8,189,83,6,56,29,0,27,34,83,160,2,Matches,Tottenham
Harry Winks,eng ENG,MF,23,24.7,42,23,19,21,2,19,59,32.2,40,435,130,29.9,196,202,37,31,9,0,22,37,79,33,0,Matches,Tottenham
Lucas Moura,br BRA,"FW,MF",26,24.9,53,33,19,21,13,12,60,20.0,48,532,144,27.1,111,284,137,40,2,0,38,15,68,21,0,Matches,Tottenham
Dele Alli,eng ENG,"MF,FW",23,20.5,41,29,10,24,7,8,32,25.0,24,479,135,28.2,108,234,137,53,7,0,46,14,55,17,0,Matches,Tottenham
Hugo Lloris,fr FRA,GK,32,20.1,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,1,1,1,2,Matches,Tottenham
Jan Vertonghen,be BEL,DF,32,18.3,31,21,17,13,1,10,20,50.0,10,154,51,33.1,98,49,7,30,10,0,20,31,62,116,0,Matches,Tottenham
Paulo Gazzaniga,ar ARG,GK,27,17.9,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches,Tottenham
Ben Davies,wal WAL,DF,26,15.9,29,13,13,13,3,5,24,20.8,19,214,63,29.4,98,91,25,43,13,0,30,24,53,67,1,Matches,Tottenham
Giovani Lo Celso,ar ARG,"MF,FW",23,16.6,51,33,13,31,7,9,53,17.0,44,420,134,31.9,141,211,68,29,6,0,23,12,63,20,1,Matches,Tottenham
Eric Dier,eng ENG,"DF,MF",25,14.9,25,14,13,10,2,6,22,27.3,16,204,54,26.5,92,93,19,26,11,0,15,19,44,78,0,Matches,Tottenham
Érik Lamela,ar ARG,"MF,FW",27,13.5,27,21,8,15,4,5,22,22.7,17,315,88,27.9,81,150,84,19,3,0,16,7,34,8,0,Matches,Tottenham
Tanguy Ndombele,fr FRA,MF,22,11.2,27,19,12,14,1,10,27,37.0,17,226,56,24.8,79,107,40,27,4,0,23,13,40,8,0,Matches,Tottenham
Christian Eriksen,dk DEN,"MF,FW",27,12.2,19,12,12,6,1,5,23,21.7,18,260,55,21.2,83,126,51,19,1,0,18,11,30,11,0,Matches,Tottenham
Danny Rose,eng ENG,DF,29,9.9,16,13,5,7,4,7,17,41.2,10,103,34,33.0,47,35,21,23,7,0,16,7,23,34,0,Matches,Tottenham
Steven Bergwijn,nl NED,"FW,MF",21,7.8,5,4,1,3,1,2,10,20.0,8,117,34,29.1,26,68,23,11,0,0,11,3,8,7,0,Matches,Tottenham
Japhet Tanganga,eng ENG,DF,20,5.8,20,15,14,5,1,9,19,47.4,10,95,30,31.6,52,38,5,12,5,1,7,11,31,33,1,Matches,Tottenham
Ryan Sessegnon,eng ENG,DF,19,3.8,5,0,2,3,0,2,5,40.0,3,51,11,21.6,21,19,11,4,0,0,4,1,6,15,0,Matches,Tottenham
Kyle Walker-Peters,eng ENG,DF,22,2.7,5,3,5,0,0,1,5,20.0,4,36,12,33.3,19,11,6,6,2,0,4,2,7,9,0,Matches,Tottenham
Oliver Skipp,eng ENG,"MF,DF",18,0.9,3,2,1,2,0,1,2,50.0,1,31,6,19.4,14,14,3,3,1,0,2,0,3,0,0,Matches,Tottenham
Juan Foyth,ar ARG,DF,21,0.8,7,4,5,1,1,2,3,66.7,1,14,5,35.7,10,4,0,2,0,0,2,2,9,4,0,Matches,Tottenham
Gedson Fernandes,pt POR,"MF,DF",20,0.8,1,1,1,0,0,0,1,0.0,1,18,5,27.8,7,7,4,1,0,0,1,1,2,0,0,Matches,Tottenham
Victor Wanyama,ke KEN,MF,28,0.3,1,0,0,1,0,0,0,,0,6,0,0.0,2,3,1,0,0,0,0,0,1,1,0,Matches,Tottenham
Troy Parrott,ie IRL,MF,17,0.1,0,0,0,0,0,0,0,,0,4,2,50.0,2,0,2,0,0,0,0,0,0,0,0,Matches,Tottenham
Georges-Kévin N'Koudou,fr FRA,FW,24,0.0,0,0,0,0,0,0,1,0.0,1,7,3,42.9,0,2,5,0,0,0,0,0,0,0,0,Matches,Tottenham
Ben Foster,eng ENG,GK,36,38.0,0,0,0,0,0,0,3,0.0,3,9,0,0.0,9,0,0,1,0,0,1,1,1,1,2,Matches,Watford
Abdoulaye Doucouré,fr FRA,MF,26,35.1,70,49,29,30,11,16,60,26.7,44,947,238,25.1,268,463,216,59,9,0,50,32,102,45,0,Matches,Watford
Étienne Capoue,fr FRA,MF,31,29.2,80,54,43,31,6,34,89,38.2,55,662,172,26.0,288,293,81,53,10,0,43,62,142,70,0,Matches,Watford
Craig Cathcart,nir NIR,DF,30,27.6,37,26,21,15,1,10,30,33.3,20,195,68,34.9,112,75,8,35,16,1,19,22,59,195,2,Matches,Watford
Will Hughes,eng ENG,"MF,FW",24,25.0,80,49,30,37,13,27,86,31.4,59,676,181,26.8,198,334,144,66,9,0,57,35,115,30,0,Matches,Watford
Craig Dawson,eng ENG,DF,29,26.2,30,19,15,13,2,14,31,45.2,17,185,73,39.5,107,66,12,56,35,1,21,34,64,165,1,Matches,Watford
Christian Kabasele,be BEL,DF,28,25.0,40,24,32,8,0,16,36,44.4,20,247,85,34.4,141,88,18,55,28,0,27,37,77,171,2,Matches,Watford
Kiko Femenía,es ESP,DF,28,24.9,62,32,44,15,3,26,71,36.6,45,385,97,25.2,210,139,36,35,2,0,33,37,99,62,1,Matches,Watford
Troy Deeney,eng ENG,FW,31,24.7,24,17,2,14,8,9,30,30.0,21,458,107,23.4,53,226,179,20,2,0,18,11,35,22,0,Matches,Watford
Gerard Deulofeu,es ESP,FW,25,23.3,29,21,15,8,6,13,66,19.7,53,511,133,26.0,113,208,190,16,0,0,16,24,53,6,0,Matches,Watford
Ismaila Sarr,sn SEN,"FW,MF",21,22.5,25,19,13,5,7,5,22,22.7,17,421,103,24.5,107,180,134,20,3,0,17,15,40,6,0,Matches,Watford
Adam Masina,it ITA,DF,25,20.2,40,25,26,11,3,14,45,31.1,31,263,77,29.3,120,105,38,41,13,2,28,28,68,99,2,Matches,Watford
Roberto Pereyra,ar ARG,"FW,MF",28,18.3,17,10,9,4,4,5,29,17.2,24,340,90,26.5,74,155,111,38,1,0,37,12,29,5,1,Matches,Watford
Adrian Mariappa,jm JAM,DF,32,16.8,25,12,18,5,2,11,38,28.9,27,197,57,28.9,114,64,19,35,9,0,26,10,35,93,1,Matches,Watford
José Holebas,gr GRE,DF,35,11.4,25,12,20,5,0,6,25,24.0,19,179,59,33.0,94,63,22,23,3,0,20,2,27,40,0,Matches,Watford
Tom Cleverley,eng ENG,MF,29,10.8,27,17,11,14,2,11,44,25.0,33,293,85,29.0,99,145,49,20,4,0,16,9,36,16,0,Matches,Watford
Nathaniel Chalobah,eng ENG,MF,24,10.3,33,19,10,16,7,9,27,33.3,18,227,65,28.6,76,112,39,13,5,0,8,16,49,32,0,Matches,Watford
Danny Welbeck,eng ENG,"FW,MF",28,9.1,10,9,4,5,1,1,11,9.1,10,168,52,31.0,33,77,58,12,2,0,10,5,15,6,0,Matches,Watford
Andre Gray,eng ENG,FW,28,8.4,5,5,0,1,4,1,1,100.0,0,161,43,26.7,13,61,87,3,1,0,2,1,6,2,0,Matches,Watford
Daryl Janmaat,nl NED,DF,30,6.7,16,6,7,5,4,6,17,35.3,11,137,31,22.6,55,53,29,14,2,0,12,6,22,25,0,Matches,Watford
Dimitri Foulquier,fr FRA,"MF,DF",26,0.7,1,1,1,0,0,0,1,0.0,1,18,6,33.3,6,9,3,2,0,0,2,2,3,1,0,Matches,Watford
Sebastian Prödl,at AUT,DF,32,0.6,0,0,0,0,0,0,0,,0,3,0,0.0,2,1,0,0,0,0,0,0,0,4,0,Matches,Watford
Ignacio Pussetto,ar ARG,"FW,DF",23,0.8,6,3,3,2,1,3,9,33.3,6,38,8,21.1,19,17,2,3,1,1,2,3,9,4,0,Matches,Watford
Isaac Success,ng NGA,"FW,MF",23,0.8,0,0,0,0,0,0,0,,0,14,2,14.3,0,3,11,0,0,0,0,1,1,0,0,Matches,Watford
João Pedro,br BRA,"FW,MF",17,0.3,0,0,0,0,0,0,0,,0,6,1,16.7,1,4,1,0,0,0,0,0,0,1,0,Matches,Watford
Domingos Quina,pt POR,MF,19,0.2,1,0,1,0,0,1,3,33.3,2,16,3,18.8,5,7,4,2,0,0,2,0,1,0,0,Matches,Watford
Declan Rice,eng ENG,MF,20,38.0,122,89,66,52,4,32,95,33.7,63,819,237,28.9,386,385,48,68,9,0,59,78,200,62,0,Matches,West Ham
Mark Noble,eng ENG,MF,32,29.7,50,36,19,25,6,16,69,23.2,53,502,136,27.1,159,255,88,29,6,0,23,21,71,14,0,Matches,West Ham
Angelo Ogbonna,it ITA,DF,31,31.0,45,34,29,12,4,14,36,38.9,22,313,117,37.4,224,73,16,78,34,0,44,32,77,171,0,Matches,West Ham
Issa Diop,fr FRA,DF,22,30.7,32,16,22,10,0,15,32,46.9,17,243,84,34.6,156,79,8,47,21,0,26,46,78,190,3,Matches,West Ham
Aaron Cresswell,eng ENG,DF,29,30.3,48,29,25,18,5,24,59,40.7,35,355,118,33.2,185,130,40,64,10,0,54,35,83,92,2,Matches,West Ham
Ryan Fredericks,eng ENG,DF,26,24.9,86,48,63,15,8,33,65,50.8,32,325,97,29.8,196,85,44,42,9,1,33,26,112,91,0,Matches,West Ham
Łukasz Fabiański,pl POL,GK,34,23.5,0,0,0,0,0,0,3,0.0,3,10,2,20.0,10,0,0,0,0,0,0,1,1,2,2,Matches,West Ham
Sébastien Haller,fr FRA,FW,25,25.2,21,17,10,9,2,3,28,10.7,25,571,126,22.1,43,304,224,34,7,0,27,8,29,24,1,Matches,West Ham
Pablo Fornals,es ESP,"MF,FW",23,24.1,42,29,17,18,7,16,70,22.9,54,597,156,26.1,153,275,169,51,1,0,50,24,66,10,0,Matches,West Ham
Felipe Anderson,br BRA,"MF,FW",26,16.6,45,30,20,18,7,11,48,22.9,37,370,104,28.1,92,189,89,21,1,0,20,21,66,14,0,Matches,West Ham
Michail Antonio,eng ENG,FW,29,19.6,14,10,5,4,5,2,14,14.3,12,337,78,23.1,31,151,155,26,5,0,21,9,23,9,0,Matches,West Ham
