player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches,team
Nathan Aké,nl NED,DF,24,27.8,25,11,20,5,0,7,24,29.2,17,222,66,29.7,146,66,10,59,30,0,29,33,58,176,1,Matches,Bournemouth
Steve Cook,eng ENG,DF,28,27.0,22,13,15,7,0,9,23,39.1,14,164,55,33.5,111,44,9,47,28,0,19,45,67,222,1,Matches,Bournemouth
Diego Rico,es ESP,DF,26,25.9,65,42,41,21,3,18,56,32.1,38,406,126,31.0,209,138,59,82,6,0,76,80,145,99,0,Matches,Bournemouth
Adam Smith,eng ENG,DF,28,22.8,52,30,32,15,5,24,54,44.4,30,406,111,27.3,182,155,69,56,6,1,50,25,77,53,0,Matches,Bournemouth
Joshua King,no NOR,"FW,MF",27,22.3,19,15,8,7,4,2,15,13.3,13,496,123,24.8,80,219,197,27,4,0,23,5,24,11,0,Matches,Bournemouth
Ryan Fraser,sco SCO,"MF,FW",25,23.0,9,8,3,3,3,4,17,23.5,13,298,65,21.8,79,122,97,28,3,2,25,16,25,18,0,Matches,Bournemouth
Harry Wilson,wal WAL,"MF,FW",22,18.3,25,11,7,12,6,13,36,36.1,23,411,96,23.4,135,193,83,38,3,0,35,12,37,21,0,Matches,Bournemouth
Dominic Solanke,eng ENG,"FW,MF",21,18.3,11,10,2,9,0,3,27,11.1,24,643,151,23.5,84,319,240,19,5,0,14,8,19,21,0,Matches,Bournemouth
Jack Stacey,eng ENG,DF,23,17.2,21,13,13,5,3,5,21,23.8,16,241,62,25.7,116,80,45,41,9,0,32,21,42,53,1,Matches,Bournemouth
Lewis Cook,eng ENG,MF,22,15.0,27,16,15,10,2,8,40,20.0,32,375,71,18.9,125,197,53,20,6,0,14,21,48,15,0,Matches,Bournemouth
