player,nationality,position,age,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,matches,team
Rob Holding,eng ENG,DF,23,6.5,2,0.31,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Arsenal
Nacho Monreal,es ESP,DF,33,3.0,4,1.33,3,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,Arsenal
Cédric Soares,pt POR,DF,27,2.8,3,1.08,2,1,0,0,0,1,0.36,1,0,0,0,0,0,Matches,Arsenal
Pablo Marí,es ESP,DF,25,1.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Arsenal
Henrikh Mkhitaryan,am ARM,FW,30,1.2,6,4.82,5,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,Arsenal
Emile Smith-Rowe,eng ENG,MF,19,1.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Arsenal
Jack Grealish,eng ENG,"FW,MF",23,35.9,184,5.12,130,22,11,2,19,15,0.42,11,1,2,0,1,0,Matches,Aston Villa
Tyrone Mings,eng ENG,DF,26,32.2,13,0.40,12,1,0,0,0,2,0.06,2,0,0,0,0,0,Matches,Aston Villa
Douglas Luiz,br BRA,MF,21,29.0,41,1.41,34,1,3,0,3,2,0.07,2,0,0,0,0,0,Matches,Aston Villa
John McGinn,sco SCO,MF,24,25.7,93,3.62,69,10,7,2,5,9,0.35,6,1,1,0,1,0,Matches,Aston Villa
Matt Targett,eng ENG,DF,23,25.5,54,2.12,46,6,0,1,1,4,0.16,3,0,0,1,0,0,Matches,Aston Villa
Anwar El Ghazi,nl NED,"FW,MF",24,22.8,57,2.50,38,6,6,3,4,6,0.26,4,0,2,0,0,0,Matches,Aston Villa
Ezri Konsa,eng ENG,DF,21,22.7,14,0.62,9,0,1,2,2,2,0.09,1,0,0,1,0,0,Matches,Aston Villa
