player,nationality,position,age,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches,team
Lewis Dunk,eng ENG,DF,27,35.9,9,0,0,19,19,1,1,54,28,0,0,0,410,84,44,65.6,Matches,Brighton
Dan Burn,eng ENG,DF,27,32.0,5,0,0,32,13,3,52,37,36,0,0,0,308,137,52,72.5,Matches,Brighton
Davy Pröpper,nl NED,MF,27,31.4,4,0,0,31,18,0,37,30,38,0,0,0,365,24,26,48.0,Matches,Brighton
Adam Webster,eng ENG,DF,24,29.6,4,0,0,13,19,0,6,43,25,0,2,1,363,119,51,70.0,Matches,Brighton
Neal Maupay,fr FRA,FW,22,30.7,3,0,0,37,46,15,12,5,17,0,0,0,141,17,85,16.7,Matches,Brighton
Dale Stephens,eng ENG,MF,30,28.1,8,0,0,41,7,0,4,58,40,0,0,0,315,20,23,46.5,Matches,Brighton
Aaron Mooy,au AUS,"MF,FW",28,23.2,3,1,1,13,11,0,107,23,31,0,0,0,189,14,28,33.3,Matches,Brighton
Martín Montoya,es ESP,DF,28,21.1,5,0,0,27,15,4,45,29,28,0,0,0,161,27,19,58.7,Matches,Brighton
Leandro Trossard,be BEL,"FW,MF",24,22.3,0,0,0,13,11,4,76,8,16,0,0,0,138,2,22,8.3,Matches,Brighton
Pascal Groß,de GER,"FW,MF",28,20.0,4,0,0,25,12,8,146,9,21,0,0,1,123,15,33,31.3,Matches,Brighton
Yves Bissouma,ml MLI,MF,22,14.0,4,0,0,31,15,0,6,22,36,0,0,0,157,17,11,60.7,Matches,Brighton
Aaron Connolly,ie IRL,FW,19,14.0,0,0,0,16,38,14,9,0,8,2,0,0,54,14,48,22.6,Matches,Brighton
Shane Duffy,ie IRL,DF,27,13.8,2,0,0,14,10,0,1,21,9,0,0,0,136,63,17,78.8,Matches,Brighton
Steven Alzate,co COL,"MF,DF",20,13.2,1,0,0,17,18,3,9,13,23,0,0,0,137,14,11,56.0,Matches,Brighton
