player,nationality,position,age,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches,team
Pierre Højbjerg,dk DEN,MF,23,30.6,5,0,0,46,38,1,28,45,57,0,1,0,510,51,42,54.8,Matches,Southampton
Alex McCarthy,eng ENG,GK,29,28.0,0,0,0,1,3,0,0,0,0,0,0,0,117,0,0,,Matches,Southampton
Jack Stephens,eng ENG,DF,25,27.2,4,1,0,13,13,0,5,30,35,0,1,0,322,43,56,43.4,Matches,Southampton
Oriol Romeu,es ESP,MF,27,20.7,5,0,0,39,16,1,6,32,39,0,0,0,302,41,32,56.2,Matches,Southampton
Stuart Armstrong,sco SCO,MF,27,19.1,4,0,0,26,20,4,23,10,25,0,0,0,168,10,29,25.6,Matches,Southampton
Jannik Vestergaard,dk DEN,DF,26,16.6,3,0,0,9,9,0,1,24,12,0,0,0,195,80,30,72.7,Matches,Southampton
Cédric Soares,pt POR,DF,27,14.5,1,0,0,10,3,0,52,18,24,0,0,0,124,20,22,47.6,Matches,Southampton
Shane Long,ie IRL,FW,32,15.5,0,0,0,32,25,12,20,3,15,0,0,0,81,114,128,47.1,Matches,Southampton
Che Adams,eng ENG,FW,23,12.3,0,0,0,17,16,10,14,2,6,1,0,0,73,29,86,25.2,Matches,Southampton
Moussa Djenepo,ml MLI,"MF,DF",21,10.3,4,1,0,23,30,3,23,10,18,0,0,0,55,5,14,26.3,Matches,Southampton
Angus Gunn,eng ENG,GK,23,10.0,0,0,0,0,2,0,0,0,0,0,0,0,38,0,0,,Matches,Southampton
Yan Valery,fr FRA,DF,20,8.7,1,0,0,7,8,3,12,12,13,0,0,0,83,21,19,52.5,Matches,Southampton
Sofiane Boufal,ma MAR,"MF,FW",25,8.5,2,0,0,25,20,2,27,3,12,0,1,0,69,8,11,42.1,Matches,Southampton
Michael Obafemi,ie IRL,FW,19,7.4,1,0,0,11,7,3,2,4,2,0,0,0,32,8,41,16.3,Matches,Southampton
Kyle Walker-Peters,eng ENG,DF,22,7.8,1,0,0,6,21,1,12,13,8,0,0,0,70,3,15,16.7,Matches,Southampton
Maya Yoshida,jp JPN,DF,30,6.2,1,0,0,3,5,0,0,3,5,0,0,0,53,14,8,63.6,Matches,Southampton
William Smallbone,ie IRL,MF,19,4.4,0,0,0,2,6,0,5,2,8,0,0,0,42,3,21,12.5,Matches,Southampton
Kevin Danso,at AUT,DF,20,3.1,2,1,1,4,2,0,4,3,4,0,0,0,28,11,10,52.4,Matches,Southampton
Jake Vokins,eng ENG,DF,19,1.0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0,,Matches,Southampton
Nathan Tella,eng ENG,FW,20,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,50.0,Matches,Southampton
Toby Alderweireld,be BEL,DF,30,32.9,7,0,0,18,4,1,8,26,24,0,0,1,322,76,54,58.5,Matches,Tottenham
Serge Aurier,ci CIV,DF,26,30.0,4,1,1,40,22,6,134,43,55,0,2,1,320,67,67,50.0,Matches,Tottenham
Harry Kane,eng ENG,FW,26,28.7,4,0,0,37,44,20,21,5,14,1,0,0,92,64,123,34.2,Matches,Tottenham
Son Heung-min,kr KOR,"FW,MF",27,27.5,0,2,0,17,27,17,77,19,21,1,0,0,183,8,34,19.0,Matches,Tottenham
Moussa Sissoko,fr FRA,MF,29,27.2,8,0,0,44,16,2,23,31,35,0,1,0,285,31,27,53.4,Matches,Tottenham
Davinson Sánchez,co COL,DF,23,27.0,6,0,0,27,12,1,2,34,36,0,0,0,260,52,34,60.5,Matches,Tottenham
Harry Winks,eng ENG,MF,23,24.7,9,0,0,24,23,0,27,37,23,0,0,0,233,15,9,62.5,Matches,Tottenham
Lucas Moura,br BRA,"FW,MF",26,24.9,3,0,0,31,63,5,19,15,33,0,0,0,199,57,83,40.7,Matches,Tottenham
Dele Alli,eng ENG,"MF,FW",23,20.5,2,0,0,12,33,6,7,14,29,0,0,0,157,17,32,34.7,Matches,Tottenham
Hugo Lloris,fr FRA,GK,32,20.1,0,0,0,0,1,0,0,1,0,0,0,0,93,0,0,,Matches,Tottenham
Jan Vertonghen,be BEL,DF,32,18.3,2,0,0,7,17,0,18,31,21,0,1,0,196,59,25,70.2,Matches,Tottenham
Paulo Gazzaniga,ar ARG,GK,27,17.9,1,0,0,1,2,0,0,0,0,0,1,0,80,0,0,,Matches,Tottenham
Ben Davies,wal WAL,DF,26,15.9,6,0,0,27,8,1,30,24,13,0,0,0,163,42,22,65.6,Matches,Tottenham
Giovani Lo Celso,ar ARG,"MF,FW",23,16.6,6,0,0,28,45,0,56,12,33,0,0,0,167,7,24,22.6,Matches,Tottenham
Eric Dier,eng ENG,"DF,MF",25,14.9,5,0,0,19,4,1,3,19,14,0,1,0,170,79,36,68.7,Matches,Tottenham
Érik Lamela,ar ARG,"MF,FW",27,13.5,3,0,0,30,26,1,49,7,21,1,0,0,92,5,19,20.8,Matches,Tottenham
Tanguy Ndombele,fr FRA,MF,22,11.2,3,0,0,14,29,0,12,13,19,0,0,0,109,5,7,41.7,Matches,Tottenham
Christian Eriksen,dk DEN,"MF,FW",27,12.2,5,0,0,9,6,2,72,11,12,0,0,0,138,3,9,25.0,Matches,Tottenham
Danny Rose,eng ENG,DF,29,9.9,5,0,0,14,17,0,39,7,13,0,0,0,93,9,6,60.0,Matches,Tottenham
Steven Bergwijn,nl NED,"FW,MF",21,7.8,2,0,0,7,10,0,10,3,4,1,0,0,71,6,8,42.9,Matches,Tottenham
Japhet Tanganga,eng ENG,DF,20,5.8,1,0,0,8,4,0,2,11,15,0,0,0,50,19,10,65.5,Matches,Tottenham
Ryan Sessegnon,eng ENG,DF,19,3.8,0,0,0,4,2,2,13,1,0,0,1,0,28,6,5,54.5,Matches,Tottenham
Kyle Walker-Peters,eng ENG,DF,22,2.7,0,0,0,1,5,1,8,2,3,0,0,0,27,2,4,33.3,Matches,Tottenham
Oliver Skipp,eng ENG,"MF,DF",18,0.9,0,0,0,1,0,0,0,0,2,0,0,0,14,0,2,0.0,Matches,Tottenham
Juan Foyth,ar ARG,DF,21,0.8,1,0,0,2,1,0,0,2,4,0,0,0,11,1,0,100.0,Matches,Tottenham
Gedson Fernandes,pt POR,"MF,DF",20,0.8,0,0,0,0,2,0,6,1,1,0,0,0,9,0,1,0.0,Matches,Tottenham
Victor Wanyama,ke KEN,MF,28,0.3,1,0,0,1,1,0,0,0,0,0,0,0,4,1,0,100.0,Matches,Tottenham
Troy Parrott,ie IRL,MF,17,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches,Tottenham
Georges-Kévin N'Koudou,fr FRA,FW,24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,Tottenham
Ben Foster,eng ENG,GK,36,38.0,1,0,0,2,3,0,0,1,0,0,2,0,222,1,0,100.0,Matches,Watford
Abdoulaye Doucouré,fr FRA,MF,26,35.1,9,0,0,51,15,6,26,32,49,0,1,1,440,53,53,50.0,Matches,Watford
Étienne Capoue,fr FRA,MF,31,29.2,8,0,0,58,39,0,23,62,54,0,1,0,403,46,13,78.0,Matches,Watford
Craig Cathcart,nir NIR,DF,30,27.6,7,0,0,13,2,0,1,22,26,0,0,0,260,75,45,62.5,Matches,Watford
Will Hughes,eng ENG,"MF,FW",24,25.0,9,0,0,53,46,1,69,35,49,0,2,0,267,25,28,47.2,Matches,Watford
Craig Dawson,eng ENG,DF,29,26.2,6,0,0,31,12,0,4,34,19,0,1,0,254,107,36,74.8,Matches,Watford
Christian Kabasele,be BEL,DF,28,25.0,3,2,1,22,14,0,0,37,24,0,0,0,199,59,45,56.7,Matches,Watford
Kiko Femenía,es ESP,DF,28,24.9,5,0,0,26,12,1,68,37,32,1,0,0,274,21,10,67.7,Matches,Watford
Troy Deeney,eng ENG,FW,31,24.7,3,0,0,37,37,12,10,11,17,1,0,0,119,173,290,37.4,Matches,Watford
Gerard Deulofeu,es ESP,FW,25,23.3,3,0,0,27,22,18,91,24,21,1,0,0,164,3,15,16.7,Matches,Watford
Ismaila Sarr,sn SEN,"FW,MF",21,22.5,1,0,0,22,47,12,97,15,19,2,0,0,142,18,49,26.9,Matches,Watford
Adam Masina,it ITA,DF,25,20.2,3,0,0,26,12,2,68,28,25,0,1,0,230,66,29,69.5,Matches,Watford
Roberto Pereyra,ar ARG,"FW,MF",28,18.3,4,0,0,21,33,6,31,12,10,1,0,0,143,7,28,20.0,Matches,Watford
Adrian Mariappa,jm JAM,DF,32,16.8,6,1,1,20,7,2,21,10,12,0,0,1,133,41,32,56.2,Matches,Watford
José Holebas,gr GRE,DF,35,11.4,5,0,0,18,6,0,70,2,12,0,1,0,89,35,18,66.0,Matches,Watford
Tom Cleverley,eng ENG,MF,29,10.8,2,0,0,16,10,0,28,9,17,0,0,0,92,8,14,36.4,Matches,Watford
Nathaniel Chalobah,eng ENG,MF,24,10.3,1,0,0,7,8,0,21,16,19,0,0,0,115,17,14,54.8,Matches,Watford
Danny Welbeck,eng ENG,"FW,MF",28,9.1,0,0,0,8,10,2,1,5,9,1,0,0,36,23,22,51.1,Matches,Watford
Andre Gray,eng ENG,FW,28,8.4,1,0,0,10,1,6,5,1,5,0,0,0,38,14,33,29.8,Matches,Watford
Daryl Janmaat,nl NED,DF,30,6.7,1,0,0,5,1,0,23,6,6,0,0,1,45,1,1,50.0,Matches,Watford
Dimitri Foulquier,fr FRA,"MF,DF",26,0.7,0,0,0,0,0,0,1,2,1,0,0,0,4,0,2,0.0,Matches,Watford
Sebastian Prödl,at AUT,DF,32,0.6,0,0,0,1,0,0,0,0,0,0,0,0,5,4,1,80.0,Matches,Watford
Ignacio Pussetto,ar ARG,"FW,DF",23,0.8,1,0,0,3,2,0,4,3,3,0,0,0,14,1,3,25.0,Matches,Watford
Isaac Success,ng NGA,"FW,MF",23,0.8,1,0,0,2,2,0,2,1,0,0,0,0,5,1,7,12.5,Matches,Watford
João Pedro,br BRA,"FW,MF",17,0.3,0,0,0,1,0,0,3,0,0,0,0,0,3,2,3,40.0,Matches,Watford
Domingos Quina,pt POR,MF,19,0.2,0,0,0,1,1,0,0,0,0,0,0,0,4,0,2,0.0,Matches,Watford
Declan Rice,eng ENG,MF,20,38.0,6,0,0,41,7,2,26,78,89,0,1,0,450,51,33,60.7,Matches,West Ham
Mark Noble,eng ENG,MF,32,29.7,5,0,0,28,31,1,40,21,36,1,0,0,299,11,18,37.9,Matches,West Ham
Angelo Ogbonna,it ITA,DF,31,31.0,4,0,0,22,14,0,1,32,34,0,1,1,311,108,50,68.4,Matches,West Ham
Issa Diop,fr FRA,DF,22,30.7,8,0,0,31,11,1,1,46,16,0,3,0,306,84,39,68.3,Matches,West Ham
Aaron Cresswell,eng ENG,DF,29,30.3,7,0,0,16,18,2,127,35,29,0,0,0,295,51,34,60.0,Matches,West Ham
Ryan Fredericks,eng ENG,DF,26,24.9,7,0,0,25,21,0,58,26,48,0,0,0,200,28,39,41.8,Matches,West Ham
Łukasz Fabiański,pl POL,GK,34,23.5,1,0,0,1,2,0,0,1,0,0,1,0,120,0,0,,Matches,West Ham
Sébastien Haller,fr FRA,FW,25,25.2,1,0,0,46,38,18,8,8,17,1,0,0,121,200,195,50.6,Matches,West Ham
Pablo Fornals,es ESP,"MF,FW",23,24.1,3,0,0,18,16,7,62,24,29,0,0,0,187,9,49,15.5,Matches,West Ham
Felipe Anderson,br BRA,"MF,FW",26,16.6,1,0,0,17,23,2,36,21,30,0,0,0,135,4,24,14.3,Matches,West Ham
Michail Antonio,eng ENG,FW,29,19.6,3,0,0,40,35,12,49,9,10,0,0,0,95,76,115,39.8,Matches,West Ham
Robert Snodgrass,sco SCO,"MF,FW",31,16.8,4,0,0,20,32,4,135,5,10,0,0,0,129,16,24,40.0,Matches,West Ham
Manuel Lanzini,ar ARG,"MF,FW",26,15.3,1,0,0,6,26,4,42,9,9,1,0,0,126,6,14,30.0,Matches,West Ham
Fabián Balbuena,py PAR,DF,27,13.1,2,0,0,6,2,0,1,26,11,0,0,0,142,46,28,62.2,Matches,West Ham
Tomáš Souček,cz CZE,MF,24,11.6,0,0,0,11,9,0,2,22,25,0,0,1,117,62,38,62.0,Matches,West Ham
Jarrod Bowen,eng ENG,FW,22,10.2,0,0,0,4,20,1,59,13,13,0,0,0,68,4,23,14.8,Matches,West Ham
Andriy Yarmolenko,ua UKR,"MF,FW",29,11.0,2,0,0,16,10,8,19,6,10,0,0,0,71,6,12,33.3,Matches,West Ham
Arthur Masuaku,cd COD,DF,25,10.4,6,1,1,10,9,0,25,13,27,0,0,0,112,11,10,52.4,Matches,West Ham
Roberto,es ESP,GK,33,7.6,0,0,0,0,1,0,0,0,0,0,0,1,51,0,0,,Matches,West Ham
Pablo Zabaleta,ar ARG,DF,34,6.6,2,0,0,7,9,0,15,13,10,0,0,0,62,8,9,47.1,Matches,West Ham
Jeremy Ngakia,eng ENG,DF,18,4.9,0,0,0,4,1,1,12,7,12,0,0,0,38,8,11,42.1,Matches,West Ham
David Martin,eng ENG,GK,33,4.8,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,,Matches,West Ham
Ben Johnson,eng ENG,DF,19,3.0,0,0,0,8,1,0,11,3,4,0,0,0,25,9,4,69.2,Matches,West Ham
Jack Wilshere,eng ENG,MF,27,2.4,0,0,0,1,8,0,0,1,0,0,0,0,19,6,0,100.0,Matches,West Ham
Darren Randolph,ie IRL,GK,32,2.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches,West Ham
Carlos Sánchez,co COL,"MF,DF",33,1.3,0,0,0,2,0,0,0,2,1,0,0,0,22,3,1,75.0,Matches,West Ham
Javier Hernández,mx MEX,FW,31,1.2,0,0,0,0,0,1,1,0,0,0,0,0,5,0,1,0.0,Matches,West Ham
Albian Ajeti,ch SUI,"MF,FW",22,1.5,0,0,0,6,0,2,0,1,0,0,0,0,4,1,9,10.0,Matches,West Ham
Nathan Holland,eng ENG,MF,21,0.4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0.0,Matches,West Ham
Conor Coady,eng ENG,DF,26,38.0,5,0,0,16,7,0,0,27,22,0,1,0,387,42,24,63.6,Matches,Wolves
Rui Patrício,pt POR,GK,31,38.0,0,0,0,0,7,0,0,2,0,0,0,0,173,0,0,,Matches,Wolves
Raúl Jiménez,mx MEX,FW,28,36.0,3,0,0,40,35,19,23,14,23,2,0,0,166,76,115,39.8,Matches,Wolves
Rúben Neves,pt POR,MF,22,34.0,9,0,0,29,16,0,31,55,42,0,0,0,470,25,28,47.2,Matches,Wolves
João Moutinho,pt POR,MF,32,34.5,7,0,0,41,25,3,216,48,54,0,0,0,355,18,29,38.3,Matches,Wolves
Jonny Castro,es ESP,DF,25,32.1,4,0,0,34,29,2,52,52,61,0,0,0,237,37,54,40.7,Matches,Wolves
Matt Doherty,ie IRL,DF,27,31.5,1,0,0,28,19,3,44,38,33,1,1,0,255,107,92,53.8,Matches,Wolves
Leander Dendoncker,be BEL,"MF,DF",24,31.1,5,0,0,30,9,0,8,38,40,0,1,1,302,90,70,56.3,Matches,Wolves
Romain Saïss,ma MAR,DF,29,30.1,12,1,1,43,24,2,9,51,30,0,0,0,359,118,64,64.8,Matches,Wolves
Adama Traoré,es ESP,"FW,MF",23,28.9,1,0,0,39,77,5,182,18,23,0,0,0,171,48,51,48.5,Matches,Wolves
Diogo Jota,pt POR,"FW,MF",22,25.4,4,0,0,41,60,3,33,8,21,0,0,0,178,27,48,36.0,Matches,Wolves
Willy Boly,fr FRA,DF,28,22.0,3,1,1,24,8,1,2,39,40,0,0,0,218,73,27,73.0,Matches,Wolves
Pedro Neto,pt POR,"FW,MF",19,10.4,3,0,0,14,16,4,47,7,5,0,0,0,82,8,31,20.5,Matches,Wolves
Ryan Bennett,eng ENG,DF,29,6.7,2,0,0,4,1,0,4,9,3,0,0,0,66,22,11,66.7,Matches,Wolves
Rúben Vinagre,pt POR,DF,20,7.2,1,0,0,7,8,0,30,8,13,0,0,0,61,6,11,35.3,Matches,Wolves
Patrick Cutrone,it ITA,FW,21,3.3,0,0,0,5,9,4,6,2,4,0,0,0,25,5,21,19.2,Matches,Wolves
Daniel Podence,pt POR,"FW,MF",23,3.2,0,0,0,5,9,3,5,3,2,1,0,0,19,0,7,0.0,Matches,Wolves
Max Kilman,eng ENG,DF,22,2.1,0,0,0,2,0,0,0,4,3,0,0,0,14,11,10,52.4,Matches,Wolves
Jesús Vallejo,es ESP,DF,22,1.8,1,0,0,2,1,0,0,1,3,0,0,0,18,4,4,50.0,Matches,Wolves
Morgan Gibbs-White,eng ENG,"MF,FW",19,1.4,0,0,0,2,1,0,3,1,1,0,0,0,13,3,3,50.0,Matches,Wolves
Bruno Jordão,pt POR,FW,20,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,Wolves
