player,nationality,position,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches,team
Allan,br BRA,MF,29,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Everton
Séamus Coleman,ie IRL,DF,31,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,Matches,Everton
Lucas Digne,fr FRA,DF,27,1,1,90,0,1,0,0,0,0,0.00,1.00,1.00,0.00,1.00,0.0,0.0,0.1,0.00,0.05,0.05,0.00,0.05,Matches,Everton
Abdoulaye Doucouré,fr FRA,MF,27,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.17,0.17,0.00,0.17,Matches,Everton
Michael Keane,eng ENG,DF,27,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Everton
Yerry Mina,co COL,DF,25,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,Everton
Jordan Pickford,eng ENG,GK,26,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Everton
Richarlison,br BRA,FW,23,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,0.94,0.07,1.02,0.94,1.02,Matches,Everton
James Rodríguez,co COL,FW,29,1,1,89,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.23,0.29,0.53,0.23,0.53,Matches,Everton
Dominic Calvert-Lewin,eng ENG,FW,23,1,1,88,1,0,0,0,0,0,1.02,0.00,1.02,1.02,1.02,0.2,0.2,0.1,0.19,0.12,0.32,0.19,0.32,Matches,Everton
André Gomes,pt POR,MF,27,1,1,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.08,0.00,0.08,0.08,0.08,Matches,Everton
Gylfi Sigurðsson,is ISL,MF,30,1,0,23,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Everton
Moise Kean,it ITA,FW,20,1,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Everton
Tom Davies,eng ENG,FW,22,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Everton
Bernard,br BRA,"FW,MF",27,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Jonjoe Kenny,eng ENG,"DF,FW",23,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Everton
João Virgínia,pt POR,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Theo Walcott,eng ENG,"FW,MF",31,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Joe Bryan,eng ENG,DF,26,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Fulham
Tom Cairney,sco SCO,MF,29,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Fulham
Ivan Cavaleiro,pt POR,FW,26,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.13,0.13,0.00,0.13,Matches,Fulham
Michael Hector,jm JAM,DF,28,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Fulham
Denis Odoi,be BEL,DF,32,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,Fulham
Tim Ream,us USA,DF,32,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Fulham
Harrison Reed,eng ENG,MF,25,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Fulham
Marek Rodák,sk SVK,GK,23,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Fulham
Josh Onomah,eng ENG,MF,23,1,1,74,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Fulham
Aboubakar Kamara,fr FRA,FW,25,1,1,62,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,Fulham
Neeskens Kebano,cd COD,FW,28,1,1,62,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.13,0.00,0.13,0.13,0.13,Matches,Fulham
Aleksandar Mitrović,rs SRB,FW,25,1,0,28,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.15,0.00,0.15,0.15,0.15,Matches,Fulham
Andre-Frank Zambo Anguissa,cm CMR,FW,24,1,0,28,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.15,0.15,0.00,0.15,Matches,Fulham
Bobby Reid,jm JAM,MF,27,1,0,16,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.11,0.00,0.11,0.11,0.11,Matches,Fulham
Alphonse Areola,fr FRA,GK,27,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
Cyrus Christie,ie IRL,DF,27,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
Anthony Knockaert,fr FRA,"FW,MF",28,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
Maxime Le Marchand,fr FRA,"DF,MF",30,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
