player,nationality,position,age,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches,team
Jetro Willems,nl NED,DF,25,16.6,2,14,6,42.9,0.84,0.36,0.14,0.33,0,0,0,0.6,0.6,0.04,+1.4,+1.4,Matches,Newcastle Utd
Sean Longstaff,eng ENG,MF,21,15.3,1,26,6,23.1,1.70,0.39,0.04,0.17,3,0,0,1.0,1.0,0.04,0.0,0.0,Matches,Newcastle Utd
Matt Ritchie,sco SCO,"DF,MF",29,14.6,2,25,6,24.0,1.71,0.41,0.08,0.33,1,0,1,1.5,0.7,0.03,+0.5,+1.3,Matches,Newcastle Utd
Paul Dummett,wal WAL,DF,27,13.6,0,1,1,100.0,0.07,0.07,0.00,0.00,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Newcastle Utd
Ciaran Clark,ie IRL,DF,29,13.2,2,6,4,66.7,0.46,0.30,0.33,0.50,0,0,0,1.3,1.3,0.22,+0.7,+0.7,Matches,Newcastle Utd
Emil Krafth,se SWE,DF,24,11.3,0,4,0,0.0,0.35,0.00,0.00,,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,Newcastle Utd
DeAndre Yedlin,us USA,DF,26,10.4,1,1,1,100.0,0.10,0.10,1.00,1.00,0,0,0,0.6,0.6,0.64,+0.4,+0.4,Matches,Newcastle Utd
Danny Rose,eng ENG,DF,29,9.6,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Newcastle Utd
Dwight Gayle,eng ENG,FW,28,9.4,4,23,10,43.5,2.44,1.06,0.17,0.40,1,0,0,4.5,4.5,0.20,-0.5,-0.5,Matches,Newcastle Utd
Nabil Bentaleb,dz ALG,MF,24,8.3,0,4,0,0.0,0.48,0.00,0.00,,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Newcastle Utd
Christian Atsu,gh GHA,"FW,MF",27,8.3,0,5,1,20.0,0.60,0.12,0.00,0.00,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,Newcastle Utd
Matthew Longstaff,eng ENG,MF,19,6.4,2,4,2,50.0,0.63,0.31,0.50,1.00,0,0,0,0.4,0.4,0.11,+1.6,+1.6,Matches,Newcastle Utd
Andy Carroll,eng ENG,FW,30,7.0,0,15,3,20.0,2.14,0.43,0.00,0.00,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches,Newcastle Utd
Valentino Lazaro,at AUT,"DF,MF",23,5.3,1,4,1,25.0,0.75,0.19,0.25,1.00,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches,Newcastle Utd
Florian Lejeune,fr FRA,DF,28,4.9,2,4,3,75.0,0.81,0.61,0.50,0.67,0,0,0,0.5,0.5,0.12,+1.5,+1.5,Matches,Newcastle Utd
Yoshinori Mutō,jp JPN,"FW,MF",27,2.4,0,1,0,0.0,0.42,0.00,0.00,,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Newcastle Utd
Ki Sung-yueng,kr KOR,MF,30,1.5,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Newcastle Utd
Kelland Watts,eng ENG,DF,19,0.2,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Newcastle Utd
Max Aarons,eng ENG,DF,19,36.0,0,14,4,28.6,0.39,0.11,0.00,0.00,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,Norwich City
Tim Krul,nl NED,GK,31,36.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Norwich City
Teemu Pukki,fi FIN,FW,29,32.1,11,80,32,40.0,2.49,1.00,0.11,0.28,0,2,2,12.4,10.8,0.14,-1.4,-1.8,Matches,Norwich City
Kenny McLean,sco SCO,MF,27,33.0,1,30,10,33.3,0.91,0.30,0.03,0.10,2,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches,Norwich City
Ben Godfrey,eng ENG,DF,21,29.4,0,15,5,33.3,0.51,0.17,0.00,0.00,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches,Norwich City
Todd Cantwell,eng ENG,"FW,MF",21,27.7,6,42,16,38.1,1.52,0.58,0.14,0.38,0,0,0,5.9,5.9,0.14,+0.1,+0.1,Matches,Norwich City
Emi Buendía,ar ARG,"FW,MF",22,27.4,1,40,11,27.5,1.46,0.40,0.03,0.09,10,0,0,2.3,2.3,0.06,-1.3,-1.3,Matches,Norwich City
Alexander Tettey,no NOR,"MF,DF",33,26.0,1,23,3,13.0,0.89,0.12,0.04,0.33,0,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches,Norwich City
Jamal Lewis,nir NIR,DF,21,25.6,1,9,4,44.4,0.35,0.16,0.11,0.25,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches,Norwich City
Christoph Zimmermann,de GER,DF,26,15.9,0,6,1,16.7,0.38,0.06,0.00,0.00,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,Norwich City
Sam Byram,eng ENG,DF,25,14.4,0,16,2,12.5,1.11,0.14,0.00,0.00,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches,Norwich City
Onel Hernández,cu CUB,"FW,MF",26,15.4,1,30,9,30.0,1.95,0.59,0.03,0.11,0,0,0,2.6,2.6,0.09,-1.6,-1.6,Matches,Norwich City
Grant Hanley,sco SCO,DF,27,14.0,0,7,2,28.6,0.50,0.14,0.00,0.00,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,Norwich City
Marco Stiepermann,de GER,MF,28,13.1,0,19,5,26.3,1.45,0.38,0.00,0.00,0,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches,Norwich City
Tom Trybull,de GER,MF,26,12.6,0,11,2,18.2,0.88,0.16,0.00,0.00,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,Norwich City
Ondrej Duda,sk SVK,MF,24,8.0,0,10,3,30.0,1.24,0.37,0.00,0.00,2,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches,Norwich City
Ibrahim Amadou,fr FRA,"DF,MF",26,8.4,0,6,1,16.7,0.71,0.12,0.00,0.00,0,0,0,1.0,1.0,0.16,-1.0,-1.0,Matches,Norwich City
Lukas Rupp,de GER,"FW,MF",28,7.7,0,4,2,50.0,0.52,0.26,0.00,0.00,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,Norwich City
Moritz Leitner,de GER,MF,26,7.6,0,8,0,0.0,1.05,0.00,0.00,,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,Norwich City
Timm Klose,ch SUI,DF,31,6.5,0,3,0,0.0,0.46,0.00,0.00,,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches,Norwich City
Mario Vrančić,ba BIH,MF,30,7.1,1,14,3,21.4,1.98,0.42,0.07,0.33,2,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches,Norwich City
Josip Drmić,ch SUI,"FW,MF",26,7.2,1,13,5,38.5,1.81,0.70,0.08,0.20,0,0,0,2.6,2.6,0.24,-1.6,-1.6,Matches,Norwich City
Adam Idah,ie IRL,"FW,MF",18,2.5,0,6,2,33.3,2.37,0.79,0.00,0.00,0,0,0,1.0,1.0,0.16,-1.0,-1.0,Matches,Norwich City
Michael McGovern,nir NIR,GK,35,1.8,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Norwich City
Ralf Fährmann,de GER,GK,30,0.2,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Norwich City
Dennis Srbeny,de GER,"MF,FW",25,0.5,1,2,1,50.0,3.83,1.91,0.50,1.00,0,0,0,0.6,0.6,0.28,+0.4,+0.4,Matches,Norwich City
Josh Martin,eng ENG,FW,17,0.4,0,1,1,100.0,2.43,2.43,0.00,0.00,0,0,0,0.2,0.2,0.24,-0.2,-0.2,Matches,Norwich City
Patrick Roberts,eng ENG,"MF,FW",22,0.3,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Norwich City
Akin Famewo,eng ENG,MF,20,0.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Norwich City
Jordan Thomas,eng ENG,FW,,0.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Norwich City
George Baldock,eng ENG,DF,26,38.0,2,13,5,38.5,0.34,0.13,0.15,0.40,0,0,0,0.9,0.9,0.07,+1.1,+1.1,Matches,Sheffield Utd
Enda Stevens,ie IRL,DF,29,37.2,2,22,4,18.2,0.59,0.11,0.09,0.50,0,0,0,1.2,1.2,0.05,+0.8,+0.8,Matches,Sheffield Utd
Chris Basham,eng ENG,DF,31,36.0,0,6,0,0.0,0.17,0.00,0.00,,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,Sheffield Utd
Oliver Norwood,nir NIR,MF,28,34.3,1,16,5,31.3,0.47,0.15,0.00,0.00,4,1,1,1.5,0.7,0.05,-0.5,-0.7,Matches,Sheffield Utd
Dean Henderson,eng ENG,GK,22,36.0,0,1,0,0.0,0.03,0.00,0.00,,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,Sheffield Utd
John Egan,ie IRL,DF,26,35.4,2,28,5,17.9,0.79,0.14,0.07,0.40,0,0,0,2.3,2.3,0.08,-0.3,-0.3,Matches,Sheffield Utd
Jack O'Connell,eng ENG,DF,25,32.4,0,16,2,12.5,0.49,0.06,0.00,0.00,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches,Sheffield Utd
John Fleck,sco SCO,MF,27,28.0,5,32,12,37.5,1.14,0.43,0.16,0.42,0,0,0,3.3,3.3,0.10,+1.7,+1.7,Matches,Sheffield Utd
John Lundstram,eng ENG,MF,25,27.3,5,44,11,25.0,1.61,0.40,0.11,0.45,0,0,0,5.3,5.3,0.12,-0.3,-0.3,Matches,Sheffield Utd
Oliver McBurnie,sco SCO,FW,23,23.5,6,49,24,49.0,2.09,1.02,0.12,0.25,0,0,0,7.7,7.7,0.16,-1.7,-1.7,Matches,Sheffield Utd
David McGoldrick,ie IRL,FW,31,20.2,2,46,19,41.3,2.28,0.94,0.04,0.11,0,0,0,7.1,7.1,0.15,-5.1,-5.1,Matches,Sheffield Utd
Sander Berge,no NOR,MF,21,10.5,1,5,2,40.0,0.48,0.19,0.20,0.50,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches,Sheffield Utd
Lys Mousset,fr FRA,FW,23,13.8,6,35,9,25.7,2.54,0.65,0.17,0.67,0,0,0,4.9,4.9,0.14,+1.1,+1.1,Matches,Sheffield Utd
Billy Sharp,eng ENG,FW,33,11.7,3,14,5,35.7,1.20,0.43,0.21,0.60,0,0,0,2.8,2.8,0.20,+0.2,+0.2,Matches,Sheffield Utd
Callum Robinson,ie IRL,FW,24,7.5,1,13,3,23.1,1.73,0.40,0.08,0.33,0,0,0,2.1,2.1,0.16,-1.1,-1.1,Matches,Sheffield Utd
Ben Osborn,eng ENG,"MF,DF",24,6.6,0,3,1,33.3,0.45,0.15,0.00,0.00,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,Sheffield Utd
Jack Robinson,eng ENG,DF,25,5.6,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Sheffield Utd
Luke Freeman,eng ENG,MF,27,4.1,0,3,0,0.0,0.74,0.00,0.00,,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Sheffield Utd
Muhamed Bešić,ba BIH,MF,26,2.8,0,4,2,50.0,1.44,0.72,0.00,0.00,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Sheffield Utd
Phil Jagielka,eng ENG,DF,36,2.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Sheffield Utd
Simon Moore,eng ENG,GK,29,2.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Sheffield Utd
Richairo Živković,nl NED,FW,22,1.2,0,1,0,0.0,0.80,0.00,0.00,,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,Sheffield Utd
Leon Clarke,eng ENG,"FW,MF",34,0.4,0,1,0,0.0,2.57,0.00,0.00,,0,0,0,0.4,0.4,0.39,-0.4,-0.4,Matches,Sheffield Utd
Jack Rodwell,eng ENG,MF,28,0.2,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Sheffield Utd
Ravel Morrison,eng ENG,MF,26,0.1,0,1,0,0.0,6.92,0.00,0.00,,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Sheffield Utd
Kieron Freeman,wal WAL,FW,27,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Sheffield Utd
James Ward-Prowse,eng ENG,"MF,DF",24,38.0,5,54,23,42.6,1.42,0.61,0.07,0.17,24,1,3,7.0,4.6,0.08,-2.0,-0.6,Matches,Southampton
Jan Bednarek,pl POL,DF,23,34.0,1,7,1,14.3,0.21,0.03,0.14,1.00,0,0,0,0.9,0.9,0.13,+0.1,+0.1,Matches,Southampton
Danny Ings,eng ENG,FW,27,31.2,22,90,35,38.9,2.89,1.12,0.23,0.60,0,1,2,17.0,15.4,0.17,+5.0,+5.6,Matches,Southampton
Nathan Redmond,eng ENG,"MF,FW",25,30.7,4,59,21,35.6,1.92,0.68,0.07,0.19,2,0,0,5.0,5.0,0.08,-1.0,-1.0,Matches,Southampton
Ryan Bertrand,eng ENG,DF,29,30.5,1,19,4,21.1,0.62,0.13,0.05,0.25,1,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches,Southampton
Pierre Højbjerg,dk DEN,MF,23,30.6,0,47,10,21.3,1.54,0.33,0.00,0.00,0,0,0,2.6,2.6,0.06,-2.6,-2.6,Matches,Southampton
Alex McCarthy,eng ENG,GK,29,28.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Southampton
Jack Stephens,eng ENG,DF,25,27.2,1,6,1,16.7,0.22,0.04,0.17,1.00,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches,Southampton
Oriol Romeu,es ESP,MF,27,20.7,0,9,0,0.0,0.44,0.00,0.00,,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,Southampton
Stuart Armstrong,sco SCO,MF,27,19.1,5,46,19,41.3,2.41,1.00,0.11,0.26,0,0,0,2.8,2.8,0.06,+2.2,+2.2,Matches,Southampton
Jannik Vestergaard,dk DEN,DF,26,16.6,1,10,5,50.0,0.60,0.30,0.10,0.20,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches,Southampton
Cédric Soares,pt POR,DF,27,14.5,0,10,4,40.0,0.69,0.28,0.00,0.00,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,Southampton
Shane Long,ie IRL,FW,32,15.5,2,33,13,39.4,2.13,0.84,0.06,0.15,0,0,0,4.7,4.7,0.14,-2.7,-2.7,Matches,Southampton
Che Adams,eng ENG,FW,23,12.3,4,37,9,24.3,3.00,0.73,0.11,0.44,0,0,0,4.2,4.2,0.11,-0.2,-0.2,Matches,Southampton
Moussa Djenepo,ml MLI,"MF,DF",21,10.3,2,20,7,35.0,1.94,0.68,0.10,0.29,0,0,0,2.5,2.5,0.13,-0.5,-0.5,Matches,Southampton
Angus Gunn,eng ENG,GK,23,10.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Southampton
Yan Valery,fr FRA,DF,20,8.7,0,3,2,66.7,0.35,0.23,0.00,0.00,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,Southampton
Sofiane Boufal,ma MAR,"MF,FW",25,8.5,0,21,7,33.3,2.47,0.82,0.00,0.00,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches,Southampton
Michael Obafemi,ie IRL,FW,19,7.4,3,12,4,33.3,1.62,0.54,0.25,0.75,0,0,0,1.9,1.9,0.16,+1.1,+1.1,Matches,Southampton
Kyle Walker-Peters,eng ENG,DF,22,7.8,0,2,0,0.0,0.26,0.00,0.00,,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Southampton
Maya Yoshida,jp JPN,DF,30,6.2,0,4,3,75.0,0.64,0.48,0.00,0.00,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches,Southampton
William Smallbone,ie IRL,MF,19,4.4,0,5,0,0.0,1.15,0.00,0.00,,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,Southampton
Kevin Danso,at AUT,DF,20,3.1,0,1,0,0.0,0.32,0.00,0.00,,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,Southampton
Jake Vokins,eng ENG,DF,19,1.0,0,1,0,0.0,1.00,0.00,0.00,,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Southampton
Nathan Tella,eng ENG,FW,20,0.0,0,1,1,100.0,30.00,30.00,0.00,0.00,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Southampton
Toby Alderweireld,be BEL,DF,30,32.9,2,16,5,31.3,0.49,0.15,0.13,0.40,0,0,0,1.1,1.1,0.07,+0.9,+0.9,Matches,Tottenham
Serge Aurier,ci CIV,DF,26,30.0,1,13,4,30.8,0.43,0.13,0.08,0.25,0,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches,Tottenham
Harry Kane,eng ENG,FW,26,28.7,18,78,34,43.6,2.71,1.18,0.21,0.47,7,2,2,10.6,9.1,0.12,+7.4,+6.9,Matches,Tottenham
Son Heung-min,kr KOR,"FW,MF",27,27.5,11,81,39,48.1,2.94,1.42,0.14,0.28,1,0,1,8.7,7.8,0.10,+2.3,+3.2,Matches,Tottenham
Moussa Sissoko,fr FRA,MF,29,27.2,2,14,4,28.6,0.51,0.15,0.14,0.50,0,0,0,2.4,2.4,0.17,-0.4,-0.4,Matches,Tottenham
Davinson Sánchez,co COL,DF,23,27.0,0,8,3,37.5,0.30,0.11,0.00,0.00,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,Tottenham
Harry Winks,eng ENG,MF,23,24.7,0,14,2,14.3,0.57,0.08,0.00,0.00,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,Tottenham
Lucas Moura,br BRA,"FW,MF",26,24.9,4,56,13,23.2,2.25,0.52,0.07,0.31,0,0,0,5.7,5.7,0.10,-1.7,-1.7,Matches,Tottenham
Dele Alli,eng ENG,"MF,FW",23,20.5,8,39,18,46.2,1.90,0.88,0.18,0.39,0,1,1,6.9,6.1,0.16,+1.1,+0.9,Matches,Tottenham
Hugo Lloris,fr FRA,GK,32,20.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Tottenham
Jan Vertonghen,be BEL,DF,32,18.3,1,4,2,50.0,0.22,0.11,0.25,0.50,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches,Tottenham
Paulo Gazzaniga,ar ARG,GK,27,17.9,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Tottenham
Ben Davies,wal WAL,DF,26,15.9,0,7,1,14.3,0.44,0.06,0.00,0.00,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Tottenham
Giovani Lo Celso,ar ARG,"MF,FW",23,16.6,0,18,3,16.7,1.09,0.18,0.00,0.00,1,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches,Tottenham
Eric Dier,eng ENG,"DF,MF",25,14.9,0,8,1,12.5,0.54,0.07,0.00,0.00,1,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches,Tottenham
Érik Lamela,ar ARG,"MF,FW",27,13.5,2,29,8,27.6,2.15,0.59,0.07,0.25,4,0,0,2.7,2.7,0.10,-0.7,-0.7,Matches,Tottenham
Tanguy Ndombele,fr FRA,MF,22,11.2,2,9,4,44.4,0.80,0.36,0.22,0.50,0,0,0,0.4,0.4,0.04,+1.6,+1.6,Matches,Tottenham
Christian Eriksen,dk DEN,"MF,FW",27,12.2,2,26,9,34.6,2.13,0.74,0.08,0.22,7,0,0,1.9,1.9,0.07,+0.1,+0.1,Matches,Tottenham
Danny Rose,eng ENG,DF,29,9.9,0,2,0,0.0,0.20,0.00,0.00,,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Tottenham
Steven Bergwijn,nl NED,"FW,MF",21,7.8,3,9,4,44.4,1.15,0.51,0.33,0.75,0,0,0,1.2,1.2,0.13,+1.8,+1.8,Matches,Tottenham
Japhet Tanganga,eng ENG,DF,20,5.8,0,3,1,33.3,0.51,0.17,0.00,0.00,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Tottenham
Ryan Sessegnon,eng ENG,DF,19,3.8,0,1,0,0.0,0.26,0.00,0.00,,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches,Tottenham
Kyle Walker-Peters,eng ENG,DF,22,2.7,0,1,0,0.0,0.37,0.00,0.00,,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Tottenham
Oliver Skipp,eng ENG,"MF,DF",18,0.9,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Tottenham
Juan Foyth,ar ARG,DF,21,0.8,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Tottenham
Gedson Fernandes,pt POR,"MF,DF",20,0.8,0,2,0,0.0,2.65,0.00,0.00,,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Tottenham
Victor Wanyama,ke KEN,MF,28,0.3,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Tottenham
Troy Parrott,ie IRL,MF,17,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Tottenham
Georges-Kévin N'Koudou,fr FRA,FW,24,0.0,0,1,0,0.0,30.00,0.00,0.00,,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Tottenham
Ben Foster,eng ENG,GK,36,38.0,0,1,1,100.0,0.03,0.03,0.00,0.00,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,Watford
Abdoulaye Doucouré,fr FRA,MF,26,35.1,4,62,12,19.4,1.77,0.34,0.06,0.33,0,0,0,5.0,5.0,0.08,-1.0,-1.0,Matches,Watford
Étienne Capoue,fr FRA,MF,31,29.2,0,19,1,5.3,0.65,0.03,0.00,0.00,2,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches,Watford
Craig Cathcart,nir NIR,DF,30,27.6,0,2,1,50.0,0.07,0.04,0.00,0.00,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches,Watford
Will Hughes,eng ENG,"MF,FW",24,25.0,1,27,3,11.1,1.08,0.12,0.04,0.33,0,0,0,2.7,2.7,0.10,-1.7,-1.7,Matches,Watford
Craig Dawson,eng ENG,DF,29,26.2,2,23,7,30.4,0.88,0.27,0.09,0.29,0,0,0,2.2,2.2,0.10,-0.2,-0.2,Matches,Watford
Christian Kabasele,be BEL,DF,28,25.0,0,8,1,12.5,0.32,0.04,0.00,0.00,0,0,0,1.1,1.1,0.13,-1.1,-1.1,Matches,Watford
Kiko Femenía,es ESP,DF,28,24.9,0,5,1,20.0,0.20,0.04,0.00,0.00,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Watford
Troy Deeney,eng ENG,FW,31,24.7,10,38,16,42.1,1.54,0.65,0.13,0.31,0,5,6,9.9,5.3,0.14,+0.1,-0.3,Matches,Watford
Gerard Deulofeu,es ESP,FW,25,23.3,4,63,22,34.9,2.70,0.94,0.05,0.14,8,1,1,5.2,4.5,0.07,-1.2,-1.5,Matches,Watford
Ismaila Sarr,sn SEN,"FW,MF",21,22.5,5,44,13,29.5,1.95,0.58,0.11,0.38,0,0,0,5.7,5.7,0.13,-0.7,-0.7,Matches,Watford
Adam Masina,it ITA,DF,25,20.2,1,15,3,20.0,0.74,0.15,0.07,0.33,1,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches,Watford
Roberto Pereyra,ar ARG,"FW,MF",28,18.3,3,19,8,42.1,1.04,0.44,0.11,0.25,4,1,1,2.6,1.8,0.09,+0.4,+0.2,Matches,Watford
Adrian Mariappa,jm JAM,DF,32,16.8,0,3,0,0.0,0.18,0.00,0.00,,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,Watford
José Holebas,gr GRE,DF,35,11.4,0,6,3,50.0,0.53,0.26,0.00,0.00,1,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches,Watford
Tom Cleverley,eng ENG,MF,29,10.8,1,17,5,29.4,1.58,0.46,0.06,0.20,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches,Watford
Nathaniel Chalobah,eng ENG,MF,24,10.3,0,9,0,0.0,0.87,0.00,0.00,,2,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,Watford
Danny Welbeck,eng ENG,"FW,MF",28,9.1,2,21,9,42.9,2.30,0.99,0.10,0.22,0,0,0,3.6,3.6,0.17,-1.6,-1.6,Matches,Watford
Andre Gray,eng ENG,FW,28,8.4,2,19,6,31.6,2.26,0.72,0.11,0.33,0,0,0,2.9,2.9,0.15,-0.9,-0.9,Matches,Watford
Daryl Janmaat,nl NED,DF,30,6.7,0,4,0,0.0,0.59,0.00,0.00,,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,Watford
Dimitri Foulquier,fr FRA,"MF,DF",26,0.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Watford
Sebastian Prödl,at AUT,DF,32,0.6,0,2,0,0.0,3.21,0.00,0.00,,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Watford
Ignacio Pussetto,ar ARG,"FW,DF",23,0.8,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Watford
Isaac Success,ng NGA,"FW,MF",23,0.8,0,1,1,100.0,1.29,1.29,0.00,0.00,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,Watford
João Pedro,br BRA,"FW,MF",17,0.3,0,1,0,0.0,3.60,0.00,0.00,,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Watford
Domingos Quina,pt POR,MF,19,0.2,0,1,1,100.0,4.09,4.09,0.00,0.00,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Watford
Declan Rice,eng ENG,MF,20,38.0,1,30,9,30.0,0.79,0.24,0.03,0.11,0,0,0,1.1,1.1,0.04,-0.1,-0.1,Matches,West Ham
Mark Noble,eng ENG,MF,32,29.7,4,14,3,21.4,0.47,0.10,0.07,0.33,0,3,3,2.8,0.5,0.04,+1.2,+0.5,Matches,West Ham
Angelo Ogbonna,it ITA,DF,31,31.0,2,14,4,28.6,0.45,0.13,0.14,0.50,0,0,0,1.6,1.6,0.11,+0.4,+0.4,Matches,West Ham
Issa Diop,fr FRA,DF,22,30.7,3,15,6,40.0,0.49,0.20,0.20,0.50,0,0,0,1.5,1.5,0.10,+1.5,+1.5,Matches,West Ham
Aaron Cresswell,eng ENG,DF,29,30.3,3,18,5,27.8,0.59,0.17,0.17,0.60,7,0,0,1.2,1.2,0.07,+1.8,+1.8,Matches,West Ham
Ryan Fredericks,eng ENG,DF,26,24.9,0,3,0,0.0,0.12,0.00,0.00,,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,West Ham
Łukasz Fabiański,pl POL,GK,34,23.5,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,West Ham
