player,nationality,position,age,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches,team
Simon Francis,eng ENG,DF,34,10.8,0,3,0,0.0,0.28,0.00,0.00,,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,Bournemouth
Chris Mepham,wal WAL,DF,21,10.1,1,6,1,16.7,0.59,0.10,0.17,1.00,0,0,0,0.6,0.6,0.11,+0.4,+0.4,Matches,Bournemouth
David Brooks,wal WAL,MF,22,5.6,1,6,2,33.3,1.07,0.36,0.17,0.50,1,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches,Bournemouth
Junior Stanislas,eng ENG,"MF,DF",29,7.9,3,16,6,37.5,2.02,0.76,0.13,0.33,3,1,1,1.6,0.8,0.05,+1.4,+1.2,Matches,Bournemouth
Lloyd Kelly,eng ENG,DF,20,7.1,0,1,0,0.0,0.14,0.00,0.00,,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Bournemouth
Arnaut Groeneveld,nl NED,MF,22,7.0,0,13,4,30.8,1.86,0.57,0.00,0.00,1,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches,Bournemouth
Andrew Surman,eng ENG,MF,32,2.6,0,1,0,0.0,0.38,0.00,0.00,,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Bournemouth
Charlie Daniels,eng ENG,DF,32,1.4,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Bournemouth
Jack Simpson,eng ENG,DF,22,2.7,0,1,0,0.0,0.37,0.00,0.00,,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Bournemouth
Mark Travers,ie IRL,GK,20,1.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Bournemouth
Jordon Ibe,eng ENG,DF,23,0.6,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Bournemouth
Sam Surridge,eng ENG,FW,21,0.3,0,2,0,0.0,6.67,0.00,0.00,,0,0,0,0.4,0.4,0.22,-0.4,-0.4,Matches,Bournemouth
Mathew Ryan,au AUS,GK,27,38.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Brighton
Lewis Dunk,eng ENG,DF,27,35.9,3,30,10,33.3,0.84,0.28,0.10,0.30,5,0,0,4.2,4.2,0.14,-1.2,-1.2,Matches,Brighton
Dan Burn,eng ENG,DF,27,32.0,0,13,0,0.0,0.41,0.00,0.00,,0,0,0,1.3,1.3,0.10,-1.3,-1.3,Matches,Brighton
Davy Pröpper,nl NED,MF,27,31.4,1,31,8,25.8,0.99,0.25,0.03,0.13,0,0,0,1.3,1.3,0.04,-0.3,-0.3,Matches,Brighton
Adam Webster,eng ENG,DF,24,29.6,3,16,7,43.8,0.54,0.24,0.19,0.43,0,0,0,1.1,1.1,0.07,+1.9,+1.9,Matches,Brighton
Neal Maupay,fr FRA,FW,22,30.7,10,90,34,37.8,2.93,1.11,0.10,0.26,0,1,2,11.2,9.7,0.11,-1.2,-0.7,Matches,Brighton
Dale Stephens,eng ENG,MF,30,28.1,0,18,2,11.1,0.64,0.07,0.00,0.00,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,Brighton
Aaron Mooy,au AUS,"MF,FW",28,23.2,2,33,8,24.2,1.42,0.35,0.06,0.25,0,0,0,2.0,2.0,0.06,0.0,0.0,Matches,Brighton
Martín Montoya,es ESP,DF,28,21.1,0,8,3,37.5,0.38,0.14,0.00,0.00,0,0,0,1.3,1.3,0.16,-1.3,-1.3,Matches,Brighton
Leandro Trossard,be BEL,"FW,MF",24,22.3,5,42,13,31.0,1.88,0.58,0.12,0.38,0,0,0,4.7,4.7,0.11,+0.3,+0.3,Matches,Brighton
Pascal Groß,de GER,"FW,MF",28,20.0,2,29,9,31.0,1.45,0.45,0.07,0.22,4,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches,Brighton
Yves Bissouma,ml MLI,MF,22,14.0,1,16,6,37.5,1.14,0.43,0.06,0.17,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches,Brighton
Aaron Connolly,ie IRL,FW,19,14.0,3,38,13,34.2,2.72,0.93,0.08,0.23,0,0,0,3.1,3.1,0.08,-0.1,-0.1,Matches,Brighton
Shane Duffy,ie IRL,DF,27,13.8,1,6,1,16.7,0.44,0.07,0.17,1.00,0,0,0,1.5,1.5,0.24,-0.5,-0.5,Matches,Brighton
Steven Alzate,co COL,"MF,DF",20,13.2,0,13,3,23.1,0.98,0.23,0.00,0.00,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches,Brighton
Solly March,eng ENG,"DF,FW",25,12.7,0,21,8,38.1,1.65,0.63,0.00,0.00,1,0,0,1.4,1.4,0.06,-1.4,-1.4,Matches,Brighton
Glenn Murray,eng ENG,FW,35,8.9,1,17,4,23.5,1.92,0.45,0.06,0.25,0,0,0,2.1,2.1,0.13,-1.1,-1.1,Matches,Brighton
Bernardo,br BRA,DF,24,7.5,0,7,2,28.6,0.93,0.27,0.00,0.00,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,Brighton
Tariq Lamptey,eng ENG,DF,18,6.5,0,2,0,0.0,0.31,0.00,0.00,,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Brighton
Ezequiel Schelotto,it ITA,DF,30,4.0,0,5,1,20.0,1.25,0.25,0.00,0.00,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,Brighton
Alexis Mac Allister,ar ARG,"MF,FW",20,3.9,0,7,1,14.3,1.79,0.26,0.00,0.00,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,Brighton
Alireza Jahanbakhsh,ir IRN,"FW,MF",25,3.5,2,11,2,18.2,3.18,0.58,0.18,1.00,0,0,0,0.5,0.5,0.05,+1.5,+1.5,Matches,Brighton
Jürgen Locadia,nl NED,"MF,FW",25,1.0,0,2,1,50.0,2.09,1.05,0.00,0.00,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches,Brighton
Florin Andone,ro ROU,"MF,FW",26,0.8,1,1,1,100.0,1.23,1.23,1.00,1.00,0,0,0,0.1,0.1,0.12,+0.9,+0.9,Matches,Brighton
Gaëtan Bong,cm CMR,"MF,DF",31,0.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Brighton
Nick Pope,eng ENG,GK,27,38.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Burnley
James Tarkowski,eng ENG,DF,26,38.0,2,20,4,20.0,0.53,0.11,0.10,0.50,0,0,0,2.3,2.3,0.12,-0.3,-0.3,Matches,Burnley
Dwight McNeil,eng ENG,MF,19,37.1,2,48,14,29.2,1.29,0.38,0.04,0.14,10,0,0,2.2,2.2,0.05,-0.2,-0.2,Matches,Burnley
Ashley Westwood,eng ENG,MF,29,35.0,2,13,3,23.1,0.37,0.09,0.15,0.67,2,0,0,1.2,1.2,0.09,+0.8,+0.8,Matches,Burnley
Ben Mee,eng ENG,DF,29,32.0,1,18,5,27.8,0.56,0.16,0.06,0.20,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches,Burnley
Jack Cork,eng ENG,MF,30,29.0,0,18,5,27.8,0.62,0.17,0.00,0.00,0,0,0,1.7,1.7,0.09,-1.7,-1.7,Matches,Burnley
Chris Wood,nz NZL,FW,27,27.1,14,64,28,43.8,2.36,1.03,0.20,0.46,0,1,1,12.9,12.1,0.19,+1.1,+0.9,Matches,Burnley
Charlie Taylor,eng ENG,DF,25,21.6,0,1,0,0.0,0.05,0.00,0.00,,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Burnley
Jeff Hendrick,ie IRL,MF,27,21.5,2,22,6,27.3,1.03,0.28,0.09,0.33,1,0,0,1.6,1.6,0.07,+0.4,+0.4,Matches,Burnley
Phil Bardsley,sco SCO,DF,34,21.0,0,12,5,41.7,0.57,0.24,0.00,0.00,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,Burnley
Erik Pieters,nl NED,"DF,MF",30,20.9,0,14,4,28.6,0.67,0.19,0.00,0.00,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,Burnley
Jay Rodriguez,eng ENG,FW,30,22.4,8,66,26,39.4,2.95,1.16,0.11,0.27,0,1,1,8.0,7.2,0.11,0.0,-0.2,Matches,Burnley
Matthew Lowton,eng ENG,DF,30,17.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Burnley
Ashley Barnes,at AUT,FW,29,15.0,6,39,11,28.2,2.60,0.73,0.13,0.45,0,1,1,5.6,4.8,0.12,+0.4,+0.2,Matches,Burnley
Josh Brownhill,eng ENG,MF,23,8.9,0,5,0,0.0,0.56,0.00,0.00,,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,Burnley
Matěj Vydra,cz CZE,FW,27,9.1,2,18,10,55.6,1.98,1.10,0.11,0.20,0,0,0,3.7,3.7,0.20,-1.7,-1.7,Matches,Burnley
Jóhann Berg Guðmundsson,is ISL,MF,28,6.9,1,11,2,18.2,1.59,0.29,0.09,0.50,2,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches,Burnley
Kevin Long,ie IRL,DF,28,6.3,0,2,0,0.0,0.32,0.00,0.00,,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,Burnley
Robbie Brady,ie IRL,MF,27,5.0,1,12,1,8.3,2.38,0.20,0.08,1.00,2,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches,Burnley
Aaron Lennon,eng ENG,MF,32,5.5,0,1,0,0.0,0.18,0.00,0.00,,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Burnley
Danny Drinkwater,eng ENG,MF,29,0.6,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Burnley
Max Thompson,eng ENG,FW,17,0.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Burnley
César Azpilicueta,es ESP,DF,29,35.9,2,29,6,20.7,0.81,0.17,0.07,0.33,0,0,0,2.7,2.7,0.09,-0.7,-0.7,Matches,Chelsea
Kepa Arrizabalaga,es ESP,GK,24,33.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Chelsea
Mason Mount,eng ENG,"MF,FW",20,31.9,7,78,29,37.2,2.45,0.91,0.09,0.24,12,0,0,7.0,7.0,0.09,0.0,0.0,Matches,Chelsea
Willian,br BRA,FW,30,28.9,9,67,26,38.8,2.32,0.90,0.07,0.19,8,4,4,7.2,4.1,0.06,+1.8,+0.9,Matches,Chelsea
Jorginho,it ITA,MF,27,26.4,4,10,1,10.0,0.38,0.04,0.10,1.00,0,3,3,3.4,1.1,0.11,+0.6,-0.1,Matches,Chelsea
Kurt Zouma,fr FRA,DF,24,26.0,0,15,5,33.3,0.58,0.19,0.00,0.00,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,Chelsea
Tammy Abraham,eng ENG,FW,21,24.6,15,88,35,39.8,3.58,1.42,0.17,0.43,0,0,0,14.6,14.6,0.17,+0.4,+0.4,Matches,Chelsea
Mateo Kovačić,hr CRO,MF,25,23.0,1,21,5,23.8,0.91,0.22,0.05,0.20,0,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches,Chelsea
Andreas Christensen,dk DEN,DF,23,19.5,0,7,2,28.6,0.36,0.10,0.00,0.00,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches,Chelsea
N'Golo Kanté,fr FRA,MF,28,19.2,3,18,6,33.3,0.94,0.31,0.17,0.50,0,0,0,1.5,1.5,0.09,+1.5,+1.5,Matches,Chelsea
Christian Pulisic,us USA,FW,20,19.1,9,62,25,40.3,3.24,1.31,0.15,0.36,0,0,0,7.9,7.9,0.13,+1.1,+1.1,Matches,Chelsea
Antonio Rüdiger,de GER,DF,26,19.0,2,11,3,27.3,0.58,0.16,0.18,0.67,0,0,0,0.5,0.5,0.05,+1.5,+1.5,Matches,Chelsea
Reece James,eng ENG,DF,19,16.8,0,18,3,16.7,1.07,0.18,0.00,0.00,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches,Chelsea
Marcos Alonso,es ESP,DF,28,15.9,4,30,8,26.7,1.89,0.50,0.13,0.50,1,0,0,2.0,2.0,0.07,+2.0,+2.0,Matches,Chelsea
Fikayo Tomori,eng ENG,DF,21,14.3,1,7,3,42.9,0.49,0.21,0.14,0.33,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches,Chelsea
