player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches,team
Neil Taylor,wal WAL,DF,30,12.1,410,513,79.9,6841,2873,7,21,33.3,349,392,89.0,54,100,54.0,0,0.2,-0.2,5,22,4,1,52,Matches,Aston Villa
Ahmed Elmohamady,eg EGY,DF,31,11.5,484,633,76.5,9323,3709,6,22,27.3,376,430,87.4,102,181,56.4,1,2.6,-1.6,19,42,22,16,78,Matches,Aston Villa
Mbwana Samatta,tz TAN,FW,26,10.5,127,179,70.9,1883,283,3,11,27.3,110,146,75.3,14,22,63.6,0,0.2,-0.2,7,6,3,1,10,Matches,Aston Villa
Ørjan Nyland,no NOR,GK,28,6.0,105,182,57.7,3880,2799,0,0,,37,38,97.4,68,144,47.2,0,0.0,0.0,0,3,0,0,1,Matches,Aston Villa
Keinan Davis,eng ENG,FW,21,6.1,107,141,75.9,1475,201,5,11,45.5,94,118,79.7,8,12,66.7,0,0.2,-0.2,7,7,2,0,8,Matches,Aston Villa
Jota,es ESP,"FW,MF",28,3.7,73,98,74.5,1408,627,1,4,25.0,56,68,82.4,16,26,61.5,1,0.7,+0.3,5,11,6,0,19,Matches,Aston Villa
Danny Drinkwater,eng ENG,MF,29,2.9,136,167,81.4,2638,565,2,7,28.6,98,113,86.7,36,47,76.6,0,0.0,0.0,1,16,1,0,11,Matches,Aston Villa
Henri Lansbury,eng ENG,MF,28,2.2,60,81,74.1,1315,254,1,3,33.3,37,49,75.5,22,29,75.9,0,0.1,-0.1,2,9,0,0,6,Matches,Aston Villa
Jed Steer,eng ENG,GK,26,0.1,1,2,50.0,26,9,0,0,,0,0,,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches,Aston Villa
Jonathan Kodjia,ci CIV,"FW,MF",29,1.3,19,30,63.3,307,8,0,1,0.0,16,25,64.0,3,4,75.0,0,0.0,0.0,0,1,0,0,0,Matches,Aston Villa
Indiana Vassilev,us USA,"FW,MF",18,0.6,8,11,72.7,80,4,1,2,50.0,7,9,77.8,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,Aston Villa
Borja Bastón,es ESP,"MF,FW",26,0.2,4,5,80.0,81,28,0,0,,2,3,66.7,2,2,100.0,0,0.0,0.0,0,1,0,0,2,Matches,Aston Villa
Aaron Ramsdale,eng ENG,GK,21,37.0,648,1124,57.7,21851,14852,2,4,50.0,324,325,99.7,322,795,40.5,1,0.1,+0.9,2,20,0,0,3,Matches,Bournemouth
Callum Wilson,eng ENG,FW,27,32.3,345,535,64.5,5193,1141,19,66,28.8,291,408,71.3,35,61,57.4,1,3.2,-2.2,25,32,15,3,40,Matches,Bournemouth
Jefferson Lerma,co COL,MF,24,30.0,1092,1377,79.3,21965,6525,18,41,43.9,796,932,85.4,278,404,68.8,2,1.8,+0.2,12,119,16,0,123,Matches,Bournemouth
Philip Billing,dk DEN,MF,23,28.1,878,1179,74.5,15927,3953,20,50,40.0,655,837,78.3,203,292,69.5,1,1.1,-0.1,16,77,16,2,88,Matches,Bournemouth
Nathan Aké,nl NED,DF,24,27.8,1042,1183,88.1,21680,7019,9,20,45.0,725,787,92.1,308,376,81.9,2,0.5,+1.5,4,67,10,0,61,Matches,Bournemouth
Steve Cook,eng ENG,DF,28,27.0,993,1222,81.3,22728,7506,6,22,27.3,626,703,89.0,361,497,72.6,0,0.3,-0.3,3,49,3,0,65,Matches,Bournemouth
Diego Rico,es ESP,DF,26,25.9,1011,1482,68.2,19384,10500,23,80,28.8,762,939,81.2,226,463,48.8,4,2.8,+1.2,33,105,32,13,237,Matches,Bournemouth
Adam Smith,eng ENG,DF,28,22.8,845,1061,79.6,13706,5077,14,49,28.6,722,808,89.4,109,204,53.4,1,0.9,+0.1,10,61,11,2,104,Matches,Bournemouth
Joshua King,no NOR,"FW,MF",27,22.3,362,498,72.7,5440,1270,12,46,26.1,305,387,78.8,45,65,69.2,4,3.7,+0.3,28,20,19,5,45,Matches,Bournemouth
Ryan Fraser,sco SCO,"MF,FW",25,23.0,648,950,68.2,11071,4285,16,54,29.6,537,650,82.6,95,246,38.6,4,4.1,-0.1,43,55,41,7,142,Matches,Bournemouth
Harry Wilson,wal WAL,"MF,FW",22,18.3,454,609,74.5,8882,2086,6,38,15.8,337,401,84.0,111,170,65.3,0,1.6,-1.6,15,37,27,2,72,Matches,Bournemouth
Dominic Solanke,eng ENG,"FW,MF",21,18.3,317,429,73.9,4428,910,24,45,53.3,267,337,79.2,26,47,55.3,1,0.9,+0.1,12,28,10,2,28,Matches,Bournemouth
Jack Stacey,eng ENG,DF,23,17.2,560,780,71.8,9311,3999,13,52,25.0,478,578,82.7,69,150,46.0,2,2.2,-0.2,10,42,6,2,80,Matches,Bournemouth
Lewis Cook,eng ENG,MF,22,15.0,560,719,77.9,11160,3293,7,28,25.0,413,487,84.8,140,204,68.6,0,0.9,-0.9,13,61,11,1,70,Matches,Bournemouth
Dan Gosling,eng ENG,MF,29,14.0,405,510,79.4,6653,1624,14,37,37.8,330,385,85.7,61,88,69.3,1,1.0,0.0,10,33,7,2,42,Matches,Bournemouth
Simon Francis,eng ENG,DF,34,10.8,425,544,78.1,8941,3412,1,8,12.5,312,355,87.9,112,181,61.9,0,0.3,-0.3,4,26,5,4,36,Matches,Bournemouth
Chris Mepham,wal WAL,DF,21,10.1,414,483,85.7,8787,2807,3,8,37.5,293,322,91.0,118,153,77.1,0,0.1,-0.1,1,16,0,0,24,Matches,Bournemouth
David Brooks,wal WAL,MF,22,5.6,121,179,67.6,1938,694,2,11,18.2,101,125,80.8,18,43,41.9,0,0.4,-0.4,5,7,9,5,27,Matches,Bournemouth
Junior Stanislas,eng ENG,"MF,DF",29,7.9,222,310,71.6,3619,1365,8,17,47.1,177,221,80.1,37,72,51.4,0,0.8,-0.8,11,14,12,1,41,Matches,Bournemouth
Lloyd Kelly,eng ENG,DF,20,7.1,168,231,72.7,3672,1369,3,10,30.0,100,117,85.5,65,104,62.5,0,0.2,-0.2,2,5,0,0,12,Matches,Bournemouth
Arnaut Groeneveld,nl NED,MF,22,7.0,181,227,79.7,3152,765,5,16,31.3,141,168,83.9,35,43,81.4,0,0.3,-0.3,5,10,5,1,23,Matches,Bournemouth
Andrew Surman,eng ENG,MF,32,2.6,102,127,80.3,1959,487,5,5,100.0,73,89,82.0,24,33,72.7,0,0.0,0.0,1,6,1,0,10,Matches,Bournemouth
Charlie Daniels,eng ENG,DF,32,1.4,35,49,71.4,698,323,3,3,100.0,24,29,82.8,8,17,47.1,0,0.1,-0.1,2,4,1,1,4,Matches,Bournemouth
Jack Simpson,eng ENG,DF,22,2.7,70,100,70.0,1208,446,1,6,16.7,56,69,81.2,13,25,52.0,0,0.0,0.0,0,5,0,0,5,Matches,Bournemouth
Mark Travers,ie IRL,GK,20,1.0,23,32,71.9,692,479,0,0,,12,12,100.0,11,20,55.0,0,0.0,0.0,0,0,0,0,0,Matches,Bournemouth
Jordon Ibe,eng ENG,DF,23,0.6,17,22,77.3,329,144,0,2,0.0,14,17,82.4,3,3,100.0,0,0.0,0.0,0,2,1,0,5,Matches,Bournemouth
Sam Surridge,eng ENG,FW,21,0.3,4,10,40.0,64,22,0,0,,4,9,44.4,0,1,0.0,0,0.0,0.0,0,1,1,0,1,Matches,Bournemouth
Mathew Ryan,au AUS,GK,27,38.0,1173,1462,80.2,34337,19337,1,3,33.3,615,621,99.0,557,838,66.5,0,0.0,0.0,0,9,0,0,1,Matches,Brighton
Lewis Dunk,eng ENG,DF,27,35.9,1913,2192,87.3,45038,13465,11,22,50.0,1215,1293,94.0,687,877,78.3,3,1.1,+1.9,11,129,5,0,97,Matches,Brighton
Dan Burn,eng ENG,DF,27,32.0,1389,1841,75.4,23969,8730,17,73,23.3,1152,1352,85.2,220,416,52.9,0,1.2,-1.2,18,112,21,8,149,Matches,Brighton
Davy Pröpper,nl NED,MF,27,31.4,1483,1785,83.1,28710,8226,22,64,34.4,1126,1284,87.7,335,437,76.7,2,2.2,-0.2,27,166,27,6,194,Matches,Brighton
Adam Webster,eng ENG,DF,24,29.6,1547,1824,84.8,33747,11537,7,26,26.9,1047,1159,90.3,493,639,77.2,1,1.0,0.0,10,90,5,1,101,Matches,Brighton
Neal Maupay,fr FRA,FW,22,30.7,540,688,78.5,8462,1458,28,63,44.4,426,515,82.7,86,110,78.2,3,2.5,+0.5,26,28,27,3,59,Matches,Brighton
Dale Stephens,eng ENG,MF,30,28.1,1421,1641,86.6,29947,7020,18,36,50.0,1006,1111,90.5,397,494,80.4,1,1.1,-0.1,18,143,19,2,140,Matches,Brighton
Aaron Mooy,au AUS,"MF,FW",28,23.2,825,1075,76.7,14311,4141,18,60,30.0,661,747,88.5,146,268,54.5,2,3.3,-1.3,39,80,31,7,126,Matches,Brighton
Martín Montoya,es ESP,DF,28,21.1,1006,1255,80.2,17672,6217,11,54,20.4,827,950,87.1,168,251,66.9,1,1.4,-0.4,20,41,34,18,137,Matches,Brighton
Leandro Trossard,be BEL,"FW,MF",24,22.3,567,795,71.3,10966,3574,6,38,15.8,435,555,78.4,126,202,62.4,3,3.7,-0.7,38,45,30,8,124,Matches,Brighton
